flow_point,timestep,method,activation_relative_l2,velocity_relative_l2,velocity_p95_relative_l2
0,98,raw_reuse,0.27290389795625375,0.08760538198023526,0.13091999510652386
0,98,shift_reuse,0.31956602519998245,0.08558984723646451,0.13578136201831512
0,98,shift_local_r2,0.22527145445447552,0.0458814112392486,0.08452945586759596
0,98,shift_rank8_feature,0.20408202015101015,0.02680434732139203,0.05320258679566904
0,98,shift_rank8_noise,0.19793286971132243,0.018450125428542657,0.034680110399494875
0,98,shift_rank8_noisy_delta,0.19806536398918625,0.01848049195686703,0.03518401593610178
0,98,shift_rank8_state,0.1097194380296025,0.008001197557281663,0.014720340020721777
0,98,shift_rank8_state_noise,0.10971901214649198,0.00800611749136836,0.014717539356206542
0,98,shift_rank8_state_noisy_condition,0.10972587530099415,0.007998642881910673,0.014707621594425289
0,98,shift_rank8_oracle,0.1095794612949453,0.007966922091047449,0.014628127144533208
1,88,raw_reuse,0.2720152115819884,0.08707591700500296,0.12936512440210207
1,88,shift_reuse,0.32348440927192534,0.08563337988770865,0.1352061752404552
1,88,shift_local_r2,0.22868255991227374,0.045835620909898935,0.08578678238554857
1,88,shift_rank8_feature,0.20993731268905025,0.02738218400502245,0.05155143400770612
1,88,shift_rank8_noise,0.2017093386936496,0.019413611207483326,0.03663368005654775
1,88,shift_rank8_noisy_delta,0.20156287610316206,0.019359685495684727,0.03608800014480948
1,88,shift_rank8_state,0.116006723507675,0.008083962688853195,0.014765741751762106
1,88,shift_rank8_state_noise,0.1160055898814202,0.008087885033544497,0.014737677958328274
1,88,shift_rank8_state_noisy_condition,0.1160097804996513,0.008083422092776514,0.014731825495255176
1,88,shift_rank8_oracle,0.11585248401013176,0.008080200095980664,0.01474683905544225
2,77,raw_reuse,0.28665034365803793,0.08771075655676185,0.1312450318422634
2,77,shift_reuse,0.34327103538641024,0.08679151023722778,0.13568218401633203
2,77,shift_local_r2,0.2500250556068327,0.047633346845530194,0.090326041408116
2,77,shift_rank8_feature,0.24621170163300288,0.029735662334772386,0.05393638715613633
2,77,shift_rank8_noise,0.22659938456110418,0.020653701432759818,0.03705869769328273
2,77,shift_rank8_noisy_delta,0.2272027002277321,0.02068809963559265,0.03775700258556754
2,77,shift_rank8_state,0.14058565498571585,0.0095672617257448,0.018319964257534592
2,77,shift_rank8_state_noise,0.14057994965256487,0.00957633155094217,0.01833234728546813
2,77,shift_rank8_state_noisy_condition,0.14058439145591328,0.009569099674078162,0.01831726471427828
2,77,shift_rank8_oracle,0.1405071857212254,0.009542070975665989,0.018122010939987374
3,66,raw_reuse,0.30143957346063666,0.0886547190281945,0.13263282352127137
3,66,shift_reuse,0.36218048578660067,0.08796334820773541,0.13702813778072595
3,66,shift_local_r2,0.2701692642414304,0.04810996064835915,0.09051682500867173
3,66,shift_rank8_feature,0.2697875643075223,0.03147326553892248,0.05533002478769048
3,66,shift_rank8_noise,0.24940360988296484,0.02243419306328716,0.041969173692632464
3,66,shift_rank8_noisy_delta,0.2485835462027408,0.022047090501293165,0.03930705056409351
3,66,shift_rank8_state,0.1595295564348563,0.010356091881311091,0.01925324653275311
3,66,shift_rank8_state_noise,0.15952774853975368,0.010365118619927631,0.019248855888145046
3,66,shift_rank8_state_noisy_condition,0.15953343186077737,0.01035965472091149,0.019241079257335515
3,66,shift_rank8_oracle,0.1594782848424679,0.010345193810204458,0.01922070731525309
4,55,raw_reuse,0.31603924728553756,0.09001087043997727,0.1349940858199261
4,55,shift_reuse,0.3818878342561086,0.0896537352921126,0.1394587138784118
4,55,shift_local_r2,0.2911342444849381,0.05245105293553272,0.09853592303115874
4,55,shift_rank8_feature,0.2940756361159307,0.03275957227617334,0.05714761753333732
4,55,shift_rank8_noise,0.2748416260448825,0.024294932510064537,0.04226202651625499
4,55,shift_rank8_noisy_delta,0.2757970984101068,0.024307865936126136,0.04460294818272814
4,55,shift_rank8_state,0.18194595873207864,0.012786222003562525,0.023827327956678343
4,55,shift_rank8_state_noise,0.18194154043213046,0.01277595597324787,0.023802223853999747
4,55,shift_rank8_state_noisy_condition,0.1819464696687989,0.012777362344443396,0.023824870970565824
4,55,shift_rank8_oracle,0.18190526452157835,0.012746833232213345,0.02375831875251606
5,44,raw_reuse,0.3258874550651097,0.09199603796643992,0.13870179902296512
5,44,shift_reuse,0.3993173828396711,0.09215107198906425,0.14310058359988034
5,44,shift_local_r2,0.3099491654408484,0.052598057495462036,0.09712109511019659
5,44,shift_rank8_feature,0.3151308610973258,0.036021298225068804,0.05875973593210801
5,44,shift_rank8_noise,0.29604527542276093,0.02783507648881111,0.04959197030402719
5,44,shift_rank8_noisy_delta,0.2944567670306987,0.026765877489766624,0.04495978612685576
5,44,shift_rank8_state,0.19757867730404746,0.014131902411661354,0.0251610521285329
5,44,shift_rank8_state_noise,0.19757350273708385,0.014138406932660772,0.025268664496252313
5,44,shift_rank8_state_noisy_condition,0.19757977179032726,0.014123677693363501,0.025119995255954562
5,44,shift_rank8_oracle,0.19753129478050246,0.01411871887343288,0.025153332942863926
6,33,raw_reuse,0.3350936995963022,0.09562349263020843,0.14607743996893985
6,33,shift_reuse,0.4154389889559903,0.09698251708314556,0.15256853582104668
6,33,shift_local_r2,0.33176924764912097,0.06411885417481185,0.11601607187185436
6,33,shift_rank8_feature,0.33063798653732357,0.04311883775035606,0.07471973191713913
6,33,shift_rank8_noise,0.3177325964059609,0.035552115796930614,0.061513631325215104
6,33,shift_rank8_noisy_delta,0.31848378342580264,0.03267402752500715,0.0557463121600449
6,33,shift_rank8_state,0.21845144896313742,0.017257043899150254,0.031066892493981865
6,33,shift_rank8_state_noise,0.21844610662551084,0.017181122354597317,0.031237530219368634
6,33,shift_rank8_state_noisy_condition,0.2184610592059913,0.017245394695308197,0.031012353510595857
6,33,shift_rank8_oracle,0.21838593835268053,0.017129819680500206,0.03135839954484254
7,22,raw_reuse,0.3414631176818642,0.10433265820211196,0.1624944737413898
7,22,shift_reuse,0.4250739126586823,0.10685466328455066,0.1753932202234864
7,22,shift_local_r2,0.35202347762745606,0.07032840180455927,0.1333962972392328
7,22,shift_rank8_feature,0.3553460673363518,0.05366268159544789,0.09851646705064923
7,22,shift_rank8_noise,0.3405400590010508,0.04620622704939184,0.08471043176250531
7,22,shift_rank8_noisy_delta,0.33755829302294643,0.04515923859559208,0.08488666535122319
7,22,shift_rank8_state,0.23348557823957705,0.02107329244905324,0.03604996936628595
7,22,shift_rank8_state_noise,0.23347693764171282,0.02109182481397,0.03617278640158474
7,22,shift_rank8_state_noisy_condition,0.23348971950484118,0.021082597567341196,0.036118606419768176
7,22,shift_rank8_oracle,0.2333715230608101,0.0211188707432646,0.036505636246874924
8,11,raw_reuse,0.3493956583585417,0.12913404418170216,0.20996388716157527
8,11,shift_reuse,0.42327765468775036,0.12659379653399008,0.22473809868097305
8,11,shift_local_r2,0.37488846328028974,0.09877150274937888,0.18444857201538978
8,11,shift_rank8_feature,0.3460191216864315,0.07284862911203452,0.14016917769331486
8,11,shift_rank8_noise,0.3639892579595655,0.0881683935977777,0.1647284932201728
8,11,shift_rank8_noisy_delta,0.3603257553234107,0.07190857926410835,0.13946819666307417
8,11,shift_rank8_state,0.2417177806933586,0.03370008603963148,0.060856115282513196
8,11,shift_rank8_state_noise,0.24179655751895607,0.033678644379078415,0.06105595328845082
8,11,shift_rank8_state_noisy_condition,0.24194529229274941,0.03354494115220355,0.06060127429664134
8,11,shift_rank8_oracle,0.24116262335426714,0.03321852619972247,0.060639848699793206
9,0,raw_reuse,0.3336746874602712,0.2772255433220991,0.5136345913633704
9,0,shift_reuse,0.39897210049012133,0.2253668643667474,0.392025295458734
9,0,shift_local_r2,0.32775764496109105,0.17604513313846346,0.33171661570668215
9,0,shift_rank8_feature,0.2538778108462747,0.14732714191818197,0.2798493464943021
9,0,shift_rank8_noise,0.3337776565783458,0.22101414677706138,0.4202792908996343
9,0,shift_rank8_noisy_delta,0.3212008235803716,0.18227287109428025,0.3393181991763412
9,0,shift_rank8_state,0.1919083934226209,0.09031575997829422,0.170122674992308
9,0,shift_rank8_state_noise,0.19136021414686227,0.0844207669363157,0.1587222845293581
9,0,shift_rank8_state_noisy_condition,0.19164185960721244,0.08816471670171823,0.16636006105691192
9,0,shift_rank8_oracle,0.1880049963367651,0.0819403540947983,0.15471697440370918
