case,component,delta_time_ms,per_denoise_step_ms,share_percent
F17,cross_attention_core,109.577674,5.767246,2.4213746413972554
F17,elementwise_memory,2161.528291,113.76464689473684,47.76401614885663
F17,linear_gemm,1067.686094,56.19400494736842,23.5930179808716
F17,normalization,167.148079,8.797267315789474,3.6935272038067275
F17,other,32.433475,1.707025,0.7166933831556951
F17,self_attention_core,987.058847,51.95046563157895,21.811370641912088
F81,cross_attention_core,420.659447,22.13997089473684,1.376383494357898
F81,elementwise_memory,8553.117924,450.1641012631579,27.98551279389261
F81,linear_gemm,4366.384223,229.80969594736843,14.28666161528505
F81,normalization,644.39346,33.91544526315789,2.108433623781606
F81,other,110.679893,5.82525752631579,0.3621408694584678
F81,self_attention_core,16467.42791,866.7067321052632,53.88086760322437
