position,latent_index,seed,seconds,peak_reserved_mib,exact
0,0,2026082700,0.7952647705078125,16964.0,True
1,1,2026082703,0.8071047973632812,17120.0,True
2,2,2026082704,0.806561767578125,17120.0,True
3,1,2026082703,0.8075416870117188,17120.0,True
4,0,2026082700,0.8083917846679688,17120.0,True
