weight_file,layer_key,method,trainable_params,stored_params,estimated_bits_fp16,estimated_bits_int8,estimated_bits_int4_delta,bcm_direct_ops,bcm_fft_ops,lowrank_ops,total_ops,activation_memory,extra_latency_proxy,block_size,rank,num_bcm_basis,sparse_ratio,delta_mode,objective,relative_fro_error,spectral_error,activation_error,source_file,result_dir
results/matrix_fit/subsets/bitnet_downproj_retry/model__layers__0__mlp__down_proj__weight.pt,model.layers.0.mlp.down_proj.weight,bcm_plus_lowrank,241664,241664,3866624,1933312,966656,6291456,7864320,45056,6336512,5632,1.0071614583333333,32,8,1,0.0,horizontal,0.007472766563296318,0.9487605690956116,0.3046931028366089,0.9505762457847595,results/matrix_fit/bitnet_downproj_retry/best_metrics.json,results/matrix_fit/bitnet_downproj_retry
results/matrix_fit/subsets/bitnet_qproj_retry/model__layers__0__self_attn__q_proj__weight.pt,model.layers.0.self_attn.q_proj.weight,bcm_plus_lowrank,98304,98304,1572864,786432,393216,2359296,2949120,24576,2383872,3072,1.0104166666666667,32,8,1,0.0,horizontal,0.004140335600823164,0.9112623929977417,0.3039076030254364,0.9145159721374512,results/matrix_fit/bitnet_qproj_retry/best_metrics.json,results/matrix_fit/bitnet_qproj_retry
results/matrix_fit/subsets/llama2_qproj_retry/model__layers__0__self_attn__q_proj__weight.pt,model.layers.0.self_attn.q_proj.weight,lowrank_svd,131072,131072,2097152,1048576,524288,0,0,131072,131072,8192,0.0078125,16,16,1,0.0,horizontal,0.0,0.6321438550949097,0.30392977595329285,0.6456505656242371,results/matrix_fit/llama2_qproj_retry/best_metrics.json,results/matrix_fit/llama2_qproj_retry
results/matrix_fit/subsets/mistral_qproj_retry/model__layers__0__self_attn__q_proj__weight.pt,model.layers.0.self_attn.q_proj.weight,lowrank_svd,65536,65536,1048576,524288,262144,0,0,65536,65536,8192,0.00390625,32,8,1,0.0,horizontal,0.0,0.5853903293609619,0.34431400895118713,0.6141496896743774,results/matrix_fit/mistral_qproj_retry/best_metrics.json,results/matrix_fit/mistral_qproj_retry
results/matrix_fit/subsets/qwen2_5_qproj_retry/model__layers__0__self_attn__q_proj__weight.pt,model.layers.0.self_attn.q_proj.weight,lowrank_svd,24576,24576,393216,196608,98304,0,0,24576,24576,3072,0.010416666666666666,32,8,1,0.0,horizontal,0.0,0.8599575757980347,0.2712831497192383,0.8702440857887268,results/matrix_fit/qwen2_5_qproj_retry/best_metrics.json,results/matrix_fit/qwen2_5_qproj_retry
results/matrix_fit/subsets/qwen3_downproj_retry/model__layers__0__mlp__down_proj__weight.pt,model.layers.0.mlp.down_proj.weight,lowrank_svd,65536,65536,1048576,524288,262144,0,0,65536,65536,4096,0.020833333333333332,64,16,1,0.0,horizontal,0.0,0.9751105308532715,0.6444634199142456,0.9757638573646545,results/matrix_fit/qwen3_downproj_retry/best_metrics.json,results/matrix_fit/qwen3_downproj_retry
