candidate,batch_size,retention_rate,arbitrary_gather_p50_ms,structured_gather_p50_ms,gather_p50_reduction,arbitrary_selector_p50_ms,structured_selector_p50_ms,arbitrary_total_p50_ms,structured_total_p50_ms,total_p50_reduction,arbitrary_path_p95_ms,structured_path_p95_ms,arbitrary_path_p99_ms,structured_path_p99_ms,full_q_proj_p50_ms,compact_vs_full_q_proj_reduction,arbitrary_decoder_prefill_p50_ms,structured_decoder_prefill_p50_ms,decoder_prefill_p50_reduction,output_shape_equal,execution
risk_block_dynamic,1,0.125,0.03353599905967712,0.07275519967079162,-1.1694656998684954,0.1854464054107666,0.24801280498504638,0.24954880475997926,0.3590656042098999,-0.4388592426048923,0.10265088379383085,0.14787072479724886,0.12662169909477233,0.15229030215740205,0.059699201583862306,-0.8602057695671588,29.713407516479492,31.971328735351562,-0.07598997919103678,True,eager
risk_block_fixed_slots,1,0.125,0.03353599905967712,0.0711679995059967,-1.1221374493526688,0.1854464054107666,0.24678399562835693,0.24954880475997926,0.3596287965774536,-0.4411160851816196,0.10265088379383085,0.17186303734779357,0.12662169909477233,0.1779763184785843,0.059699201583862306,-0.8902229503116257,29.713407516479492,31.930367469787598,-0.07461143431895345,True,eager
risk_block_dynamic,4,0.125,0.024371199309825897,0.0609279990196228,-1.5000000305712513,0.2758656024932861,0.23367679119110107,0.32911360263824463,0.3300351917743683,-0.002800215879064316,0.05633535981178284,0.0990259227156639,0.05691494226455688,0.10929049766063693,0.1850368022918701,0.47924737463158773,74.69158172607422,74.63731002807617,0.00072661063996593,True,eager
risk_block_fixed_slots,4,0.125,0.024371199309825897,0.0609279990196228,-1.5000000305712513,0.2758656024932861,0.295577609539032,0.32911360263824463,0.39162880778312686,-0.18995023190699833,0.05633535981178284,0.10047487795352933,0.05691494226455688,0.14880768287181856,0.1850368022918701,0.4809075975459882,74.69158172607422,74.9649887084961,-0.003660479214706802,True,eager
risk_block_dynamic,8,0.125,0.02457599937915802,0.10465279817581177,-3.258333366681474,0.4767744064331055,0.37969920635223386,0.5579776048660279,0.5427200078964234,0.0273444612051551,0.085104638338089,0.1687603175640106,0.089166849732399,0.16936960220336914,0.3284991979598999,0.50374064059636,139.41043090820312,140.00794219970703,-0.004285986978243672,True,eager
risk_block_fixed_slots,8,0.125,0.02457599937915802,0.10455039739608765,-3.254166668182492,0.4767744064331055,0.3876863956451416,0.5579776048660279,0.5505023956298829,0.0133969700055252,0.085104638338089,0.16937472224235534,0.089166849732399,0.1803991084098816,0.3284991979598999,0.504364086743931,139.41043090820312,139.9884796142578,-0.0041463805992774105,True,eager
risk_block_dynamic,16,0.125,0.030873599648475646,0.1922047972679138,-5.225538954198486,0.8402431964874267,0.6744063854217529,0.9927680015563964,0.984063982963562,0.008767424593851603,0.15700992286205293,0.3127398371696472,0.16279245007038118,0.32111411046981814,0.6626816034317016,0.5327203955289463,,,,True,eager
risk_block_fixed_slots,16,0.125,0.030873599648475646,0.19266560077667236,-5.240464441151909,0.8402431964874267,0.6822400093078613,0.9927680015563964,0.992409610748291,0.00036100157090435125,0.15700992286205293,0.3130419194698334,0.16279245007038118,0.3168798768520355,0.6626816034317016,0.5319477712460794,,,,True,eager
risk_block_dynamic,1,0.25,0.024166400730609893,0.05575680136680603,-1.3072033766361733,0.1829375982284546,0.21908479928970337,0.23598079681396483,0.31001600027084353,-0.3137340175829826,0.056857597827911374,0.09780735969543457,0.06018764960765839,0.10097151625156403,0.059699201583862306,-0.5231560652181377,32.33945655822754,31.37075138092041,0.029954281252777548,True,eager
risk_block_fixed_slots,1,0.25,0.024166400730609893,0.05529599785804749,-1.2881354354108638,0.1829375982284546,0.2631680011749268,0.23598079681396483,0.35717120170593264,-0.5135604529190063,0.056857597827911374,0.12862464189529418,0.06018764960765839,0.1649520676136018,0.059699201583862306,-0.5746140322991606,32.33945655822754,37.77791976928711,-0.16816804578232647,True,eager
