batch_size,retention_rate,retained_crop_tokens,layout,component,execution,output_shape,peak_incremental_bytes,mean_ms,p50_ms,p95_ms,p99_ms,std_ms,minimum_ms,maximum_ms
1,1.0,1024,full_uncompressed,full_q_proj,eager,1x1024x2048,5242880,0.06097066710392635,0.059699201583862306,0.06595072150230408,0.07179263943433761,0.0024683346810049577,0.05939199924468994,0.07260159850120544
1,0.125,128,arbitrary_token,gather_layout,eager,1x128x2048,655360,0.03486463993787766,0.03353599905967712,0.04140031918883323,0.043140095382928845,0.0030535400408741547,0.031744000315666196,0.04362240135669708
1,0.125,128,arbitrary_token,gather_plus_q_proj,eager,1x128x2048,2097152,0.06843904018402099,0.06410239934921265,0.10265088379383085,0.12662169909477233,0.013196798365289747,0.06348800063133239,0.13363200426101685
1,0.125,128,block_preblocked,gather_layout,eager,1x128x2048,655360,0.05047893337905407,0.04526079893112182,0.08140287935733795,0.0890460142493248,0.011427188246577494,0.04485119879245758,0.09123839735984803
1,0.125,128,block_preblocked,gather_plus_q_proj,eager,1x128x2048,2097152,0.09293397337198256,0.08232960104942322,0.138675194978714,0.1408634877204895,0.020051133208294266,0.07905279994010925,0.14202879667282103
1,0.125,128,fixed_slots_preblocked,gather_layout,eager,1x128x2048,655360,0.05298346678415934,0.04556800127029419,0.08453631967306137,0.09461657464504243,0.013760038787230484,0.04485119879245758,0.09758719801902771
1,0.125,128,fixed_slots_preblocked,gather_plus_q_proj,eager,1x128x2048,2097152,0.08744789322217304,0.07997440099716187,0.12573696315288543,0.14368255960941315,0.01628363397951356,0.07854080200195312,0.1509376049041748
1,0.125,128,block_layout_included,gather_layout,eager,1x128x2048,4849664,0.07299839993317922,0.07275519967079162,0.07557119727134705,0.0763709425330162,0.00166299232587355,0.0707584023475647,0.07741439938545228
1,0.125,128,block_layout_included,gather_plus_q_proj,eager,1x128x2048,4849664,0.12006143887837727,0.11105279922485352,0.14787072479724886,0.15229030215740205,0.01611931282396595,0.10864640474319458,0.20408320426940918
1,0.125,128,fixed_slots_layout_included,gather_layout,eager,1x128x2048,4849664,0.07295743937293689,0.0711679995059967,0.0750489619374275,0.10413772678375245,0.007002892197066627,0.07065600156784058,0.12595200538635254
1,0.125,128,fixed_slots_layout_included,gather_plus_q_proj,eager,1x128x2048,4849664,0.12472234656413397,0.11284480094909669,0.17186303734779357,0.1779763184785843,0.02312603919045579,0.10813440084457397,0.17838079929351808
1,0.125,128,energy_selector,score_plus_topk,eager,1x8,16777216,0.07031978681683541,0.06103039979934692,0.1074022454023361,0.12014080142974855,0.016632217033892636,0.060313600301742556,0.12902400493621827
1,0.125,128,risk_selector,score_plus_topk,eager,1x8,16778240,0.26064895888169604,0.24801280498504638,0.32118782997131345,0.34323968458175663,0.030438947065444786,0.20213758945465088,0.3969023942947388
1,0.125,128,risk_fixed_selector,score_plus_topk,eager,1x8,16778240,0.2586231470108032,0.24678399562835693,0.2863872098922729,0.36495052742958084,0.022492247777289327,0.24289278984069823,0.38103039264678956
1,0.125,128,risk_token_selector,score_plus_topk,eager,1x32,16797696,0.18588842650254564,0.1854464054107666,0.1884262442588806,0.1918986234664917,0.0016482362393191931,0.18329600095748902,0.19292160272598266
1,0.125,128,arbitrary_token,compact_prefill_plus_logits,eager,1x151936,38145536,30.655692863464356,29.713407516479492,33.24277877807617,33.844356536865234,1.4915955061047457,29.240320205688477,33.9947509765625
1,0.125,128,block_layout_included,compact_prefill_plus_logits,eager,1x151936,38145536,32.01920013427734,31.971328735351562,35.65926399230957,35.69817665100098,1.8041434063520345,29.313024520874023,35.70790481567383
1,0.125,128,fixed_slots_layout_included,compact_prefill_plus_logits,eager,1x151936,38145536,32.02293748855591,31.930367469787598,33.43534107208252,34.380125465393064,0.8758515486547878,30.61452865600586,34.6163215637207
1,0.25,256,arbitrary_token,gather_layout,eager,1x256x2048,1310720,0.024546986781060695,0.024166400730609893,0.026316800713539125,0.02726297554373741,0.0008688104762066323,0.02385919988155365,0.02959359884262085
1,0.25,256,arbitrary_token,gather_plus_q_proj,eager,1x256x2048,3145728,0.053550933400789896,0.05304319858551025,0.056857597827911374,0.06018764960765839,0.0019005888988097538,0.05140479803085327,0.06072319746017456
1,0.25,256,block_preblocked,gather_layout,eager,1x256x2048,1310720,0.03474261331061522,0.034201601147651674,0.037386241406202315,0.038917119443416595,0.0012124915359669653,0.033792001008987424,0.04167680144309997
1,0.25,256,block_preblocked,gather_plus_q_proj,eager,1x256x2048,3145728,0.07898368000984192,0.0677376002073288,0.13029376208782195,0.1461790707111359,0.023331854436744945,0.06399999856948853,0.1539072036743164
1,0.25,256,fixed_slots_preblocked,gather_layout,eager,1x256x2048,1310720,0.035089066823323564,0.034406399726867674,0.037698560804128645,0.0399411207139492,0.0018523901039482972,0.03399679958820343,0.050483202934265135
1,0.25,256,fixed_slots_preblocked,gather_plus_q_proj,eager,1x256x2048,3145728,0.06715391983588535,0.0657920002937317,0.07304704159498214,0.07542989015579223,0.003126908156430155,0.06410239934921265,0.08017920255661011
1,0.25,256,block_layout_included,gather_layout,eager,1x256x2048,5505024,0.05640874629219374,0.05575680136680603,0.05972992151975632,0.06134272217750549,0.001629250970913227,0.054579198360443115,0.06154239773750305
1,0.25,256,block_layout_included,gather_plus_q_proj,eager,1x256x2048,5505024,0.09220864022771517,0.09093120098114013,0.09780735969543457,0.10097151625156403,0.0027990986685095215,0.08939520120620728,0.10158079862594604
1,0.25,256,fixed_slots_layout_included,gather_layout,eager,1x256x2048,5505024,0.056032426555951434,0.05529599785804749,0.058982402086257935,0.06171852821111679,0.0016799165592133404,0.054476797580718994,0.06481919884681701
1,0.25,256,fixed_slots_layout_included,gather_plus_q_proj,eager,1x256x2048,5505024,0.10114901348948478,0.09400320053100586,0.12862464189529418,0.1649520676136018,0.03226372584103984,0.08960000276565552,0.42301440238952637
1,0.25,256,energy_selector,score_plus_topk,eager,1x16,16777216,0.04701354682445526,0.04618239998817444,0.05161983966827393,0.06051225721836092,0.0028049374487171745,0.045363199710845944,0.066048002243042
1,0.25,256,risk_selector,score_plus_topk,eager,1x16,16778240,0.22777941226959228,0.21908479928970337,0.30733312368392945,0.3179478976726532,0.030816279990545634,0.19988479614257812,0.3216383934020996
1,0.25,256,risk_fixed_selector,score_plus_topk,eager,1x16,16778240,0.2721442131201426,0.2631680011749268,0.34534400105476376,0.36891852378845214,0.03213130139213234,0.24453120231628417,0.3799040079116821
1,0.25,256,risk_token_selector,score_plus_topk,eager,1x64,16797696,0.19147093355655673,0.1829375982284546,0.2291200041770935,0.2829711449146271,0.027652261201380705,0.17868800163269044,0.4162559986114502
1,0.25,256,arbitrary_token,compact_prefill_plus_logits,eager,1x151936,48370176,32.675686550140384,32.33945655822754,36.97479724884033,40.573377418518064,2.7190620536208194,29.479936599731445,41.4730224609375
1,0.25,256,block_layout_included,compact_prefill_plus_logits,eager,1x151936,48370176,31.90399980545044,31.37075138092041,35.16277656555176,35.79548561096191,1.7795740909062616,29.79532814025879,35.95366287231445
1,0.25,256,fixed_slots_layout_included,compact_prefill_plus_logits,eager,1x151936,48370176,37.61710090637207,37.77791976928711,40.00993347167969,40.0597412109375,1.2776387151314257,35.54508972167969,40.07219314575195
4,1.0,1024,full_uncompressed,full_q_proj,eager,4x1024x2048,17825792,0.18467242767413458,0.1850368022918701,0.18934271931648253,0.18989363551139832,0.0035950958414171516,0.17182719707489014,0.1903615951538086
4,0.125,128,arbitrary_token,gather_layout,eager,4x128x2048,2621440,0.024514559879899027,0.024371199309825897,0.026214399933815004,0.026892287701368332,0.0005708130436991004,0.024063999950885772,0.027136000990867614
