dataset,scope,method,retention_rate,samples,accuracy,prediction_agreement,feature_nmse,feature_cosine,boundary_mse,prediction_loss_events,retained_crop_tokens,compact_visual_tokens,effective_total_retention
chartqa,main,average_pool,0.125,200,0.62,0.82,0.5832033413648605,0.6476115769147873,0.4467443385720253,9,128,384,0.3
chartqa,main,average_pool,0.25,200,0.615,0.82,0.4905576121807098,0.717706189751625,0.3617641711235046,10,256,512,0.4
chartqa,main,global_lowpass,0.125,200,0.605,0.785,0.5352331817150116,0.6814993697404862,0.4272122290730476,13,128,384,0.3
chartqa,main,global_lowpass,0.25,200,0.62,0.86,0.40315896928310396,0.7724240887165069,0.3207890051603317,8,256,512,0.4
chartqa,main,none,,200,0.64,1.0,0.0,1.0000000113248826,0.0,0,1024,1280,1.0
chartqa,main,tile_energy_exception,0.125,200,0.615,0.805,0.5006841960549354,0.7065528678894043,0.3562647707760334,10,128,384,0.3
chartqa,main,tile_energy_exception,0.25,200,0.605,0.825,0.36566115766763685,0.7965455162525177,0.23662864819169044,9,256,512,0.4
chartqa,main,tile_lowpass,0.125,200,0.6,0.815,0.5303009542822837,0.6851191455125809,0.36452492520213126,12,128,384,0.3
chartqa,main,tile_lowpass,0.25,200,0.62,0.835,0.4009646078944206,0.7738490039110184,0.24174654379487037,9,256,512,0.4
chartqa,main,tile_risk_exception,0.125,200,0.615,0.81,0.500723710656166,0.7065245196223259,0.3553652410209179,10,128,384,0.3
chartqa,main,tile_risk_exception,0.25,200,0.605,0.825,0.36570666715502737,0.7965175440907478,0.23676328629255294,9,256,512,0.4
chartqa,structure_ablation,risk_block_fixed_slots,0.125,200,0.61,0.805,0.5060371115803719,0.7027421775460243,0.35714837118983267,11,128,384,0.3
chartqa,structure_ablation,risk_block_fixed_slots,0.25,200,0.62,0.825,0.3704205173254013,0.7935411316156388,0.2393133284151554,8,256,512,0.4
chartqa,structure_ablation,risk_token_unstructured,0.125,200,0.615,0.805,0.44845048755407335,0.7431417661905289,0.3224480430036783,10,128,384,0.3
chartqa,structure_ablation,risk_token_unstructured,0.25,200,0.615,0.82,0.3210117553174496,0.825479419529438,0.21433619178831578,9,256,512,0.4
gqa,main,average_pool,0.125,200,0.69,0.9,0.5063600671291352,0.7034068673849105,2.4468449902534486,10,128,384,0.3
gqa,main,average_pool,0.25,200,0.71,0.915,0.43059542834758757,0.7565698462724686,1.9921447694301606,6,256,512,0.4
gqa,main,global_lowpass,0.125,200,0.715,0.93,0.47260655149817465,0.7258288159966468,2.327472128868103,5,128,384,0.3
gqa,main,global_lowpass,0.25,200,0.71,0.94,0.3538590244948864,0.8036199507117271,1.6792969822883606,4,256,512,0.4
