comparison_scope,retention_rate,datasets,lhs_method,rhs_method,samples,lhs_accuracy,rhs_accuracy,accuracy_delta,accuracy_delta_ci95_lower,accuracy_delta_ci95_upper,lhs_prediction_loss_events,rhs_prediction_loss_events,prediction_loss_event_reduction,lhs_boundary_mse,rhs_boundary_mse,rhs_minus_lhs_boundary_mse,boundary_delta_ci95_lower,boundary_delta_ci95_upper,relative_boundary_mse_reduction,budget_equal,task_sensitive_accuracy_delta,task_delta_at_least_2pp,gqa_accuracy_delta,gqa_not_worse,oracle_spearman_delta,oracle_spearman_delta_ci95_lower,oracle_spearman_delta_ci95_upper,oracle_significantly_better,same_budget,risk_scorer_flop_ratio_to_saved_projection,scorer_below_5pct,pass
textvqa+chartqa,0.125,chartqa+textvqa,tile_risk_exception,tile_energy_exception,400,0.6275,0.625,0.0025,0.0,0.0075,39,40,0.025000000000000022,0.9809941833466291,0.9832328426837921,0.0022386593371629716,-0.0005039893165230749,0.005056963231414556,0.002276835394404042,True,0.0025,False,0.0,True,0.0008363553349355308,5.974339212825021e-06,0.0016644143217841591,True,True,0.0012555803571428572,True,False
gqa,0.125,gqa,tile_risk_exception,tile_energy_exception,200,0.7,0.7,0.0,0.0,0.0,7,7,0.0,2.0191351515054703,2.019755230545998,0.0006200790405273438,-0.0035764763504266737,0.004854131728410719,0.0003070070230044575,True,0.0025,False,0.0,True,0.0008363553349355308,5.974339212825021e-06,0.0016644143217841591,True,True,0.0012555803571428572,True,False
textvqa+chartqa,0.25,chartqa+textvqa,tile_risk_exception,tile_energy_exception,400,0.6408333333333334,0.6383333333333333,0.0025,0.0,0.0075,32,32,0.0,0.6737055982649326,0.6720367512851954,-0.0016688469797372818,-0.0033454887410625813,-4.9344081431627535e-05,-0.0024832674352195383,True,0.0025,False,0.0,True,0.0009020704585336109,1.2426640464068352e-05,0.001826644621552416,True,True,0.00146484375,True,False
gqa,0.25,gqa,tile_risk_exception,tile_energy_exception,200,0.715,0.715,0.0,0.0,0.0,3,3,0.0,1.3358850076794624,1.334788748919964,-0.001096258759498596,-0.004795133635401724,0.002647611930966376,-0.0008212975726575866,True,0.0025,False,0.0,True,0.0009020704585336109,1.2426640464068352e-05,0.001826644621552416,True,True,0.00146484375,True,False
