retention_rate,datasets,lhs_method,rhs_method,samples,lhs_accuracy,rhs_accuracy,accuracy_delta,accuracy_delta_ci95_lower,accuracy_delta_ci95_upper,lhs_prediction_loss_events,rhs_prediction_loss_events,prediction_loss_event_reduction,lhs_boundary_mse,rhs_boundary_mse,rhs_minus_lhs_boundary_mse,boundary_delta_ci95_lower,boundary_delta_ci95_upper,relative_boundary_mse_reduction,budget_equal
0.125,chartqa+textvqa,tile_lowpass,global_lowpass,400,0.6216666666666667,0.6275,-0.005833333333333333,-0.024166666666666666,0.0125,40,42,0.04761904761904767,0.9889424773305655,1.1308263139426709,0.14188383661210538,0.13180008704494686,0.15187615822441877,0.12546916786665652,True
0.125,gqa,tile_lowpass,global_lowpass,200,0.695,0.715,-0.02,-0.04,-0.005,7,5,-0.3999999999999999,2.0282625526189806,2.327472128868103,0.29920957624912264,0.2887052927315235,0.3100649815946817,0.1285556001027751,True
0.25,chartqa+textvqa,tile_lowpass,global_lowpass,400,0.6525,0.6566666666666666,-0.004166666666666667,-0.02,0.011666666666666667,29,27,-0.07407407407407418,0.6601430007070302,0.8491640281677246,0.18902102746069432,0.17590798299666496,0.20183297807537018,0.22259660229432077,True
0.25,gqa,tile_lowpass,global_lowpass,200,0.715,0.71,0.005,-0.01,0.02,4,4,0.0,1.3037147480249405,1.6792969822883606,0.3755822342634201,0.3654897939264774,0.3860491531342268,0.2236544448210811,True
