split,sample_id,target,block,branch,target_step,method,error_sq,target_sq,block_output_sq,target_relative_l2,block_output_relative_l2
selection,p01_seed202608101,ffn,0,0,2,reuse,5.24549402736556,3775.686236500118,4016.3193812681,0.03727307730379721,0.03613924522012593
selection,p01_seed202608101,ffn,0,0,2,ar2,4.60196203661628,3775.686236500118,4016.3193812681,0.03491190663240756,0.033849900414908395
selection,p01_seed202608101,ffn,0,0,2,diagonal,6.358063067103572,3775.686236500118,4016.3193812681,0.041035947671287876,0.03978765057807143
selection,p01_seed202608101,ffn,0,0,2,target_visible_diagonal,1.599230776027271,3775.686236500118,4016.3193812681,0.02058058053032026,0.01995452751313404
selection,p01_seed202608101,ffn,0,0,3,reuse,2.6844029247969106,3697.230226259019,4109.991973123877,0.026945460133519287,0.025556617016965884
selection,p01_seed202608101,ffn,0,0,3,ar2,2.4888168179868546,3697.230226259019,4109.991973123877,0.025945271458354926,0.024607980816684992
selection,p01_seed202608101,ffn,0,0,3,diagonal,3.2771504489888508,3697.230226259019,4109.991973123877,0.0297721324472008,0.028237594866119587
selection,p01_seed202608101,ffn,0,0,3,target_visible_diagonal,0.47082282951962295,3697.230226259019,4109.991973123877,0.011284712759546536,0.01070306763043322
selection,p01_seed202608101,ffn,0,0,4,reuse,2.2001029001008483,3632.86542714972,4127.180061012623,0.02460916292310418,0.023088450533738675
selection,p01_seed202608101,ffn,0,0,4,ar2,1.0245927569875337,3632.86542714972,4127.180061012623,0.01679387767370153,0.015756107395871
selection,p01_seed202608101,ffn,0,0,4,diagonal,1.2075747337909282,3632.86542714972,4127.180061012623,0.01823191777666861,0.01710528444373053
selection,p01_seed202608101,ffn,0,0,4,target_visible_diagonal,0.4345771668028987,3632.86542714972,4127.180061012623,0.010937266562880082,0.010261402990440179
selection,p01_seed202608101,ffn,0,0,5,reuse,2.40396355611486,3513.8673317921466,4199.212874242046,0.026155995835826965,0.023926545178374396
selection,p01_seed202608101,ffn,0,0,5,ar2,0.9540269553766404,3513.8673317921466,4199.212874242046,0.016477360464216523,0.015072884704600734
selection,p01_seed202608101,ffn,0,0,5,diagonal,0.801010489421737,3513.8673317921466,4199.212874242046,0.015098243367295008,0.013811318991986454
selection,p01_seed202608101,ffn,0,0,5,target_visible_diagonal,0.4368457567925982,3513.8673317921466,4199.212874242046,0.011149910481620862,0.010199528954960055
selection,p01_seed202608101,ffn,0,0,6,reuse,5.539857250678779,3284.9881903462974,4284.341951462498,0.04106599791407507,0.035958968379469824
selection,p01_seed202608101,ffn,0,0,6,ar2,1.5692787454235073,3284.9881903462974,4284.341951462498,0.02185662696238951,0.019138503816878052
selection,p01_seed202608101,ffn,0,0,6,diagonal,0.8716005281058605,3284.9881903462974,4284.341951462498,0.0162889029611543,0.014263190383001612
selection,p01_seed202608101,ffn,0,0,6,target_visible_diagonal,0.3614323048789062,3284.9881903462974,4284.341951462498,0.010489301707062665,0.009184836301706136
selection,p01_seed202608101,ffn,0,0,7,reuse,2.9456197010336496,3131.83469174143,4335.387442419844,0.030668244900819198,0.026065999359803978
selection,p01_seed202608101,ffn,0,0,7,ar2,0.7808296852655302,3131.83469174143,4335.387442419844,0.015789876842892913,0.01342036106106732
selection,p01_seed202608101,ffn,0,0,7,diagonal,0.8444284649986576,3131.83469174143,4335.387442419844,0.016420335146799688,0.013956209323632165
selection,p01_seed202608101,ffn,0,0,7,target_visible_diagonal,0.3358531546224643,3131.83469174143,4335.387442419844,0.010355600807297487,0.008801582382244235
selection,p01_seed202608101,ffn,0,0,8,reuse,3.1560603299394536,2964.551039944333,4407.9120873367065,0.03262820499893953,0.02675815629216842
selection,p01_seed202608101,ffn,0,0,8,ar2,0.7372557807692748,2964.551039944333,4407.9120873367065,0.015769924979426128,0.012932802075044277
selection,p01_seed202608101,ffn,0,0,8,diagonal,0.5414198646203985,2964.551039944333,4407.9120873367065,0.013514115520793565,0.011082828959410002
selection,p01_seed202608101,ffn,0,0,8,target_visible_diagonal,0.1592574556453835,2964.551039944333,4407.9120873367065,0.007329433697763814,0.0060108158700187255
selection,p01_seed202608101,ffn,0,0,9,reuse,3.5829841155503352,2787.4586591589173,4459.006155821087,0.03585239923470666,0.028346758610632572
selection,p01_seed202608101,ffn,0,0,9,ar2,0.6157292098191135,2787.4586591589173,4459.006155821087,0.014862458701026773,0.011751027494714015
selection,p01_seed202608101,ffn,0,0,9,diagonal,0.5013364396421429,2787.4586591589173,4459.006155821087,0.013410977030854601,0.010603411117277873
selection,p01_seed202608101,ffn,0,0,9,target_visible_diagonal,0.10387955925750365,2787.4586591589173,4459.006155821087,0.006104650874113656,0.004826652286164714
