rank,aggregate_output_relative_l2,worst_output_relative_l2,aggregate_residual_relative_l2,mean_defect_remaining_energy,passing_cells,total_cells,maximum_render_to_exact_macs,maximum_base_plus_render_to_exact_macs
0,0.15418854889540917,0.18559301239448667,0.3618468627349791,1.0,0,3,0.0,0.0003025413473174667
8,0.08370368661770974,0.0955263622315355,0.19643427880312528,0.30374916965702053,0,3,0.0004033884630899556,0.0007059298104074224
16,0.07810509554964322,0.088876900930075,0.1832956078173173,0.26553841106521514,0,3,0.0008067769261799112,0.001109318273497378
32,0.07096876339750383,0.08061376619926461,0.16654819421763406,0.22023001640405485,0,3,0.0016135538523598225,0.0019160951996772893
64,0.06213729119862583,0.0704522695913444,0.14582265700109998,0.169563389982781,0,3,0.003227107704719645,0.0035296490520371118
96,0.056509178802928293,0.06400658787385868,0.13261470590426183,0.14056996232654848,0,3,0.004840661557079467,0.0051432029043969344
