rank,block,target_step,horizon,aggregate_output_relative_l2,worst_output_relative_l2,aggregate_residual_relative_l2,mean_defect_remaining_energy,maximum_render_to_exact_macs,sample_count,row_count,quality_pass,cost_pass,cell_pass
0,24,4,1,0.11921300237129723,0.1225754614180295,0.27976689069518756,1.0,0.0,1,2,False,True,False
0,24,4,2,0.1511030276611362,0.15251216139174295,0.35460581801069685,1.0,0.0,1,2,False,True,False
0,24,4,3,0.18514443261593086,0.18559301239448667,0.4344935637235055,1.0,0.0,1,2,False,True,False
8,24,4,1,0.06799446906365626,0.0701028968063052,0.1595681747462581,0.3252370958353441,0.0004033884630899556,1,2,False,True,False
8,24,4,2,0.08583176593523067,0.08644822361690815,0.20142841637178796,0.322666932852846,0.0004033884630899556,1,2,False,True,False
8,24,4,3,0.0950188486216211,0.0955263622315355,0.22298849376775728,0.26334348028287136,0.0004033884630899556,1,2,False,True,False
16,24,4,1,0.06408476966843307,0.06586313963314792,0.15039296380787642,0.2889871879982019,0.0008067769261799112,1,2,False,True,False
16,24,4,2,0.07998957990734638,0.08027796672388605,0.18771808119548355,0.2802418644101953,0.0008067769261799112,1,2,False,True,False
16,24,4,3,0.0882951145604717,0.088876900930075,0.20720935781167807,0.2273861807872483,0.0008067769261799112,1,2,False,True,False
32,24,4,1,0.05885341709568064,0.0604142784235234,0.13811612139725696,0.24375636479361157,0.0016135538523598225,1,2,False,True,False
32,24,4,2,0.07266714412858687,0.07281936210651514,0.17053392301315445,0.231288970140887,0.0016135538523598225,1,2,False,True,False
32,24,4,3,0.0797838178759933,0.08061376619926461,0.18723520262863488,0.18564471427766607,0.0016135538523598225,1,2,False,True,False
64,24,4,1,0.052069830086267754,0.05333724264808509,0.12219652363834131,0.19083685121699734,0.003227107704719645,1,2,False,True,False
64,24,4,2,0.06355410921196726,0.06394499634646603,0.1491476195671707,0.1769192733609969,0.003227107704719645,1,2,False,True,False
64,24,4,3,0.06951788884574253,0.0704522695913444,0.16314330839091185,0.14093404537034887,0.003227107704719645,1,2,False,True,False
96,24,4,1,0.04761336968961548,0.048640564937350264,0.11173818399519989,0.1596046794850529,0.004840661557079467,1,2,False,True,False
96,24,4,2,0.0577656267918676,0.05825087226869874,0.1355633150340861,0.14616114611864942,0.004840661557079467,1,2,False,True,False
96,24,4,3,0.06305522385248218,0.06400658787385868,0.1479768445421295,0.11594406137594307,0.004840661557079467,1,2,False,True,False
