sample_id,method,teacher_index,competitor_index,baseline_margin,exact_shift,exact_final_margin,normalized_adverse_shift
vsi_question_1320,source_pca_r456,1,0,1.5,0.0,1.5,0.0
vsi_question_1320,target_pca_r456,1,0,1.5,-0.125,1.375,0.0833333358168602
vsi_question_1320,vsi_pca_train96_r456,1,0,1.5,0.0,1.5,0.0
vsi_question_1320,pooled3_pca_r456,1,0,1.5,-0.125,1.375,0.0833333358168602
vsi_question_1320,cmrq_risk_atoms32_r456,1,0,1.5,0.0,1.5,0.0
vsi_question_1320,feature_only_null_atoms32_r456,1,0,1.5,-0.25,1.25,0.1666666716337204
vsi_question_1320,random_null_atoms32_r456,1,0,1.5,-0.125,1.375,0.0833333358168602
vsi_question_1320,permuted_risk_null_atoms32_r456,1,0,1.5,0.0,1.5,0.0
vsi_question_1320,cmrq_mix_g32_w0p0003_r456,1,0,1.5,-0.125,1.375,0.0833333358168602
vsi_question_1320,permuted_mix_g32_w0p0003_r456,1,0,1.5,0.0,1.5,0.0
vsi_question_1320,cmrq_mix_g32_w0p001_r456,1,0,1.5,0.0,1.5,0.0
vsi_question_1320,permuted_mix_g32_w0p001_r456,1,0,1.5,-0.125,1.375,0.0833333358168602
vsi_question_1320,cmrq_mix_g32_w0p003_r456,1,0,1.5,-0.125,1.375,0.0833333358168602
vsi_question_1320,permuted_mix_g32_w0p003_r456,1,0,1.5,0.0,1.5,0.0
vsi_question_1320,cmrq_mix_g32_w0p01_r456,1,0,1.5,-0.125,1.375,0.0833333358168602
vsi_question_1320,permuted_mix_g32_w0p01_r456,1,0,1.5,-0.125,1.375,0.0833333358168602
vsi_question_1320,risk_only_r456,1,0,1.5,-0.375,1.125,0.25
vsi_question_3068,source_pca_r456,1,0,2.875,0.0,2.875,0.0
vsi_question_3068,source_pca_r456,1,2,3.125,0.0,3.125,0.0
vsi_question_3068,source_pca_r456,1,3,2.875,0.0,2.875,0.0
vsi_question_3068,target_pca_r456,1,0,2.875,0.0,2.875,0.0
vsi_question_3068,target_pca_r456,1,2,3.125,-0.125,3.0,0.03999999910593033
vsi_question_3068,target_pca_r456,1,3,2.875,-0.125,2.75,0.043478261679410934
vsi_question_3068,vsi_pca_train96_r456,1,0,2.875,0.0,2.875,0.0
vsi_question_3068,vsi_pca_train96_r456,1,2,3.125,0.0,3.125,0.0
vsi_question_3068,vsi_pca_train96_r456,1,3,2.875,0.0,2.875,0.0
vsi_question_3068,pooled3_pca_r456,1,0,2.875,0.0,2.875,0.0
vsi_question_3068,pooled3_pca_r456,1,2,3.125,-0.125,3.0,0.03999999910593033
vsi_question_3068,pooled3_pca_r456,1,3,2.875,0.0,2.875,0.0
vsi_question_3068,cmrq_risk_atoms32_r456,1,0,2.875,0.0,2.875,0.0
vsi_question_3068,cmrq_risk_atoms32_r456,1,2,3.125,0.0,3.125,0.0
vsi_question_3068,cmrq_risk_atoms32_r456,1,3,2.875,0.0,2.875,0.0
vsi_question_3068,feature_only_null_atoms32_r456,1,0,2.875,0.0,2.875,0.0
vsi_question_3068,feature_only_null_atoms32_r456,1,2,3.125,-0.125,3.0,0.03999999910593033
vsi_question_3068,feature_only_null_atoms32_r456,1,3,2.875,0.125,3.0,0.0
vsi_question_3068,random_null_atoms32_r456,1,0,2.875,0.0,2.875,0.0
vsi_question_3068,random_null_atoms32_r456,1,2,3.125,0.0,3.125,0.0
vsi_question_3068,random_null_atoms32_r456,1,3,2.875,0.0,2.875,0.0
vsi_question_3068,permuted_risk_null_atoms32_r456,1,0,2.875,0.0,2.875,0.0
vsi_question_3068,permuted_risk_null_atoms32_r456,1,2,3.125,0.0,3.125,0.0
vsi_question_3068,permuted_risk_null_atoms32_r456,1,3,2.875,0.0,2.875,0.0
vsi_question_3068,cmrq_mix_g32_w0p0003_r456,1,0,2.875,0.0,2.875,0.0
vsi_question_3068,cmrq_mix_g32_w0p0003_r456,1,2,3.125,-0.125,3.0,0.03999999910593033
vsi_question_3068,cmrq_mix_g32_w0p0003_r456,1,3,2.875,0.0,2.875,0.0
vsi_question_3068,permuted_mix_g32_w0p0003_r456,1,0,2.875,0.0,2.875,0.0
vsi_question_3068,permuted_mix_g32_w0p0003_r456,1,2,3.125,0.0,3.125,0.0
vsi_question_3068,permuted_mix_g32_w0p0003_r456,1,3,2.875,0.0,2.875,0.0
vsi_question_3068,cmrq_mix_g32_w0p001_r456,1,0,2.875,0.0,2.875,0.0
vsi_question_3068,cmrq_mix_g32_w0p001_r456,1,2,3.125,-0.125,3.0,0.03999999910593033
vsi_question_3068,cmrq_mix_g32_w0p001_r456,1,3,2.875,-0.125,2.75,0.043478261679410934
vsi_question_3068,permuted_mix_g32_w0p001_r456,1,0,2.875,0.0,2.875,0.0
vsi_question_3068,permuted_mix_g32_w0p001_r456,1,2,3.125,0.0,3.125,0.0
vsi_question_3068,permuted_mix_g32_w0p001_r456,1,3,2.875,0.0,2.875,0.0
vsi_question_3068,cmrq_mix_g32_w0p003_r456,1,0,2.875,0.0,2.875,0.0
vsi_question_3068,cmrq_mix_g32_w0p003_r456,1,2,3.125,-0.125,3.0,0.03999999910593033
vsi_question_3068,cmrq_mix_g32_w0p003_r456,1,3,2.875,0.0,2.875,0.0
vsi_question_3068,permuted_mix_g32_w0p003_r456,1,0,2.875,-0.125,2.75,0.043478261679410934
vsi_question_3068,permuted_mix_g32_w0p003_r456,1,2,3.125,-0.125,3.0,0.03999999910593033
vsi_question_3068,permuted_mix_g32_w0p003_r456,1,3,2.875,-0.125,2.75,0.043478261679410934
vsi_question_3068,cmrq_mix_g32_w0p01_r456,1,0,2.875,-0.125,2.75,0.043478261679410934
vsi_question_3068,cmrq_mix_g32_w0p01_r456,1,2,3.125,-0.25,2.875,0.07999999821186066
vsi_question_3068,cmrq_mix_g32_w0p01_r456,1,3,2.875,-0.125,2.75,0.043478261679410934
vsi_question_3068,permuted_mix_g32_w0p01_r456,1,0,2.875,-0.125,2.75,0.043478261679410934
vsi_question_3068,permuted_mix_g32_w0p01_r456,1,2,3.125,-0.25,2.875,0.07999999821186066
vsi_question_3068,permuted_mix_g32_w0p01_r456,1,3,2.875,-0.125,2.75,0.043478261679410934
vsi_question_3068,risk_only_r456,1,0,2.875,0.375,3.25,0.0
vsi_question_3068,risk_only_r456,1,2,3.125,-0.375,2.75,0.11999999731779099
