Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
18.7,309864163,60,5164402.7,6070891.5,1460806,6159325,1855256.6,sm90_xmma_fprop_implicit_gemm_f32f32_tf32f32_f32_nhwckrsc_nhwc_tilesize256x32x32_warpgroupsize1x1x1_g1_execute_segment_k_off_kernel__5x_cudnn
11.4,188635817,160,1178973.9,262279.0,56865,3396664,1430216.1,sm90_xmma_fprop_implicit_gemm_f32f32_tf32f32_f32_nhwckrsc_nhwc_tilesize128x128x32_warpgroupsize1x1x1_g1_execute_segment_k_on_kernel__5x_cudnn
7.7,127097718,96,1323934.6,1423044.5,237063,2409502,679796.0,sm90_xmma_fprop_implicit_gemm_f32f32_tf32f32_f32_nhwckrsc_nhwc_tilesize128x128x32_warpgroupsize1x1x1_g1_execute_segment_k_off_kernel__5x_cudnn
6.3,104430725,120,870256.0,870518.5,856695,880214,4007.1,"void flash::compute_attn_ws<Flash_fwd_kernel_traits<(int)128, (int)128, (int)176, (int)12, (int)2, (bool)0, (int)1, cutlass::bfloat16_t, (bool)0, (int)1>, (bool)0, (bool)0, flash::StaticPersistentTileScheduler<(bool)0>, flash::SeqLenTraits<(bool)0, (bool)0, (bool)0>, flash::SeqLenTraits<(bool)0, (bool)0, (bool)0>>(flash::CollectiveMainloopFwd<T1, T2, T3, T5, T6>::Params, flash::CollectiveEpilogueFwd<T1, T6>::Params, T4::Params, T6, T5)"
4.5,75407131,1500,50271.4,25264.5,3968,491597,95353.1,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
4.4,73502386,840,87502.8,55281.5,53729,290663,79165.1,nvjet_tst_128x240_64x4_2x1_v_bz_coopA_bias_TNT
3.5,58154597,844,68903.6,57665.0,2016,1211135,124463.6,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
3.0,50029135,400,125072.8,59521.5,3041,486605,163215.9,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
2.9,48137502,302,159395.7,65025.5,3744,522413,191240.2,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::DivFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
2.8,46570375,328,141982.9,75650.0,1824,459692,158768.5,_cat_pad_ndhwc_kernel
2.6,43478231,608,71510.2,97603.0,2944,100035,32421.8,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<c10::BFloat16>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
2.2,36522370,120,304353.1,304488.0,300583,309000,1387.6,nvjet_tst_256x152_64x4_1x2_h_bz_coopA_bias_TNT
2.2,36456437,1476,24699.5,38145.0,2688,56770,18239.3,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
2.2,36344089,290,125324.4,34241.0,4320,459660,166351.8,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::NormTwoOps<float, float, float>, unsigned int, float, (int)4, (int)4>>(T3)"
1.7,28331739,739,38337.9,1376.0,1056,298599,83116.7,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<float>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
1.7,28082893,290,96837.6,39329.0,4224,301192,111571.2,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::silu_kernel(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
1.7,27941550,402,69506.3,5056.5,1024,299495,102855.5,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
1.7,27802873,612,45429.5,18880.0,1984,438347,88927.8,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
1.5,24303184,10,2430318.4,2854409.5,730867,2871850,895367.9,sm90_xmma_fprop_implicit_gemm_f32f32_tf32f32_f32_nhwckrsc_nhwc_tilesize64x192x32_warpgroupsize1x1x1_g1_execute_segment_k_off_kernel__5x_cudnn
