method,sample_count,margin_threshold,fallback_count,fallback_rate,remaining_mismatch_count,remaining_harmful_count,effective_candidate_kl_mean,effective_candidate_kl_p95,effective_feature_l2_mean,conservative_transfer_ratio,ideal_preroute_transfer_ratio
cmrq_mix_g32_w0p3_r456,72,0.0,7,0.09722222222222222,1,0,0.0012818180904206303,0.0032183318398892897,0.13582690784500706,4.45524861878453,4.715100131559713
cmrq_mix_g32_w0p3_r456,72,0.125,23,0.3194444444444444,0,0,0.001042582424512754,0.0032183318398892897,0.10241098557081488,2.2387562465297055,2.462854088722608
cmrq_mix_g32_w0p3_r456,72,0.25,30,0.4166666666666667,0,0,0.0009010418046576282,0.0027825054712593564,0.08770829045938121,1.8385772913816687,2.0371352785145884
cmrq_mix_g32_w0p3_r456,72,0.5,43,0.5972222222222222,0,0,0.000605202820022694,0.001939684059470892,0.06054830882284376,1.3803491954809997,1.5420949466940765
cmrq_risk_atoms32_r456,72,0.0,8,0.1111111111111111,1,0,0.0013598511270376751,0.005186342308297759,0.13378802148832214,4.195629552549428,4.460176991150443
cmrq_risk_atoms32_r456,72,0.125,22,0.3055555555555556,0,0,0.0011678063003475675,0.005186342308297759,0.10448155883285734,2.3106017191977077,2.5386431607114748
cmrq_risk_atoms32_r456,72,0.25,31,0.4305555555555556,0,0,0.0009327621422319984,0.003207256132736808,0.08573562817441092,1.7927967985771454,1.9880431432973802
cmrq_risk_atoms32_r456,72,0.5,44,0.6111111111111112,0,0,0.0005802515936213442,0.0019915845943614843,0.05847347527742386,1.3543836076587168,1.5137976346911959
permuted_mix_g32_w0p3_r456,72,0.0,7,0.09722222222222222,1,0,0.0019175933816263245,0.005811431608162823,0.13610588469439083,4.45524861878453,4.715100131559713
permuted_mix_g32_w0p3_r456,72,0.125,22,0.3055555555555556,0,0,0.0013943328457470569,0.00491536108311266,0.10463320753640598,2.3106017191977077,2.5386431607114748
permuted_mix_g32_w0p3_r456,72,0.25,31,0.4305555555555556,0,0,0.001185562717081565,0.00491536108311266,0.08583037886354658,1.7927967985771454,1.9880431432973802
permuted_mix_g32_w0p3_r456,72,0.5,43,0.5972222222222222,0,0,0.0007214260468673375,0.002600159286521379,0.06059767450723383,1.3803491954809997,1.5420949466940765
pooled3_pca_r456,72,0.0,7,0.09722222222222222,1,0,0.0018648712122942218,0.0067540891235694294,0.13132689334452152,4.45524861878453,4.715100131559713
pooled3_pca_r456,72,0.125,19,0.2638888888888889,1,0,0.0017151688888487923,0.0067540891235694294,0.10717093261579673,2.5567533291058973,2.796843839417324
pooled3_pca_r456,72,0.25,30,0.4166666666666667,0,0,0.0014551137250641154,0.0067540891235694294,0.08488391898572445,1.8385772913816687,2.0371352785145884
pooled3_pca_r456,72,0.5,44,0.6111111111111112,0,0,0.000990110358947681,0.006087071471847597,0.05657602556877666,1.3543836076587168,1.5137976346911959
vsi_pca_train96_r456,72,0.0,9,0.125,2,0,0.0014319794297787463,0.004835415189154449,0.12249206461840206,3.9646017699115044,4.231404958677686
vsi_pca_train96_r456,72,0.125,19,0.2638888888888889,0,0,0.0012431350931163048,0.004817630141042176,0.10245285948945416,2.5567533291058973,2.796843839417324
vsi_pca_train96_r456,72,0.25,32,0.4444444444444444,0,0,0.0009867387222281347,0.004817630141042176,0.07743942365050316,1.749240780911063,1.9412614347616757
vsi_pca_train96_r456,72,0.5,44,0.6111111111111112,0,0,0.0005910106087362187,0.0019469362683594228,0.05429520851208104,1.3543836076587168,1.5137976346911959
