method,sample_count,candidate_kl_mean,candidate_kl_p95,feature_relative_l2_mean,agreement,mismatch_count,harmful_count,beneficial_count
pooled3_pca_r456,72,0.0020079182852188954,0.0067540891235694294,0.1455749176028702,0.9722222222222222,2,1,0
vsi_pca_train96_r456,72,0.0016453201048231374,0.005795521917752924,0.13951856229040357,0.9583333333333334,3,1,0
cmrq_risk_atoms32_r456,72,0.001496860836697225,0.005186342308297759,0.15047050764163336,0.9861111111111112,1,0,0
feature_only_null_atoms32_r456,72,0.0019284729949302143,0.0059693926945328735,0.14499693074160153,0.9722222222222222,2,1,0
random_null_atoms32_r456,72,0.001671252877309194,0.004393786471337081,0.15058960993256834,0.9583333333333334,3,2,0
permuted_risk_null_atoms32_r456,72,0.0017337032994772824,0.004881011904217304,0.15059055967463386,0.9861111111111112,1,0,0
cmrq_mix_g32_w0p3_r456,72,0.0014143298354206814,0.0032183318398892897,0.1504650724430879,0.9722222222222222,2,1,0
permuted_mix_g32_w0p3_r456,72,0.0020815732875942355,0.005811431608162823,0.15058709970778889,0.9722222222222222,2,1,0
