primary,comparator,sample_count,primary_kl_mean,comparator_kl_mean,relative_improvement,paired_delta_mean,paired_delta_ci_low,paired_delta_ci_high
cmrq_risk_atoms32_r456,pooled3_pca_r456,72,0.001496860836697225,0.0020079182852188954,0.25452103916965774,-0.0005110574485216704,-0.0010911473030217975,2.111173752281328e-06
cmrq_risk_atoms32_r456,vsi_pca_train96_r456,72,0.001496860836697225,0.0016453201048231374,0.0902312368825463,-0.00014845926812591238,-0.0005060637347115618,0.00021821347816310458
cmrq_risk_atoms32_r456,feature_only_null_atoms32_r456,72,0.001496860836697225,0.0019284729949302143,0.22381032006549206,-0.00043161215823298943,-0.0008286074254606824,-6.46071592200317e-05
cmrq_risk_atoms32_r456,random_null_atoms32_r456,72,0.001496860836697225,0.001671252877309194,0.10434808698295228,-0.0001743920406119691,-0.0005931479141711154,0.0002018517577703782
cmrq_risk_atoms32_r456,permuted_risk_null_atoms32_r456,72,0.001496860836697225,0.0017337032994772824,0.13661072390614137,-0.00023684246278005757,-0.0006040194943327352,8.06659837204884e-05
cmrq_mix_g32_w0p3_r456,pooled3_pca_r456,72,0.0014143298354206814,0.0020079182852188954,0.2956238080841539,-0.0005935884497982139,-0.001105717214684571,-0.00013570240912991316
cmrq_mix_g32_w0p3_r456,vsi_pca_train96_r456,72,0.0014143298354206814,0.0016453201048231374,0.14039229735619507,-0.00023099026940245595,-0.0006359919696276645,0.0001639841348353204
cmrq_mix_g32_w0p3_r456,cmrq_risk_atoms32_r456,72,0.0014143298354206814,0.001496860836697225,0.05513605490450646,-8.253100127654357e-05,-0.00040115535589898676,0.0002328016711140258
cmrq_mix_g32_w0p3_r456,permuted_mix_g32_w0p3_r456,72,0.0014143298354206814,0.0020815732875942355,0.3205476627463433,-0.0006672434521735542,-0.001192616629365754,-0.00023332247850097097
