scope,method,correction,records,captures,aggregate_relative_av_l2,mean_head_relative_av_l2,worst_head_relative_av_l2,minimum_cache_compression_ratio,maximum_dense_reference_parity
calibration,canonical_identity_d0p10,adaptive_rank16,48,4,0.07520947812978482,0.043086079676868394,0.1561976671218872,1.5929189861829653,0.0013198975939303637
calibration,canonical_identity_d0p10,none,48,4,0.14098733758473486,0.09962974303440812,0.2904021739959717,1.5929189861829653,0.0013198975939303637
calibration,canonical_identity_d0p20,adaptive_rank16,48,4,0.07426208515094442,0.04132286311748127,0.15619800984859467,1.4952055295822484,0.0013198975939303637
calibration,canonical_identity_d0p20,none,48,4,0.13849122723020715,0.09468629204396468,0.2904021739959717,1.4952055295822484,0.0013198975939303637
calibration,canonical_per_head_shift_d0p20,adaptive_rank16,48,4,0.0750250214517809,0.03934485884868385,0.16459016501903534,1.4952033914389826,0.0013198975939303637
calibration,canonical_per_head_shift_d0p20,none,48,4,0.13696145578185223,0.09122228695681163,0.2932429015636444,1.4952033914389826,0.0013198975939303637
calibration,canonical_shared_shift_d0p05,adaptive_rank16,48,4,0.08123191109627322,0.043264714224884905,0.17471344769001007,1.6467267606585607,0.0013198975939303637
calibration,canonical_shared_shift_d0p05,none,48,4,0.1480898718835758,0.1021163473536338,0.3073137402534485,1.6467267606585607,0.0013198975939303637
calibration,canonical_shared_shift_d0p10,adaptive_rank16,48,4,0.07584047530287187,0.04107175699027721,0.16459016501903534,1.5929189861829653,0.0013198975939303637
calibration,canonical_shared_shift_d0p10,none,48,4,0.1392968246526984,0.09608683091937564,0.2932429015636444,1.5929189861829653,0.0013198975939303637
calibration,canonical_shared_shift_d0p20,adaptive_rank16,48,4,0.0750250214517809,0.03934485884868385,0.16459016501903534,1.4952055295822484,0.0013198975939303637
calibration,canonical_shared_shift_d0p20,none,48,4,0.13696145578185223,0.09122228695681163,0.2932429015636444,1.4952055295822484,0.0013198975939303637
calibration,postrope_shared_shift_d0p20,adaptive_rank16,48,4,0.13854792137750704,0.048645767271712735,0.35531073808670044,1.4952055295822484,0.0013198975939303637
calibration,postrope_shared_shift_d0p20,none,48,4,0.28944857369041155,0.11965896351224121,0.7518076300621033,1.4952055295822484,0.0013198975939303637
validation,canonical_identity_d0p10,adaptive_rank16,24,2,0.08292759844474862,0.048378289463774614,0.15300102531909943,1.5929189861829653,0.0012964833294972777
validation,canonical_identity_d0p10,none,24,2,0.14496842937735893,0.10635249445719334,0.2544906437397003,1.5929189861829653,0.0012964833294972777
validation,canonical_identity_d0p20,adaptive_rank16,24,2,0.08248692680199235,0.047173326359673716,0.15300102531909943,1.4952055295822484,0.0012964833294972777
validation,canonical_identity_d0p20,none,24,2,0.14379056374209895,0.10300092682397614,0.2544906437397003,1.4952055295822484,0.0012964833294972777
validation,canonical_per_head_shift_d0p20,adaptive_rank16,24,2,0.07814528783882943,0.04499292750066767,0.14465975761413574,1.4952033914389826,0.0012964833294972777
validation,canonical_per_head_shift_d0p20,none,24,2,0.13616495693243819,0.09842959793362145,0.24122722446918488,1.4952033914389826,0.0012964833294972777
validation,canonical_shared_shift_d0p05,adaptive_rank16,24,2,0.09686147560905099,0.0491950451687444,0.1887129694223404,1.6467267606585607,0.0012964833294972777
validation,canonical_shared_shift_d0p05,none,24,2,0.16533522153078092,0.10791209941574682,0.3093264698982239,1.6467267606585607,0.0012964833294972777
validation,canonical_shared_shift_d0p10,adaptive_rank16,24,2,0.08216437015523777,0.046955967884665974,0.15300102531909943,1.5929189861829653,0.0012964833294972777
validation,canonical_shared_shift_d0p10,none,24,2,0.14316552789754985,0.10321712312482607,0.2544906437397003,1.5929189861829653,0.0012964833294972777
validation,canonical_shared_shift_d0p20,adaptive_rank16,24,2,0.081490913716686,0.04545639074058272,0.15300102531909943,1.4952055295822484,0.0012964833294972777
validation,canonical_shared_shift_d0p20,none,24,2,0.14126794852458197,0.09914270295606305,0.2544906437397003,1.4952055295822484,0.0012964833294972777
validation,postrope_shared_shift_d0p20,adaptive_rank16,24,2,0.125583531025225,0.05387598928064108,0.2548263370990753,1.4952055295822484,0.0012964833294972777
validation,postrope_shared_shift_d0p20,none,24,2,0.22991038353563528,0.12493487193326776,0.456776887178421,1.4952055295822484,0.0012964833294972777
test,canonical_identity_d0p10,adaptive_rank16,24,2,0.07972363100233262,0.04521296435268596,0.14558528363704681,1.5929189861829653,0.00133819121401757
test,canonical_identity_d0p10,none,24,2,0.14329439936519917,0.10608447680715472,0.24772360920906067,1.5929189861829653,0.00133819121401757
test,canonical_identity_d0p20,adaptive_rank16,24,2,0.07914153013990499,0.043664480918475114,0.1455853283405304,1.4952055295822484,0.00133819121401757
test,canonical_identity_d0p20,none,24,2,0.14179855269511016,0.10212671900323282,0.24772363901138306,1.4952055295822484,0.00133819121401757
test,canonical_per_head_shift_d0p20,adaptive_rank16,24,2,0.07876518330933846,0.04292014612777469,0.1455853283405304,1.4952033914389826,0.00133819121401757
test,canonical_per_head_shift_d0p20,none,24,2,0.14130270159108788,0.10075180667142074,0.24772363901138306,1.4952033914389826,0.00133819121401757
test,canonical_shared_shift_d0p05,adaptive_rank16,24,2,0.07954025418531299,0.044917779023914285,0.14558541774749756,1.6467267606585607,0.00133819121401757
test,canonical_shared_shift_d0p05,none,24,2,0.14319597789854122,0.10613567405380309,0.2477237433195114,1.6467267606585607,0.00133819121401757
test,canonical_shared_shift_d0p10,adaptive_rank16,24,2,0.07939047811353753,0.04451267753029242,0.14558528363704681,1.5929189861829653,0.00133819121401757
test,canonical_shared_shift_d0p10,none,24,2,0.14295020969929664,0.10500125769370545,0.24772360920906067,1.5929189861829653,0.00133819121401757
test,canonical_shared_shift_d0p20,adaptive_rank16,24,2,0.0787647867786789,0.0429105833657862,0.1455853283405304,1.4952055295822484,0.00133819121401757
test,canonical_shared_shift_d0p20,none,24,2,0.14130236207285404,0.1007430136281376,0.24772363901138306,1.4952055295822484,0.00133819121401757
test,postrope_shared_shift_d0p20,adaptive_rank16,24,2,0.12415702119103099,0.05018088586317996,0.24246571958065033,1.4952055295822484,0.00133819121401757
test,postrope_shared_shift_d0p20,none,24,2,0.21757976931791936,0.12106879558026169,0.41090860962867737,1.4952055295822484,0.00133819121401757
held_out,canonical_identity_d0p10,adaptive_rank16,48,4,0.08119952056897628,0.04679562690823028,0.15300102531909943,1.5929189861829653,0.00133819121401757
held_out,canonical_identity_d0p10,none,48,4,0.14405975160253087,0.10621848563217402,0.2544906437397003,1.5929189861829653,0.00133819121401757
held_out,canonical_identity_d0p20,adaptive_rank16,48,4,0.08068340053087794,0.045418903639074415,0.15300102531909943,1.4952055295822484,0.00133819121401757
held_out,canonical_identity_d0p20,none,48,4,0.14270986079167344,0.10256382291360448,0.2544906437397003,1.4952055295822484,0.00133819121401757
held_out,canonical_per_head_shift_d0p20,adaptive_rank16,48,4,0.07848327300782751,0.04395653681422118,0.1455853283405304,1.4952033914389826,0.00133819121401757
held_out,canonical_per_head_shift_d0p20,none,48,4,0.13898472946117774,0.0995907023025211,0.24772363901138306,1.4952033914389826,0.00133819121401757
held_out,canonical_shared_shift_d0p05,adaptive_rank16,48,4,0.0878589439292625,0.047056412096329346,0.1887129694223404,1.6467267606585607,0.00133819121401757
held_out,canonical_shared_shift_d0p05,none,48,4,0.15368200145353206,0.10702388673477496,0.3093264698982239,1.6467267606585607,0.00133819121401757
held_out,canonical_shared_shift_d0p10,adaptive_rank16,48,4,0.0806665109630467,0.0457343227074792,0.15300102531909943,1.5929189861829653,0.00133819121401757
held_out,canonical_shared_shift_d0p10,none,48,4,0.14304838122431784,0.10410919040926576,0.2544906437397003,1.5929189861829653,0.00133819121401757
held_out,canonical_shared_shift_d0p20,adaptive_rank16,48,4,0.0800187392237783,0.04418348705318446,0.15300102531909943,1.4952055295822484,0.00133819121401757
held_out,canonical_shared_shift_d0p20,none,48,4,0.14128667912804618,0.09994285829210033,0.2544906437397003,1.4952055295822484,0.00133819121401757
held_out,postrope_shared_shift_d0p20,adaptive_rank16,48,4,0.12480917554785875,0.05202843757191052,0.2548263370990753,1.4952055295822484,0.00133819121401757
held_out,postrope_shared_shift_d0p20,none,48,4,0.2232839176740608,0.12300183375676473,0.456776887178421,1.4952055295822484,0.00133819121401757
all,canonical_identity_d0p10,adaptive_rank16,96,8,0.07842356721399171,0.04494085329254934,0.1561976671218872,1.5929189861829653,0.00133819121401757
all,canonical_identity_d0p10,none,96,8,0.14261489984004103,0.10292411433329107,0.2904021739959717,1.5929189861829653,0.00133819121401757
all,canonical_identity_d0p20,adaptive_rank16,96,8,0.07771258981723747,0.043370883378277846,0.15619800984859467,1.4952055295822484,0.00133819121401757
all,canonical_identity_d0p20,none,96,8,0.14073041563261993,0.09862505747878458,0.2904021739959717,1.4952055295822484,0.00133819121401757
all,canonical_per_head_shift_d0p20,adaptive_rank16,96,8,0.07686708302208999,0.04165069783145251,0.16459016501903534,1.4952033914389826,0.00133819121401757
all,canonical_per_head_shift_d0p20,none,96,8,0.13803151631330415,0.09540649462966637,0.2932429015636444,1.4952033914389826,0.00133819121401757
all,canonical_shared_shift_d0p05,adaptive_rank16,96,8,0.08478926177016415,0.045160563160607126,0.1887129694223404,1.6467267606585607,0.00133819121401757
all,canonical_shared_shift_d0p05,none,96,8,0.15106300066400477,0.10457011704420438,0.3093264698982239,1.6467267606585607,0.00133819121401757
all,canonical_shared_shift_d0p10,adaptive_rank16,96,8,0.0784210565070889,0.0434030398488782,0.16459016501903534,1.5929189861829653,0.00133819121401757
all,canonical_shared_shift_d0p10,none,96,8,0.14128649434060175,0.10009801066432071,0.2932429015636444,1.5929189861829653,0.00133819121401757
all,canonical_shared_shift_d0p20,adaptive_rank16,96,8,0.07769696717195722,0.04176417295093415,0.16459016501903534,1.4952055295822484,0.00133819121401757
all,canonical_shared_shift_d0p20,none,96,8,0.1392578040643528,0.09558257262445598,0.2932429015636444,1.4952055295822484,0.00133819121401757
