split,sample_id,prompt_index,seed,sampling_step,branch,layer,head,head_role,radius,offsets,rank,prediction,basis_energy,local_mass_mean,residual_sq,dense_reference_sq,local_reference_sq,full_output_relative_l2,local_output_relative_l2,probability_relative_l2,basis_parameters_per_head_cell,gate_parameters_per_head_cell,stored_parameters_per_head_cell
calibration,s00_p00_seed20260740,0,20260740,0,cond,0,0,diffuse,2x4x4,405,8,oracle_linear,0.4279474914073944,0.037718549370765686,0.11513057351112366,173.58815002441406,0.4854450821876526,0.025753442891709465,0.4869958733132656,0.29007616180556983,3645,1296,4941
calibration,s00_p00_seed20260740,0,20260740,0,cond,0,0,diffuse,2x4x4,405,8,oracle_nonnegative,0.4279474914073944,0.037718549370765686,0.11513075232505798,173.58815002441406,0.4854450821876526,0.025753462891056803,0.4869962514995789,0.2900584751469638,3645,1296,4941
calibration,s00_p00_seed20260740,0,20260740,0,cond,0,0,diffuse,2x4x4,405,8,ridge_linear,0.4279474914073944,0.037718549370765686,0.11601600050926208,173.58815002441406,0.4854450821876526,0.025852283359266186,0.4888649399083178,0.2901002086020934,3645,1296,4941
calibration,s00_p00_seed20260740,0,20260740,0,cond,0,0,diffuse,2x4x4,405,8,ridge_nonnegative,0.4279474914073944,0.037718549370765686,0.11601516604423523,173.58815002441406,0.4854450821876526,0.025852190385602967,0.4888631817825982,0.29008482154645127,3645,1296,4941
calibration,s00_p00_seed20260740,0,20260740,0,cond,0,0,diffuse,2x4x4,405,16,oracle_linear,0.6930879950523376,0.037718549370765686,0.04302358999848366,173.58815002441406,0.4854450821876526,0.01574320989596791,0.2977030404936287,0.21247174181525158,6885,2336,9221
calibration,s00_p00_seed20260740,0,20260740,0,cond,0,0,diffuse,2x4x4,405,16,oracle_nonnegative,0.6930879950523376,0.037718549370765686,0.043055303394794464,173.58815002441406,0.4854450821876526,0.015749011116686498,0.29781274118731893,0.2124349816925168,6885,2336,9221
calibration,s00_p00_seed20260740,0,20260740,0,cond,0,0,diffuse,2x4x4,405,16,ridge_linear,0.6930879950523376,0.037718549370765686,0.04391155391931534,173.58815002441406,0.4854450821876526,0.015904842235851733,0.3007594971719989,0.21252687765435294,6885,2336,9221
calibration,s00_p00_seed20260740,0,20260740,0,cond,0,0,diffuse,2x4x4,405,16,ridge_nonnegative,0.6930879950523376,0.037718549370765686,0.04394000023603439,173.58815002441406,0.4854450821876526,0.01590999305482965,0.30085689881250866,0.21249541651466547,6885,2336,9221
calibration,s00_p00_seed20260740,0,20260740,0,cond,0,0,diffuse,2x4x4,405,32,oracle_linear,0.9999998211860657,0.037718549370765686,5.689436699540806e-10,173.58815002441406,0.4854450821876526,1.810400235858633e-06,3.423454672122071e-05,1.7497019495338333e-05,13365,4416,17781
calibration,s00_p00_seed20260740,0,20260740,0,cond,0,0,diffuse,2x4x4,405,32,oracle_nonnegative,0.9999998211860657,0.037718549370765686,5.689436699540806e-10,173.58815002441406,0.4854450821876526,1.810400235858633e-06,3.423454672122071e-05,1.7497019495338333e-05,13365,4416,17781
calibration,s00_p00_seed20260740,0,20260740,0,cond,0,0,diffuse,2x4x4,405,32,ridge_linear,0.9999998211860657,0.037718549370765686,3.529446985339746e-05,173.58815002441406,0.4854450821876526,0.0004509135582554166,0.008526745065300762,0.006019557535718988,13365,4416,17781
calibration,s00_p00_seed20260740,0,20260740,0,cond,0,0,diffuse,2x4x4,405,32,ridge_nonnegative,0.9999998211860657,0.037718549370765686,3.529446985339746e-05,173.58815002441406,0.4854450821876526,0.0004509135582554166,0.008526745065300762,0.006019557535718988,13365,4416,17781
calibration,s00_p00_seed20260740,0,20260740,0,cond,0,0,diffuse,2x4x4,405,64,oracle_linear,1.0,0.037718549370765686,5.702969763099475e-10,173.58815002441406,0.4854450821876526,1.8125520929571865e-06,3.42752381942545e-05,1.7514101863615252e-05,26325,8576,34901
calibration,s00_p00_seed20260740,0,20260740,0,cond,0,0,diffuse,2x4x4,405,64,oracle_nonnegative,1.0,0.037718549370765686,5.702969763099475e-10,173.58815002441406,0.4854450821876526,1.8125520929571865e-06,3.42752381942545e-05,1.7514101863615252e-05,26325,8576,34901
calibration,s00_p00_seed20260740,0,20260740,0,cond,0,0,diffuse,2x4x4,405,64,ridge_linear,1.0,0.037718549370765686,3.5294760891702026e-05,173.58815002441406,0.4854450821876526,0.00045091541736886286,0.008526780221011016,0.0060195672014714905,26325,8576,34901
calibration,s00_p00_seed20260740,0,20260740,0,cond,0,0,diffuse,2x4x4,405,64,ridge_nonnegative,1.0,0.037718549370765686,3.5294760891702026e-05,173.58815002441406,0.4854450821876526,0.00045091541736886286,0.008526780221011016,0.0060195672014714905,26325,8576,34901
calibration,s00_p00_seed20260740,0,20260740,0,cond,0,1,transitional,2x4x4,405,8,oracle_linear,0.7668858170509338,0.6740120649337769,1.2112871408462524,1018.2518310546875,501.31494140625,0.034490219120720506,0.04915505982591425,0.09139483762574116,3645,1296,4941
calibration,s00_p00_seed20260740,0,20260740,0,cond,0,1,transitional,2x4x4,405,8,oracle_nonnegative,0.7668858170509338,0.6740120649337769,1.2112871408462524,1018.2518310546875,501.31494140625,0.034490219120720506,0.04915505982591425,0.09139483762574116,3645,1296,4941
calibration,s00_p00_seed20260740,0,20260740,0,cond,0,1,transitional,2x4x4,405,8,ridge_linear,0.7668858170509338,0.6740120649337769,1.2143292427062988,1018.2518310546875,501.31494140625,0.0345335024023691,0.04921674665635888,0.09140757694361637,3645,1296,4941
calibration,s00_p00_seed20260740,0,20260740,0,cond,0,1,transitional,2x4x4,405,8,ridge_nonnegative,0.7668858170509338,0.6740120649337769,1.2143292427062988,1018.2518310546875,501.31494140625,0.0345335024023691,0.04921674665635888,0.09140757694361637,3645,1296,4941
calibration,s00_p00_seed20260740,0,20260740,0,cond,0,1,transitional,2x4x4,405,16,oracle_linear,0.8984231352806091,0.6740120649337769,0.42720478773117065,1018.2518310546875,501.31494140625,0.020482853356587137,0.029191924777990107,0.06033013200504546,6885,2336,9221
calibration,s00_p00_seed20260740,0,20260740,0,cond,0,1,transitional,2x4x4,405,16,oracle_nonnegative,0.8984231352806091,0.6740120649337769,0.42720478773117065,1018.2518310546875,501.31494140625,0.020482853356587137,0.029191924777990107,0.06033013200504546,6885,2336,9221
calibration,s00_p00_seed20260740,0,20260740,0,cond,0,1,transitional,2x4x4,405,16,ridge_linear,0.8984231352806091,0.6740120649337769,0.430370569229126,1018.2518310546875,501.31494140625,0.02055860689656328,0.02929988784359194,0.06035319452421745,6885,2336,9221
calibration,s00_p00_seed20260740,0,20260740,0,cond,0,1,transitional,2x4x4,405,16,ridge_nonnegative,0.8984231352806091,0.6740120649337769,0.430370569229126,1018.2518310546875,501.31494140625,0.02055860689656328,0.02929988784359194,0.06035319452421745,6885,2336,9221
calibration,s00_p00_seed20260740,0,20260740,0,cond,0,1,transitional,2x4x4,405,32,oracle_linear,0.9999999403953552,0.6740120649337769,9.885627427763666e-09,1018.2518310546875,501.31494140625,3.1158354881465078e-06,4.440652559830672e-06,8.084593649500635e-06,13365,4416,17781
calibration,s00_p00_seed20260740,0,20260740,0,cond,0,1,transitional,2x4x4,405,32,oracle_nonnegative,0.9999999403953552,0.6740120649337769,9.885627427763666e-09,1018.2518310546875,501.31494140625,3.1158354881465078e-06,4.440652559830672e-06,8.084593649500635e-06,13365,4416,17781
calibration,s00_p00_seed20260740,0,20260740,0,cond,0,1,transitional,2x4x4,405,32,ridge_linear,0.9999999403953552,0.6740120649337769,0.0004776462446898222,1018.2518310546875,501.31494140625,0.0006848975047164982,0.0009761079713968357,0.0017704328228666704,13365,4416,17781
calibration,s00_p00_seed20260740,0,20260740,0,cond,0,1,transitional,2x4x4,405,32,ridge_nonnegative,0.9999999403953552,0.6740120649337769,0.0004776462446898222,1018.2518310546875,501.31494140625,0.0006848975047164982,0.0009761079713968357,0.0017704328228666704,13365,4416,17781
calibration,s00_p00_seed20260740,0,20260740,0,cond,0,1,transitional,2x4x4,405,64,oracle_linear,0.9999999403953552,0.6740120649337769,9.892911378983626e-09,1018.2518310546875,501.31494140625,3.1169831853845037e-06,4.442288244608385e-06,8.080790024920331e-06,26325,8576,34901
