split,prediction,rank,records,local_mass_mean,basis_energy_mean,aggregate_full_output_relative_l2,aggregate_local_output_relative_l2,record_error_p95,record_error_max
calibration,oracle_linear,16,108,0.3879406376077828,0.8733280626712022,0.028969213073695946,0.03531777773828608,0.09743775394376479,0.1557409581937051
calibration,oracle_linear,32,108,0.3879406376077828,0.9730681440344563,0.011805119383575632,0.014392195656209592,0.03994143629458557,0.07915223983243111
calibration,oracle_linear,64,108,0.3879406376077828,0.9999999746128365,9.883542463869483e-06,1.2049507700394034e-05,2.4804292073377015e-05,6.732796823282227e-05
calibration,oracle_linear,8,108,0.3879406376077828,0.7563294718662897,0.047806570453656515,0.05828331703097046,0.15362685568759887,0.24684246441397864
calibration,oracle_nonnegative,16,108,0.3879406376077828,0.8733280626712022,0.03012040405444888,0.03672125069728988,0.10010529593510298,0.15946924509750232
calibration,oracle_nonnegative,32,108,0.3879406376077828,0.9730681440344563,0.012811131674133456,0.015618674207405264,0.04294843587319018,0.08671033614828934
calibration,oracle_nonnegative,64,108,0.3879406376077828,0.9999999746128365,1.2116964458689272e-05,1.4772381166379459e-05,2.4002690206182143e-05,8.64092263676191e-05
calibration,oracle_nonnegative,8,108,0.3879406376077828,0.7563294718662897,0.0485322121981918,0.05916798220243795,0.15665810547869005,0.25381175915575144
calibration,ridge_linear,16,108,0.3879406376077828,0.8733280626712022,0.029680857300884062,0.036185377855024695,0.10016396038337562,0.15684168921545635
calibration,ridge_linear,32,108,0.3879406376077828,0.9730681440344563,0.013037022430044917,0.015894068623198296,0.04179912817832243,0.08146043140536909
calibration,ridge_linear,64,108,0.3879406376077828,0.9999999746128365,0.00482127122219826,0.00587784642297392,0.010913761803309868,0.01629520544949417
calibration,ridge_linear,8,108,0.3879406376077828,0.7563294718662897,0.048283017795311335,0.05886417717631701,0.15439221261825972,0.24866242140435957
calibration,ridge_nonnegative,16,108,0.3879406376077828,0.8733280626712022,0.030786074044468363,0.03753280138369435,0.10246500301206451,0.1603131229822771
calibration,ridge_nonnegative,32,108,0.3879406376077828,0.9730681440344563,0.014002210896151756,0.01707077686290091,0.044936644837487855,0.08882961589584207
calibration,ridge_nonnegative,64,108,0.3879406376077828,0.9999999746128365,0.004886001588697969,0.005956762363532565,0.011224505198547728,0.016782421325215617
calibration,ridge_nonnegative,8,108,0.3879406376077828,0.7563294718662897,0.04897219927189161,0.05970439186041235,0.15727943710685188,0.25511192154845314
test,oracle_linear,16,216,0.3843184019551026,0.8733280626712022,0.06690628281183972,0.08034718482966907,0.21816696350102338,0.3179241723129622
test,oracle_linear,32,216,0.3843184019551026,0.9730681440344563,0.0551846726555351,0.06627080308868147,0.18356689528344347,0.2672305823638943
test,oracle_linear,64,216,0.3843184019551026,0.9999999746128365,0.04367519726573964,0.052449172180907,0.14162176415412572,0.21195647568657286
test,oracle_linear,8,216,0.3843184019551026,0.7563294718662897,0.07872614192390118,0.09454155290431261,0.2696361720169623,0.34807397693957287
test,oracle_nonnegative,16,216,0.3843184019551026,0.8733280626712022,0.06741092506417706,0.08095320540976074,0.22067211862355052,0.32225400989156094
test,oracle_nonnegative,32,216,0.3843184019551026,0.9730681440344563,0.05590346411328406,0.06713399362449647,0.18472851975294952,0.2774121828856134
test,oracle_nonnegative,64,216,0.3843184019551026,0.9999999746128365,0.04523306769338379,0.054320005500740606,0.14973507077405446,0.22777474139935067
test,oracle_nonnegative,8,216,0.3843184019551026,0.7563294718662897,0.0787111780629699,0.09452358293124757,0.26989318788250405,0.3477256742603677
test,ridge_linear,16,216,0.3843184019551026,0.8733280626712022,0.1379415763475457,0.16565286344873545,0.3612140162339169,0.5289825657502087
