noise_mode,layer,flow_point,timestep,method,activation_relative_l2,activation_mean_relative_l2,activation_p95_relative_l2,rank8_energy,feature_coefficient_r2,previous_flow_coefficient_r2,flow_rank8_energy
aligned,0,0,98,raw_reuse,0.6202531210517045,0.6107071042060852,0.9250640332698821,0.9907628783031387,0.9216785237534232,0.9998692318926017,0.595869157933265
aligned,0,0,98,shift_reuse,0.14937073683916421,0.15449611842632294,0.2077340915799141,0.9907628783031387,0.9216785237534232,0.9998692318926017,0.595869157933265
aligned,0,0,98,shift_toeplitz_r2,0.07031803301789097,0.07231410592794418,0.09576940536499023,0.9907628783031387,0.9216785237534232,0.9998692318926017,0.595869157933265
aligned,0,0,98,shift_circular_r2,0.07031803301789097,0.07231410592794418,0.09576940536499023,0.9907628783031387,0.9216785237534232,0.9998692318926017,0.595869157933265
aligned,0,0,98,shift_rank8_feature,0.024728645488948854,0.024094661697745323,0.03570371866226196,0.9907628783031387,0.9216785237534232,0.9998692318926017,0.595869157933265
aligned,0,0,98,shift_rank8_prev_flow,0.014379568602825177,0.014309694059193134,0.020355922076851128,0.9907628783031387,0.9216785237534232,0.9998692318926017,0.595869157933265
aligned,0,0,98,shift_rank8_oracle,0.014356013433516076,0.014280305244028568,0.020320412144064902,0.9907628783031387,0.9216785237534232,0.9998692318926017,0.595869157933265
aligned,0,0,98,flow_reuse,0.008769600360754146,0.008995170705020428,0.01407785234041512,0.9907628783031387,0.9216785237534232,0.9998692318926017,0.595869157933265
aligned,0,0,98,flow_toeplitz_r2,0.007588087099970769,0.007771118078380823,0.01166618107818067,0.9907628783031387,0.9216785237534232,0.9998692318926017,0.595869157933265
aligned,0,0,98,flow_rank8_oracle,0.00557494773809951,0.005760956555604935,0.008411000249907374,0.9907628783031387,0.9216785237534232,0.9998692318926017,0.595869157933265
aligned,1,0,98,raw_reuse,0.47600104771855994,0.4696687161922455,0.6576246947050095,0.969945905996884,0.9416807944591871,0.9998438675100533,0.37678115292442993
aligned,1,0,98,shift_reuse,0.24695085533414227,0.25333330035209656,0.34740311503410337,0.969945905996884,0.9416807944591871,0.9998438675100533,0.37678115292442993
aligned,1,0,98,shift_toeplitz_r2,0.13302483660289718,0.13623113930225372,0.18861695304512976,0.969945905996884,0.9416807944591871,0.9998438675100533,0.37678115292442993
aligned,1,0,98,shift_circular_r2,0.13302483660289718,0.13623113930225372,0.18861695304512976,0.969945905996884,0.9416807944591871,0.9998438675100533,0.37678115292442993
aligned,1,0,98,shift_rank8_feature,0.058310617708353066,0.058766260743141174,0.09816533662378786,0.969945905996884,0.9416807944591871,0.9998438675100533,0.37678115292442993
aligned,1,0,98,shift_rank8_prev_flow,0.042860665554042714,0.0435747466981411,0.05983986705541611,0.969945905996884,0.9416807944591871,0.9998438675100533,0.37678115292442993
aligned,1,0,98,shift_rank8_oracle,0.042811688315335314,0.04352439567446709,0.05978327374905348,0.969945905996884,0.9416807944591871,0.9998438675100533,0.37678115292442993
aligned,1,0,98,flow_reuse,0.012139117000122934,0.012427620589733124,0.01773869628086686,0.969945905996884,0.9416807944591871,0.9998438675100533,0.37678115292442993
aligned,1,0,98,flow_toeplitz_r2,0.010588812016616647,0.010830492712557316,0.01547641335055232,0.969945905996884,0.9416807944591871,0.9998438675100533,0.37678115292442993
aligned,1,0,98,flow_rank8_oracle,0.009583130153755823,0.009809267707169056,0.013988034753128886,0.969945905996884,0.9416807944591871,0.9998438675100533,0.37678115292442993
aligned,2,0,98,raw_reuse,0.3421686523737255,0.3354705274105072,0.46373407244682313,0.9453820570920259,0.9068653095598378,0.9997806278885598,0.6989718744105082
aligned,2,0,98,shift_reuse,0.1881053281569449,0.19004513323307037,0.2306382417678833,0.9453820570920259,0.9068653095598378,0.9997806278885598,0.6989718744105082
aligned,2,0,98,shift_toeplitz_r2,0.09836325544497034,0.0986686572432518,0.11651197932660579,0.9453820570920259,0.9068653095598378,0.9997806278885598,0.6989718744105082
aligned,2,0,98,shift_circular_r2,0.09836325544497034,0.0986686572432518,0.11651197932660579,0.9453820570920259,0.9068653095598378,0.9997806278885598,0.6989718744105082
aligned,2,0,98,shift_rank8_feature,0.0546509665620759,0.054340917617082596,0.07862590253353119,0.9453820570920259,0.9068653095598378,0.9997806278885598,0.6989718744105082
aligned,2,0,98,shift_rank8_prev_flow,0.043989352849477824,0.04402562975883484,0.05491637885570526,0.9453820570920259,0.9068653095598378,0.9997806278885598,0.6989718744105082
aligned,2,0,98,shift_rank8_oracle,0.04396112186469731,0.043996524065732956,0.05484394934028387,0.9453820570920259,0.9068653095598378,0.9997806278885598,0.6989718744105082
aligned,2,0,98,flow_reuse,0.022702465843390352,0.022994309663772583,0.028340021893382073,0.9453820570920259,0.9068653095598378,0.9997806278885598,0.6989718744105082
aligned,2,0,98,flow_toeplitz_r2,0.014965387284373046,0.015140951611101627,0.01965403389185667,0.9453820570920259,0.9068653095598378,0.9997806278885598,0.6989718744105082
aligned,2,0,98,flow_rank8_oracle,0.012455941736789364,0.012596596963703632,0.015485639730468391,0.9453820570920259,0.9068653095598378,0.9997806278885598,0.6989718744105082
aligned,3,0,98,raw_reuse,0.27072410698878685,0.26354658603668213,0.3908057436347008,0.9397361429522069,0.900086457015154,0.999209843292268,0.8004833898704851
aligned,3,0,98,shift_reuse,0.15257616262214638,0.15359394252300262,0.18112771958112717,0.9397361429522069,0.900086457015154,0.999209843292268,0.8004833898704851
aligned,3,0,98,shift_toeplitz_r2,0.07544424695764203,0.07552946358919144,0.08894971385598183,0.9397361429522069,0.900086457015154,0.999209843292268,0.8004833898704851
aligned,3,0,98,shift_circular_r2,0.07544424695764203,0.07552946358919144,0.08894971385598183,0.9397361429522069,0.900086457015154,0.999209843292268,0.8004833898704851
aligned,3,0,98,shift_rank8_feature,0.04390872797059411,0.043644148856401443,0.05604846924543381,0.9397361429522069,0.900086457015154,0.999209843292268,0.8004833898704851
aligned,3,0,98,shift_rank8_prev_flow,0.03751085651412167,0.03719772771000862,0.04588915016502142,0.9397361429522069,0.900086457015154,0.999209843292268,0.8004833898704851
aligned,3,0,98,shift_rank8_oracle,0.037455461288334185,0.03714128956198692,0.04586547110229731,0.9397361429522069,0.900086457015154,0.999209843292268,0.8004833898704851
aligned,3,0,98,flow_reuse,0.0351311412898384,0.03556544706225395,0.044759305007755754,0.9397361429522069,0.900086457015154,0.999209843292268,0.8004833898704851
