task,variant,samples,candidate_kl_sum,euclidean_candidate_kl_sum,aggregate_reduction
action_localization,position_s4,8,0.0023692009272053838,0.0024519726357539184,0.03375719098230656
action_localization,channel_s4,8,0.002197308996983338,0.0024519726357539184,0.10386071812431863
action_localization,separable_s4,8,0.002481794566847384,0.0024519726357539184,-0.012162424106456626
action_localization,static_fisher_s4,8,0.002364617888815701,0.0024519726357539184,0.03562631395817273
action_localization,mixed_static_s4,8,0.0024589509703218937,0.0024519726357539184,-0.002846008338844852
character_order,position_s4,8,0.020926724653691053,0.013732699677348137,-0.523860941065313
character_order,channel_s4,8,0.013895406387746334,0.013732699677348137,-0.011848122672236006
character_order,separable_s4,8,0.020926724653691053,0.013732699677348137,-0.523860941065313
character_order,static_fisher_s4,8,0.02097485028207302,0.013732699677348137,-0.5273653960896483
character_order,mixed_static_s4,8,0.011839799350127578,0.013732699677348137,0.13783890798565024
episodic_reasoning,position_s4,8,0.04862649098504335,0.00629973562899977,-6.718814542184834
episodic_reasoning,channel_s4,8,0.005268114589853212,0.00629973562899977,0.16375624310291115
episodic_reasoning,separable_s4,8,0.04754623689223081,0.00629973562899977,-6.547338442800636
episodic_reasoning,static_fisher_s4,8,0.04882981546688825,0.00629973562899977,-6.75108962384206
episodic_reasoning,mixed_static_s4,8,0.04022199226892553,0.00629973562899977,-5.384711143078827
moving_count,position_s4,8,0.0015075879637151957,0.0012243031524121761,-0.2313845314739893
moving_count,channel_s4,8,0.0012582649942487478,0.0012243031524121761,-0.027739732409949758
moving_count,separable_s4,8,0.0016836912836879492,0.0012243031524121761,-0.3752241676178536
moving_count,static_fisher_s4,8,0.0014602476730942726,0.0012243031524121761,-0.19271740027560025
moving_count,mixed_static_s4,8,0.0016204912681132555,0.0012243031524121761,-0.3236029531742135
object_shuffle,position_s4,8,0.002889989293180406,0.0026252627139911056,-0.10083812861031527
object_shuffle,channel_s4,8,0.0030655351001769304,0.0026252627139911056,-0.16770602951065894
object_shuffle,separable_s4,8,0.002796999062411487,0.0026252627139911056,-0.06541682381162373
object_shuffle,static_fisher_s4,8,0.0029092574259266257,0.0026252627139911056,-0.10817763510752476
object_shuffle,mixed_static_s4,8,0.0024678350891917944,0.0026252627139911056,0.05996642696379095
