method,action_relative_l2,p95_sample_relative_l2,velocity_relative_l2,acceleration_relative_l2,mean_endpoint_l2,executed_action_mae_raw_units
full_precision,0.0,0.0,0.0,0.0,0.0,0.0
w4_plain,0.024068795505242654,0.05051115844398735,0.06243261396680155,0.06787021630919,0.012526759877800941,1.2739874124526978
w8_plain,0.0012912387410784626,0.003874629014171656,0.0033725089033489896,0.003978532372157233,0.0007449275581166148,0.096231609582901
bucket_mean,0.02400050832154483,0.04914407581090923,0.06198964357862891,0.06671397419358673,0.012067114934325218,1.2141836881637573
channel_affine,0.022792228583955326,0.05139621235430239,0.05935062370633476,0.06427536260864655,0.011858958750963211,1.2158074378967285
circulant_r2,0.02261538311152072,0.04950599875301121,0.05912546604738298,0.06428463769288777,0.011613145470619202,1.1220810413360596
toeplitz_r2,0.023004039937818178,0.05004186220467088,0.059950886856223434,0.06515455324571647,0.011458099819719791,1.131260633468628
reduced_rank_r4,0.02718136136230441,0.043945808708667745,0.0685817144910703,0.07296781754943346,0.011814391240477562,1.1893436908721924
toeplitz_r2_rank4,0.026891433502421836,0.0427988391369581,0.06715767838810054,0.07033880239190102,0.011779231950640678,1.1904981136322021
dense_ridge_ceiling,0.027117835225230737,0.04190729670226573,0.06895252428964299,0.07165051997475701,0.011946409940719604,1.1938241720199585
