method,denoiser_output_relative_l2,defect_residual_relative_l2,captured_defect_energy,p95_call_relative_l2,parameter_count,macs_per_sample,mac_fraction_of_denoiser
w4_plain,0.01920605219744864,0.9999999999998519,2.19824158875781e-14,0.04081162642687559,0,0,0.0
bucket_mean,0.01674215359117321,0.8717123862338969,0.240117515686197,0.03743200097233055,200,0,0.0
channel_affine,0.016295438031191014,0.8484532825206688,0.28012702737970496,0.03916489854454992,40,20,2.542204664965898e-07
circulant_r2,0.015175596028550013,0.7901465575816624,0.37566841754167746,0.03658468555659055,420,400,5.084409329931796e-06
toeplitz_r2,0.015099408101544047,0.7861796868149531,0.38192150003937286,0.03646028470247975,420,400,5.084409329931796e-06
reduced_rank_r4,0.016268080766941084,0.8470288740077334,0.28254208659699465,0.036744351871311635,4200,400,5.084409329931796e-06
toeplitz_r2_rank4,0.01527965910844972,0.7955648017283443,0.36707664625076664,0.03691208846867079,4620,800,1.0168818659863592e-05
dense_ridge_ceiling,0.015620271215733948,0.8132993547772,0.338544159518809,0.03696117140352723,16200,1600,2.0337637319727183e-05
