sample_id,sample_index,seed,model,input_trajectory,basis_scope,block,rank,method,target_stage,horizon,relative_l2,output_relative_l2,error_sq,target_sq,output_target_sq,state_bytes_bf16,basis_bytes_bf16,estimated_macs
sel00_potter,4,2026082805,teacher,native4,model_specific,20,16,capacity,1,0,0.530300703431552,0.16938658432711343,173184.51694676053,615835.4090826658,6036025.160782742,249600,49152,191692800
sel00_potter,4,2026082805,teacher,native4,model_specific,20,16,reuse,1,1,0.7954284208347119,0.2540726467267309,389642.9878434265,615835.4090826658,6036025.160782742,249600,49152,384009600
sel00_potter,4,2026082805,teacher,native4,model_specific,20,16,ar1,1,1,0.8076473895066899,0.2579755820876558,401705.93064045435,615835.4090826658,6036025.160782742,249600,49152,384009600
sel00_potter,4,2026082805,teacher,native4,model_specific,20,16,drift,1,1,0.7751563589200137,0.24759742370179724,370035.40924346814,615835.4090826658,6036025.160782742,249600,49152,384009600
sel00_potter,4,2026082805,teacher,native4,model_specific,20,16,capacity,2,0,0.5291849267630814,0.17519219079211493,164234.83755089378,586476.1488164123,5351010.438264555,249600,49152,191692800
sel00_potter,4,2026082805,teacher,native4,model_specific,20,16,reuse,2,1,0.6525044155607727,0.21601839410440934,249699.2653014575,586476.1488164123,5351010.438264555,249600,49152,384009600
sel00_potter,4,2026082805,teacher,native4,model_specific,20,16,ar1,2,1,0.6442266421690924,0.21327795086419893,243404.0034325695,586476.1488164123,5351010.438264555,249600,49152,384009600
sel00_potter,4,2026082805,teacher,native4,model_specific,20,16,drift,2,1,0.63202536390047,0.2092385904020269,234271.45204999347,586476.1488164123,5351010.438264555,249600,49152,384009600
sel00_potter,4,2026082805,teacher,native4,model_specific,20,16,reuse,2,2,0.8580603587625203,0.28406983358914806,431803.3743943205,586476.1488164123,5351010.438264555,249600,49152,576326400
sel00_potter,4,2026082805,teacher,native4,model_specific,20,16,ar1,2,2,0.8452956320605434,0.27984393764486853,419051.69756311085,586476.1488164123,5351010.438264555,249600,49152,576326400
sel00_potter,4,2026082805,teacher,native4,model_specific,20,16,drift,2,2,0.8130531140600457,0.269169715686747,387693.2053719227,586476.1488164123,5351010.438264555,249600,49152,576326400
sel00_potter,4,2026082805,teacher,native4,model_specific,20,16,ar2_drift,2,1,0.6316974302690973,0.20913002455215282,234028.40624363674,586476.1488164123,5351010.438264555,249600,49152,384009600
sel00_potter,4,2026082805,teacher,native4,model_specific,20,16,capacity,3,0,0.5480275209973191,0.18514117635088764,170358.11211190443,567228.5496035079,4970004.488818283,249600,49152,191692800
sel00_potter,4,2026082805,teacher,native4,model_specific,20,16,reuse,3,1,0.6523825799222039,0.22039564374033446,241414.1897461263,567228.5496035079,4970004.488818283,249600,49152,384009600
sel00_potter,4,2026082805,teacher,native4,model_specific,20,16,ar1,3,1,0.6458729294303341,0.21819647617388702,236620.43371836893,567228.5496035079,4970004.488818283,249600,49152,384009600
sel00_potter,4,2026082805,teacher,native4,model_specific,20,16,drift,3,1,0.6143137949644166,0.20753479394850768,214061.5261117741,567228.5496035079,4970004.488818283,249600,49152,384009600
sel00_potter,4,2026082805,teacher,native4,model_specific,20,16,reuse,3,2,0.7084439119840031,0.2393349498299825,284687.91162927717,567228.5496035079,4970004.488818283,249600,49152,576326400
sel00_potter,4,2026082805,teacher,native4,model_specific,20,16,ar1,3,2,0.6905043686253206,0.2332743998879286,270452.46411385445,567228.5496035079,4970004.488818283,249600,49152,576326400
sel00_potter,4,2026082805,teacher,native4,model_specific,20,16,drift,3,2,0.6736285565947832,0.2275732123170485,257394.3802865282,567228.5496035079,4970004.488818283,249600,49152,576326400
sel00_potter,4,2026082805,teacher,native4,model_specific,20,16,reuse,3,3,0.8863456776556007,0.29943584058707395,445619.66093722393,567228.5496035079,4970004.488818283,249600,49152,768643200
sel00_potter,4,2026082805,teacher,native4,model_specific,20,16,ar1,3,3,0.8606286880137372,0.2907478212229488,420135.8283221737,567228.5496035079,4970004.488818283,249600,49152,768643200
sel00_potter,4,2026082805,teacher,native4,model_specific,20,16,drift,3,3,0.8330747998406667,0.28143923894569484,393664.3402856312,567228.5496035079,4970004.488818283,249600,49152,768643200
sel00_potter,4,2026082805,teacher,native4,model_specific,20,16,ar2_drift,3,1,0.6139395483120927,0.20740836149246875,213800.78833345347,567228.5496035079,4970004.488818283,249600,49152,384009600
sel00_potter,4,2026082805,teacher,native4,model_specific,20,32,capacity,1,0,0.4974310611643859,0.15888749127356627,152380.87294491124,615835.4090826658,6036025.160782742,499200,98304,383385600
sel00_potter,4,2026082805,teacher,native4,model_specific,20,32,reuse,1,1,0.7936476883398138,0.25350385209199017,387900.34639943345,615835.4090826658,6036025.160782742,499200,98304,768019200
