head,source,ascending_index,eigenvalue,mp_lower,mp_upper
0,q,0,0.0006908528157509863,0.8788919423236052,1.1289224654908026
0,q,1,0.0010124134132638574,0.8788919423236052,1.1289224654908026
0,q,2,0.001107454183511436,0.8788919423236052,1.1289224654908026
0,q,3,0.001847698469646275,0.8788919423236052,1.1289224654908026
0,q,4,0.0020981398411095142,0.8788919423236052,1.1289224654908026
0,q,5,0.002614219905808568,0.8788919423236052,1.1289224654908026
0,q,6,0.00280056893825531,0.8788919423236052,1.1289224654908026
0,q,7,0.0036504040472209454,0.8788919423236052,1.1289224654908026
0,q,8,0.004502562806010246,0.8788919423236052,1.1289224654908026
0,q,9,0.005267624277621508,0.8788919423236052,1.1289224654908026
0,q,10,0.005421847570687532,0.8788919423236052,1.1289224654908026
0,q,11,0.0069440389052033424,0.8788919423236052,1.1289224654908026
0,q,12,0.007125818636268377,0.8788919423236052,1.1289224654908026
0,q,13,0.007832243107259274,0.8788919423236052,1.1289224654908026
0,q,14,0.008978769183158875,0.8788919423236052,1.1289224654908026
0,q,15,0.009745156392455101,0.8788919423236052,1.1289224654908026
0,q,16,0.010024670511484146,0.8788919423236052,1.1289224654908026
0,q,17,0.01202401053160429,0.8788919423236052,1.1289224654908026
0,q,18,0.01455121673643589,0.8788919423236052,1.1289224654908026
0,q,19,0.01570296660065651,0.8788919423236052,1.1289224654908026
0,q,20,0.016190705820918083,0.8788919423236052,1.1289224654908026
0,q,21,0.017480164766311646,0.8788919423236052,1.1289224654908026
0,q,22,0.018150320276618004,0.8788919423236052,1.1289224654908026
0,q,23,0.020078841596841812,0.8788919423236052,1.1289224654908026
0,q,24,0.020521292462944984,0.8788919423236052,1.1289224654908026
0,q,25,0.024258814752101898,0.8788919423236052,1.1289224654908026
0,q,26,0.024630367755889893,0.8788919423236052,1.1289224654908026
0,q,27,0.0267251618206501,0.8788919423236052,1.1289224654908026
0,q,28,0.028969671577215195,0.8788919423236052,1.1289224654908026
0,q,29,0.031303733587265015,0.8788919423236052,1.1289224654908026
0,q,30,0.034324053674936295,0.8788919423236052,1.1289224654908026
0,q,31,0.03833106905221939,0.8788919423236052,1.1289224654908026
0,q,32,0.038681402802467346,0.8788919423236052,1.1289224654908026
0,q,33,0.040581922978162766,0.8788919423236052,1.1289224654908026
0,q,34,0.046893160790205,0.8788919423236052,1.1289224654908026
0,q,35,0.052367694675922394,0.8788919423236052,1.1289224654908026
0,q,36,0.054542310535907745,0.8788919423236052,1.1289224654908026
0,q,37,0.05610707402229309,0.8788919423236052,1.1289224654908026
0,q,38,0.0634012445807457,0.8788919423236052,1.1289224654908026
0,q,39,0.06701460480690002,0.8788919423236052,1.1289224654908026
0,q,40,0.0721159353852272,0.8788919423236052,1.1289224654908026
0,q,41,0.07463928312063217,0.8788919423236052,1.1289224654908026
0,q,42,0.08194338530302048,0.8788919423236052,1.1289224654908026
0,q,43,0.08523260802030563,0.8788919423236052,1.1289224654908026
