case,head,variant,requested_density,actual_density,router_topk,exact_topk_recall,exact_attention_mass_captured
f17_l0_t1000,0,q_lowpass,0.015625,0.016025640070438385,64,0.3642578125,0.02032727375626564
f17_l0_t1000,0,q_lowpass,0.015625,0.016025640070438385,128,0.383026123046875,0.0372760072350502
f17_l0_t1000,0,q_lowpass,0.015625,0.016025640070438385,256,0.405914306640625,0.06812497973442078
f17_l0_t1000,0,k_lowpass,0.015625,0.016025640070438385,64,0.0521240234375,0.011733515188097954
f17_l0_t1000,0,k_lowpass,0.015625,0.016025640070438385,128,0.087310791015625,0.023131120949983597
f17_l0_t1000,0,k_lowpass,0.015625,0.016025640070438385,256,0.1341552734375,0.045535504817962646
f17_l0_t1000,0,qk_lowpass,0.015625,0.016025640070438385,64,0.05023193359375,0.011524010449647903
f17_l0_t1000,0,qk_lowpass,0.015625,0.016025640070438385,128,0.08544921875,0.022798966616392136
f17_l0_t1000,0,qk_lowpass,0.015625,0.016025640070438385,256,0.1330108642578125,0.04508766531944275
f17_l0_t1000,0,q_lowpass,0.0625,0.06320512294769287,64,0.6768798828125,0.02445017732679844
f17_l0_t1000,0,q_lowpass,0.0625,0.06320512294769287,128,0.6976318359375,0.04488174244761467
f17_l0_t1000,0,q_lowpass,0.0625,0.06320512294769287,256,0.7258148193359375,0.08192700147628784
f17_l0_t1000,0,k_lowpass,0.0625,0.06320512294769287,64,0.08489990234375,0.015610397793352604
f17_l0_t1000,0,k_lowpass,0.0625,0.06320512294769287,128,0.13092041015625,0.030516184866428375
f17_l0_t1000,0,k_lowpass,0.0625,0.06320512294769287,256,0.1971282958984375,0.05917492136359215
f17_l0_t1000,0,qk_lowpass,0.0625,0.06320512294769287,64,0.08038330078125,0.015488645061850548
f17_l0_t1000,0,qk_lowpass,0.0625,0.06320512294769287,128,0.125396728515625,0.030290206894278526
f17_l0_t1000,0,qk_lowpass,0.0625,0.06320512294769287,256,0.1910400390625,0.05895252525806427
f17_l0_t1000,0,q_lowpass,0.125,0.1249999925494194,64,0.68597412109375,0.024522066116333008
f17_l0_t1000,0,q_lowpass,0.125,0.1249999925494194,128,0.7069091796875,0.045007504522800446
f17_l0_t1000,0,q_lowpass,0.125,0.1249999925494194,256,0.734222412109375,0.08213753998279572
f17_l0_t1000,0,k_lowpass,0.125,0.1249999925494194,64,0.11468505859375,0.016457606106996536
f17_l0_t1000,0,k_lowpass,0.125,0.1249999925494194,128,0.154693603515625,0.03169906884431839
f17_l0_t1000,0,k_lowpass,0.125,0.1249999925494194,256,0.2180633544921875,0.06091206520795822
f17_l0_t1000,0,qk_lowpass,0.125,0.1249999925494194,64,0.10687255859375,0.01625034585595131
f17_l0_t1000,0,qk_lowpass,0.125,0.1249999925494194,128,0.15130615234375,0.03146019205451012
f17_l0_t1000,0,qk_lowpass,0.125,0.1249999925494194,256,0.21392822265625,0.0606372207403183
f17_l0_t1000,0,q_lowpass,0.25,0.2503845989704132,64,0.70306396484375,0.024637900292873383
f17_l0_t1000,0,q_lowpass,0.25,0.2503845989704132,128,0.72076416015625,0.0451890304684639
f17_l0_t1000,0,q_lowpass,0.25,0.2503845989704132,256,0.7452545166015625,0.08240082114934921
f17_l0_t1000,0,k_lowpass,0.25,0.2503845989704132,64,0.15081787109375,0.017568327486515045
f17_l0_t1000,0,k_lowpass,0.25,0.2503845989704132,128,0.194122314453125,0.03346758335828781
f17_l0_t1000,0,k_lowpass,0.25,0.2503845989704132,256,0.260284423828125,0.06360547244548798
f17_l0_t1000,0,qk_lowpass,0.25,0.2503845989704132,64,0.14459228515625,0.01739969477057457
f17_l0_t1000,0,qk_lowpass,0.25,0.2503845989704132,128,0.19140625,0.03327802196145058
f17_l0_t1000,0,qk_lowpass,0.25,0.2503845989704132,256,0.2562255859375,0.06333480775356293
f17_l0_t1000,1,q_lowpass,0.015625,0.016025640070438385,64,0.74853515625,0.5062363147735596
f17_l0_t1000,1,q_lowpass,0.015625,0.016025640070438385,128,0.825927734375,0.7023855447769165
f17_l0_t1000,1,q_lowpass,0.015625,0.016025640070438385,256,0.8555145263671875,0.8470834493637085
f17_l0_t1000,1,k_lowpass,0.015625,0.016025640070438385,64,0.70458984375,0.4807623028755188
f17_l0_t1000,1,k_lowpass,0.015625,0.016025640070438385,128,0.811279296875,0.6942993402481079
f17_l0_t1000,1,k_lowpass,0.015625,0.016025640070438385,256,0.853118896484375,0.8470289707183838
f17_l0_t1000,1,qk_lowpass,0.015625,0.016025640070438385,64,0.7078857421875,0.4903939962387085
f17_l0_t1000,1,qk_lowpass,0.015625,0.016025640070438385,128,0.797821044921875,0.6914258003234863
f17_l0_t1000,1,qk_lowpass,0.015625,0.016025640070438385,256,0.8349609375,0.8425933122634888
f17_l0_t1000,1,q_lowpass,0.0625,0.06320512294769287,64,0.88037109375,0.5449355840682983
f17_l0_t1000,1,q_lowpass,0.0625,0.06320512294769287,128,0.904022216796875,0.7248197793960571
f17_l0_t1000,1,q_lowpass,0.0625,0.06320512294769287,256,0.9174652099609375,0.8584322929382324
f17_l0_t1000,1,k_lowpass,0.0625,0.06320512294769287,64,0.85260009765625,0.5327128171920776
f17_l0_t1000,1,k_lowpass,0.0625,0.06320512294769287,128,0.89459228515625,0.7212702631950378
f17_l0_t1000,1,k_lowpass,0.0625,0.06320512294769287,256,0.9209747314453125,0.8585125207901001
f17_l0_t1000,1,qk_lowpass,0.0625,0.06320512294769287,64,0.81512451171875,0.5237411856651306
f17_l0_t1000,1,qk_lowpass,0.0625,0.06320512294769287,128,0.8663330078125,0.7128328084945679
