case,head,variant,requested_density,actual_density,q_retained_energy,k_retained_energy,q_relative_l2,k_relative_l2,centered_score_relative_l2,attention_relative_fro,attention_kl_exact_to_approx,output_relative_l2,output_cosine
f17_l0_t1000,0,q_lowpass,0.015625,0.016025640070438385,0.6109073758125305,0.14132872223854065,0.4657202959060669,0.0,0.7536709308624268,0.393527626991272,0.10276585072278976,0.35959675908088684,0.9331263303756714
f17_l0_t1000,0,k_lowpass,0.015625,0.016025640070438385,0.6109073758125305,0.14132872223854065,0.0,0.5730851292610168,0.9527164101600647,0.4799537658691406,0.15047360956668854,0.4848192632198334,0.8797619938850403
f17_l0_t1000,0,qk_lowpass,0.015625,0.016025640070438385,0.6109073758125305,0.14132872223854065,0.4657202959060669,0.5730851292610168,0.9563215970993042,0.4818324148654938,0.15167313814163208,0.4896864891052246,0.8773311376571655
f17_l0_t1000,0,q_lowpass,0.0625,0.06320512294769287,0.8698314428329468,0.39002713561058044,0.2691114842891693,0.0,0.3252522349357605,0.17460057139396667,0.01852893829345703,0.20465083420276642,0.9788385629653931
f17_l0_t1000,0,k_lowpass,0.0625,0.06320512294769287,0.8698314428329468,0.39002713561058044,0.0,0.48301535844802856,0.6786832809448242,0.3712456524372101,0.08347205072641373,0.4649815261363983,0.8892056941986084
f17_l0_t1000,0,qk_lowpass,0.0625,0.06320512294769287,0.8698314428329468,0.39002713561058044,0.2691114842891693,0.48301535844802856,0.723442554473877,0.3887358009815216,0.09358377754688263,0.4696219265460968,0.8869630098342896
f17_l0_t1000,0,q_lowpass,0.125,0.1249999925494194,0.8788378238677979,0.42962637543678284,0.2582705318927765,0.0,0.3213652968406677,0.1717814803123474,0.01801241561770439,0.20143160223960876,0.9795055389404297
f17_l0_t1000,0,k_lowpass,0.125,0.1249999925494194,0.8788378238677979,0.42962637543678284,0.0,0.4670737087726593,0.6587268114089966,0.3633020222187042,0.07914650440216064,0.43147754669189453,0.9043679237365723
f17_l0_t1000,0,qk_lowpass,0.125,0.1249999925494194,0.8788378238677979,0.42962637543678284,0.2582705318927765,0.4670737087726593,0.7054278254508972,0.38155776262283325,0.08943665027618408,0.441589891910553,0.8997665643692017
f17_l0_t1000,0,q_lowpass,0.25,0.2503845989704132,0.893426239490509,0.5059040188789368,0.24094811081886292,0.0,0.316836416721344,0.16798904538154602,0.017350824549794197,0.19671447575092316,0.9804613590240479
f17_l0_t1000,0,k_lowpass,0.25,0.2503845989704132,0.893426239490509,0.5059040188789368,0.0,0.4347217381000519,0.6165060997009277,0.34619227051734924,0.07034730166196823,0.3648526072502136,0.9315406084060669
f17_l0_t1000,0,qk_lowpass,0.25,0.2503845989704132,0.893426239490509,0.5059040188789368,0.24094811081886292,0.4347217381000519,0.6679590344429016,0.3663775622844696,0.08108964562416077,0.38678178191185,0.9228917360305786
f17_l0_t1000,1,q_lowpass,0.015625,0.016025640070438385,0.7998833656311035,0.7737311720848083,0.37287402153015137,0.0,0.25429385900497437,0.4908844530582428,0.18105259537696838,0.19433565437793732,0.9809379577636719
f17_l0_t1000,1,k_lowpass,0.015625,0.016025640070438385,0.7998833656311035,0.7737311720848083,0.0,0.41826894879341125,0.24293051660060883,0.5608784556388855,0.21943756937980652,0.219478577375412,0.9757816791534424
f17_l0_t1000,1,qk_lowpass,0.015625,0.016025640070438385,0.7998833656311035,0.7737311720848083,0.37287402153015137,0.41826894879341125,0.28570619225502014,0.5602222084999084,0.24185727536678314,0.21951428055763245,0.9757320880889893
f17_l0_t1000,1,q_lowpass,0.0625,0.06320512294769287,0.8579789400100708,0.9601333141326904,0.3137933611869812,0.0,0.16843432188034058,0.28653421998023987,0.061914727091789246,0.11447939276695251,0.9934284090995789
f17_l0_t1000,1,k_lowpass,0.0625,0.06320512294769287,0.8579789400100708,0.9601333141326904,0.0,0.17556914687156677,0.12828882038593292,0.4439883828163147,0.09413161873817444,0.17032426595687866,0.985897421836853
f17_l0_t1000,1,qk_lowpass,0.0625,0.06320512294769287,0.8579789400100708,0.9601333141326904,0.3137933611869812,0.17556914687156677,0.20443150401115417,0.4566982388496399,0.13355094194412231,0.18033906817436218,0.9839304685592651
f17_l0_t1000,1,q_lowpass,0.125,0.1249999925494194,0.8689526319503784,0.9645886421203613,0.2998991906642914,0.0,0.15799474716186523,0.2615055441856384,0.05118308216333389,0.10514314472675323,0.9944605827331543
f17_l0_t1000,1,k_lowpass,0.125,0.1249999925494194,0.8689526319503784,0.9645886421203613,0.0,0.1654682159423828,0.11953332275152206,0.453062504529953,0.08171987533569336,0.17116017639636993,0.9857344627380371
f17_l0_t1000,1,qk_lowpass,0.125,0.1249999925494194,0.8689526319503784,0.9645886421203613,0.2998991906642914,0.1654682159423828,0.1918027698993683,0.44136837124824524,0.11445792764425278,0.17357435822486877,0.985069751739502
f17_l0_t1000,1,q_lowpass,0.25,0.2503845989704132,0.8881338238716125,0.9693417549133301,0.2773875594139099,0.0,0.1453848034143448,0.23430053889751434,0.04103615880012512,0.09504430741071701,0.9954744577407837
f17_l0_t1000,1,k_lowpass,0.25,0.2503845989704132,0.8881338238716125,0.9693417549133301,0.0,0.1539631187915802,0.1104222983121872,0.3988306522369385,0.061508551239967346,0.1489565521478653,0.9891068339347839
f17_l0_t1000,1,qk_lowpass,0.25,0.2503845989704132,0.8881338238716125,0.9693417549133301,0.2773875594139099,0.1539631187915802,0.17678719758987427,0.40879303216934204,0.09146890044212341,0.15797589719295502,0.9876046776771545
f17_l0_t1000,2,q_lowpass,0.015625,0.016025640070438385,0.5405516624450684,0.09300373494625092,0.4894128441810608,0.0,0.6457321047782898,0.22382709383964539,0.0281822606921196,0.2954535186290741,0.9553617835044861
f17_l0_t1000,2,k_lowpass,0.015625,0.016025640070438385,0.5405516624450684,0.09300373494625092,0.0,0.6833084225654602,0.9646674394607544,0.3361400365829468,0.06237749010324478,0.3955768346786499,0.9216692447662354
f17_l0_t1000,2,qk_lowpass,0.015625,0.016025640070438385,0.5405516624450684,0.09300373494625092,0.4894128441810608,0.6833084225654602,0.9686522483825684,0.337475448846817,0.06288677453994751,0.3984181880950928,0.9205398559570312
f17_l0_t1000,2,q_lowpass,0.0625,0.06320512294769287,0.8802028298377991,0.17393647134304047,0.25147971510887146,0.0,0.2840234041213989,0.10273607075214386,0.005532251670956612,0.15055422484874725,0.9886031150817871
f17_l0_t1000,2,k_lowpass,0.0625,0.06320512294769287,0.8802028298377991,0.17393647134304047,0.0,0.6521098613739014,0.8827083110809326,0.3167072534561157,0.054856300354003906,0.3710147440433502,0.9308786988258362
f17_l0_t1000,2,qk_lowpass,0.0625,0.06320512294769287,0.8802028298377991,0.17393647134304047,0.25147971510887146,0.6521098613739014,0.8939131498336792,0.31968167424201965,0.05594466254115105,0.3752993941307068,0.9292658567428589
f17_l0_t1000,2,q_lowpass,0.125,0.1249999925494194,0.8875706791877747,0.22850506007671356,0.24196746945381165,0.0,0.27796441316604614,0.10030413419008255,0.005281304009258747,0.14811526238918304,0.9889707565307617
f17_l0_t1000,2,k_lowpass,0.125,0.1249999925494194,0.8875706791877747,0.22850506007671356,0.0,0.6302031874656677,0.8535653948783875,0.30725839734077454,0.05135723948478699,0.3471667468547821,0.9392294883728027
