prompt_id,layer,head_index,variant,relative_av_l2,av_numerator_sq,av_denominator_sq,dense_capture_parity
calib_fluid_s1,0,0,qvg_k_only,0.01280052587389946,1.937992811203003,11827.59765625,0.0007484668749384582
calib_fluid_s1,0,1,qvg_k_only,0.04300648346543312,65.81201171875,35582.56640625,0.0013855071738362312
calib_fluid_s1,0,2,qvg_k_only,0.009489244781434536,1.14207124710083,12683.23046875,0.0006151401321403682
calib_fluid_s1,0,3,qvg_k_only,0.005051828920841217,0.2298896163702011,9007.8701171875,0.0005429477896541357
calib_fluid_s1,0,4,qvg_k_only,0.09828202426433563,344.1260986328125,35626.1953125,0.0018873019143939018
calib_fluid_s1,0,5,qvg_k_only,0.0824800431728363,169.00018310546875,24842.1640625,0.0016997777856886387
calib_fluid_s1,0,6,qvg_k_only,0.052201636135578156,57.281402587890625,21020.615234375,0.0010447273962199688
calib_fluid_s1,0,7,qvg_k_only,0.06190925091505051,39.516571044921875,10310.224609375,0.0012594006257131696
calib_fluid_s1,0,8,qvg_k_only,0.008343581110239029,0.3418165147304535,4910.07421875,0.0006108018569648266
calib_fluid_s1,0,9,qvg_k_only,0.02434619702398777,2.128265857696533,3590.572265625,0.0007717185653746128
calib_fluid_s1,0,10,qvg_k_only,0.014950383454561234,2.6677212715148926,11935.3671875,0.0005638267030008137
calib_fluid_s1,0,11,qvg_k_only,0.07866597175598145,288.8047180175781,46669.2109375,0.001627221005037427
calib_fluid_s1,0,0,qvg_v_only,0.0377904511988163,16.89120864868164,11827.59765625,0.0007484668749384582
calib_fluid_s1,0,1,qvg_v_only,0.20623962581157684,1513.4967041015625,35582.56640625,0.0013855071738362312
calib_fluid_s1,0,2,qvg_v_only,0.027022914960980415,9.261775970458984,12683.23046875,0.0006151401321403682
calib_fluid_s1,0,3,qvg_v_only,0.019077038392424583,3.2782645225524902,9007.8701171875,0.0005429477896541357
calib_fluid_s1,0,4,qvg_v_only,0.47062426805496216,7890.74560546875,35626.1953125,0.0018873019143939018
calib_fluid_s1,0,5,qvg_v_only,0.3448595106601715,2954.4306640625,24842.1640625,0.0016997777856886387
