prompt_id,layer,head_index,frame_offset,absolute_frame,attention_mass,value_leverage_fraction
calib_fluid_s1,0,0,0,0,0.00865821831393987,0.0001387093419952304
calib_fluid_s1,0,0,1,1,0.008753789084342618,0.00015260092279113926
calib_fluid_s1,0,0,2,2,0.012399454057837525,0.0004263690220802076
calib_fluid_s1,0,0,3,9,0.05946501965324084,0.009829539691841296
calib_fluid_s1,0,0,4,10,0.05808475737770398,0.009109946303339505
calib_fluid_s1,0,0,5,11,0.06168656485776106,0.012760961416028699
calib_fluid_s1,0,0,6,12,0.05484715073059002,0.009090502058895973
calib_fluid_s1,0,0,7,13,0.06563694992413123,0.01327010542686074
calib_fluid_s1,0,0,8,14,0.10485254228115082,0.037045350434136336
calib_fluid_s1,0,0,9,15,0.16258334865172702,0.2327644755607947
calib_fluid_s1,0,0,10,16,0.20241522540648776,0.3335498321253824
calib_fluid_s1,0,0,11,17,0.20061698804299036,0.3418616076958538
calib_fluid_s1,0,1,0,0,0.002982349891681224,1.721396744099148e-05
calib_fluid_s1,0,1,1,1,0.0032222554630910354,2.7634961216825556e-05
calib_fluid_s1,0,1,2,2,0.0029906667380904155,2.526620262453559e-05
calib_fluid_s1,0,1,3,9,0.005478875517534712,9.765163204217994e-05
calib_fluid_s1,0,1,4,10,0.007712619534383217,0.0001928131852771435
calib_fluid_s1,0,1,5,11,0.01169187924824655,0.000485246975241933
calib_fluid_s1,0,1,6,12,0.020117951401819784,0.0013828548936514627
calib_fluid_s1,0,1,7,13,0.04516937149067719,0.007181465556592945
calib_fluid_s1,0,1,8,14,0.08789256339271863,0.024938315198261462
calib_fluid_s1,0,1,9,15,0.2775922392805417,0.32214491686238605
calib_fluid_s1,0,1,10,16,0.2994513437151909,0.3747063664319932
calib_fluid_s1,0,1,11,17,0.23569789280494052,0.2688002541332713
calib_fluid_s1,0,2,0,0,0.08905834021667638,0.026747818718353758
calib_fluid_s1,0,2,1,1,0.06740940548479557,0.020273090011070225
calib_fluid_s1,0,2,2,2,0.0685992892831564,0.022654144544437465
calib_fluid_s1,0,2,3,9,0.06082992752393086,0.019308156697518092
calib_fluid_s1,0,2,4,10,0.06536434187243381,0.022343804365889983
calib_fluid_s1,0,2,5,11,0.06201031617820263,0.021347828243380884
calib_fluid_s1,0,2,6,12,0.06208597682416439,0.020796735097950277
calib_fluid_s1,0,2,7,13,0.06027832813560963,0.01979275519658289
calib_fluid_s1,0,2,8,14,0.06737336764732996,0.026485162429597826
calib_fluid_s1,0,2,9,15,0.1302513399471839,0.25764949283619937
calib_fluid_s1,0,2,10,16,0.1362205607195695,0.2801655104902502
calib_fluid_s1,0,2,11,17,0.13051880337297916,0.26243550136876903
calib_fluid_s1,0,3,0,0,0.09537245829900105,0.03984926055940476
calib_fluid_s1,0,3,1,1,0.08023526643713315,0.03457981340181981
calib_fluid_s1,0,3,2,2,0.0791492157926162,0.036867342783597955
calib_fluid_s1,0,3,3,9,0.07408916701873143,0.03521133741114096
calib_fluid_s1,0,3,4,10,0.07651553178826967,0.038184048762167334
calib_fluid_s1,0,3,5,11,0.0765855424106121,0.03963253657244592
calib_fluid_s1,0,3,6,12,0.07769057527184486,0.03973414003483454
calib_fluid_s1,0,3,7,13,0.0746101513504982,0.03764540371698057
calib_fluid_s1,0,3,8,14,0.0753674196700255,0.04009802386845256
calib_fluid_s1,0,3,9,15,0.09614375047385693,0.2175043015499927
calib_fluid_s1,0,3,10,16,0.09739318986733754,0.2167891968278584
calib_fluid_s1,0,3,11,17,0.09684772975742817,0.22390459451130448
calib_fluid_s1,0,4,0,0,2.4720929417298976e-05,1.3255679694100888e-09
calib_fluid_s1,0,4,1,1,1.1330206196665433e-05,4.922366812664939e-10
calib_fluid_s1,0,4,2,2,0.00027840452745901223,2.355433089976877e-07
calib_fluid_s1,0,4,3,9,0.00045054805529313546,3.1270087220538154e-07
calib_fluid_s1,0,4,4,10,0.0005358875223464565,4.287588490186712e-07
calib_fluid_s1,0,4,5,11,0.0003682859130549332,3.551618996422078e-07
calib_fluid_s1,0,4,6,12,4.299147731975002e-05,4.967929889054694e-09
calib_fluid_s1,0,4,7,13,0.00010897125438683966,7.032282606578802e-08
calib_fluid_s1,0,4,8,14,0.01428238828831733,0.0006793397121590623
calib_fluid_s1,0,4,9,15,0.27054531772106805,0.26962364564996183
calib_fluid_s1,0,4,10,16,0.335621189015607,0.2964819368347039
calib_fluid_s1,0,4,11,17,0.37772994696085027,0.4332136685296849
calib_fluid_s1,0,5,0,0,3.3895801360965074e-05,2.6344987103354025e-09
calib_fluid_s1,0,5,1,1,1.5748588642357692e-05,8.685823870331423e-10
calib_fluid_s1,0,5,2,2,0.00024928778742605573,1.2764833326167264e-07
calib_fluid_s1,0,5,3,9,4.4162463116966436e-05,2.2140541226091493e-09
calib_fluid_s1,0,5,4,10,5.111275072522403e-05,2.9243792522103333e-09
calib_fluid_s1,0,5,5,11,3.6949935434904546e-05,2.7833813118226038e-09
calib_fluid_s1,0,5,6,12,5.271429136162927e-06,8.91461786352564e-11
calib_fluid_s1,0,5,7,13,2.247034097517068e-05,1.9967726326959866e-09
calib_fluid_s1,0,5,8,14,0.004359030508320908,4.064919753724229e-05
calib_fluid_s1,0,5,9,15,0.27334698691023124,0.2800785736958035
calib_fluid_s1,0,5,10,16,0.33851934348543483,0.29620625265900075
calib_fluid_s1,0,5,11,17,0.3833157411912301,0.4236743832885106
calib_fluid_s1,0,6,0,0,1.818105316904924e-05,7.69030655732999e-10
calib_fluid_s1,0,6,1,1,8.287883747470914e-05,3.758358149188329e-08
calib_fluid_s1,0,6,2,2,0.0014744831370686975,1.0966020739655896e-05
calib_fluid_s1,0,6,3,9,0.0035293954715598375,1.5813568423484283e-05
calib_fluid_s1,0,6,4,10,0.002938972999497006,1.1986721216880222e-05
calib_fluid_s1,0,6,5,11,0.0013626840997555214,5.1428219500175305e-06
calib_fluid_s1,0,6,6,12,0.00017740568318913574,1.0017564864495029e-07
calib_fluid_s1,0,6,7,13,0.0012402901708507366,4.489832300795288e-06
calib_fluid_s1,0,6,8,14,0.05667516769790382,0.008222424924185043
calib_fluid_s1,0,6,9,15,0.34099882367687917,0.3769653079187268
calib_fluid_s1,0,6,10,16,0.33805055854221183,0.3253284927878208
calib_fluid_s1,0,6,11,17,0.25345114766969346,0.2894352368763758
calib_fluid_s1,0,7,0,0,0.037751160290402666,0.0041924870788529345
calib_fluid_s1,0,7,1,1,0.009474862483330071,0.0003167752817219645
calib_fluid_s1,0,7,2,2,0.005975075182504952,7.990421906702725e-05
calib_fluid_s1,0,7,3,9,0.012539764167740941,0.0003457247415410725
calib_fluid_s1,0,7,4,10,0.02686812876102825,0.0017060911667398054
calib_fluid_s1,0,7,5,11,0.038914617616683245,0.005880701028892577
calib_fluid_s1,0,7,6,12,0.033454561819477625,0.0050435878453154665
calib_fluid_s1,0,7,7,13,0.013203197663339475,0.0006972731004901419
calib_fluid_s1,0,7,8,14,0.013671733167332906,0.0004708400742300931
calib_fluid_s1,0,7,9,15,0.035456084491064147,0.006635838738163051
calib_fluid_s1,0,7,10,16,0.21956036798655987,0.19585890869402797
calib_fluid_s1,0,7,11,17,0.5531304428974787,0.7787718680309579
calib_fluid_s1,0,8,0,0,0.0869255531579256,0.027891834011412854
calib_fluid_s1,0,8,1,1,0.07325863962372144,0.024118725971527494
calib_fluid_s1,0,8,2,2,0.07369941907624403,0.02700519635641565
calib_fluid_s1,0,8,3,9,0.07220190390944481,0.028397251798010646
calib_fluid_s1,0,8,4,10,0.0750145073980093,0.03220204937568145
calib_fluid_s1,0,8,5,11,0.07628287995855013,0.033806173554208126
calib_fluid_s1,0,8,6,12,0.07690438628196716,0.03478305996532221
calib_fluid_s1,0,8,7,13,0.07505074329674244,0.03369098922517559
calib_fluid_s1,0,8,8,14,0.0763680829356114,0.03694731223723172
calib_fluid_s1,0,8,9,15,0.1029435700426499,0.23369140764875004
calib_fluid_s1,0,8,10,16,0.10549585334956646,0.24337904764587295
calib_fluid_s1,0,8,11,17,0.10585445972780386,0.24408695221039128
calib_fluid_s1,0,9,0,0,0.06667210285862286,0.008852136817193582
calib_fluid_s1,0,9,1,1,0.050349355364839234,0.004515337673174134
calib_fluid_s1,0,9,2,2,0.04146046253542105,0.0034114850013810733
calib_fluid_s1,0,9,3,9,0.04374846102048953,0.0038586311291926773
calib_fluid_s1,0,9,4,10,0.04355447366833687,0.004077860096326601
calib_fluid_s1,0,9,5,11,0.04093366519858439,0.0038301119733415634
calib_fluid_s1,0,9,6,12,0.04386980490138133,0.004859696997804909
calib_fluid_s1,0,9,7,13,0.054669114450613655,0.0077523068389227295
calib_fluid_s1,0,9,8,14,0.07039939456929763,0.012907580917162313
calib_fluid_s1,0,9,9,15,0.14840987821420032,0.20784673916997082
calib_fluid_s1,0,9,10,16,0.1853973294297854,0.3117511704215652
calib_fluid_s1,0,9,11,17,0.2105359559257825,0.4263369429639644
calib_fluid_s1,0,10,0,0,0.5913227995236714,0.7180885014042652
calib_fluid_s1,0,10,1,1,0.24308334787686664,0.19403248740649628
calib_fluid_s1,0,10,2,2,0.1345878920207421,0.08700158171837592
calib_fluid_s1,0,10,3,9,0.010922115373735625,0.00046535647157094743
calib_fluid_s1,0,10,4,10,0.008441340837938089,0.00025520431959720924
calib_fluid_s1,0,10,5,11,0.004530911256248752,8.644525539693327e-05
calib_fluid_s1,0,10,6,12,0.0030623675556853414,3.4671206420323536e-05
calib_fluid_s1,0,10,7,13,0.001724707539930629,1.1350147173016708e-05
calib_fluid_s1,0,10,8,14,0.0007477228221735761,2.721137353612559e-06
calib_fluid_s1,0,10,9,15,0.0010757603474000157,1.9354791064502387e-05
calib_fluid_s1,0,10,10,16,0.00038464533220879577,2.1452336595567107e-06
calib_fluid_s1,0,10,11,17,0.00011638046180451056,1.8090862647578456e-07
calib_fluid_s1,0,11,0,0,0.000331862568903792,2.4298427865572016e-07
calib_fluid_s1,0,11,1,1,0.0003230120867859417,3.088856265192163e-07
calib_fluid_s1,0,11,2,2,0.0017314394663117127,9.981286643306679e-06
calib_fluid_s1,0,11,3,9,0.0002477626039762981,1.2781580028760615e-07
calib_fluid_s1,0,11,4,10,0.00035968445445178077,1.9525746791995644e-07
calib_fluid_s1,0,11,5,11,0.0003355836403594973,2.1067306633109414e-07
calib_fluid_s1,0,11,6,12,0.00021193899192439858,7.934858248932247e-08
calib_fluid_s1,0,11,7,13,0.0014116971239369982,7.499522759680187e-06
calib_fluid_s1,0,11,8,14,0.043060191424350094,0.006667542481243272
calib_fluid_s1,0,11,9,15,0.2666702875479435,0.26744749765679876
calib_fluid_s1,0,11,10,16,0.34195015827814734,0.3102237188904453
calib_fluid_s1,0,11,11,17,0.343366361882848,0.41564259519728747
calib_fluid_s1,14,0,0,0,0.05885430332273245,0.006398715937487082
calib_fluid_s1,14,0,1,1,0.006729209776191661,0.0004259195282616091
calib_fluid_s1,14,0,2,2,0.007477757482168575,0.0005498865510189025
calib_fluid_s1,14,0,3,9,0.010636334152271349,0.0009000580103013065
calib_fluid_s1,14,0,4,10,0.02227895470180859,0.0035948232582208636
calib_fluid_s1,14,0,5,11,0.040087795816361904,0.01398436457100872
calib_fluid_s1,14,0,6,12,0.041689943677435316,0.015755184194170525
calib_fluid_s1,14,0,7,13,0.09170349951212604,0.06716043998746259
calib_fluid_s1,14,0,8,14,0.27272828171650565,0.38250910029062096
calib_fluid_s1,14,0,9,15,0.1177586813767751,0.10940847991424589
calib_fluid_s1,14,0,10,16,0.1531020210434993,0.1755330990515111
calib_fluid_s1,14,0,11,17,0.1769532011821866,0.22377992870569047
calib_fluid_s1,14,1,0,0,0.07501611967260638,0.045782633410160804
calib_fluid_s1,14,1,1,1,0.04965984091783563,0.015850303666119395
calib_fluid_s1,14,1,2,2,0.06558373011648655,0.043015264825428556
calib_fluid_s1,14,1,3,9,0.06251212613036235,0.052511490805938206
calib_fluid_s1,14,1,4,10,0.0819998246928056,0.06358895441149064
calib_fluid_s1,14,1,5,11,0.11327016664048035,0.09819180384659894
calib_fluid_s1,14,1,6,12,0.06824574247002602,0.04540441124903272
calib_fluid_s1,14,1,7,13,0.08300434673825899,0.062281056037519406
calib_fluid_s1,14,1,8,14,0.13849319952229658,0.16036508037613426
calib_fluid_s1,14,1,9,15,0.09055079457660516,0.13052532189163726
calib_fluid_s1,14,1,10,16,0.073031614224116,0.12167555978939015
calib_fluid_s1,14,1,11,17,0.0986324834326903,0.16080811969054967
calib_fluid_s1,14,2,0,0,0.14650819326440492,0.09593031560816147
calib_fluid_s1,14,2,1,1,0.07688059657812119,0.10170487237238769
calib_fluid_s1,14,2,2,2,0.0976726251343886,0.08193820944302424
calib_fluid_s1,14,2,3,9,0.0652311056231459,0.05006688334214821
calib_fluid_s1,14,2,4,10,0.10060533819099267,0.12732572886400673
calib_fluid_s1,14,2,5,11,0.10519544035196304,0.13494734050519105
calib_fluid_s1,14,2,6,12,0.09332040945688883,0.13775974609087455
calib_fluid_s1,14,2,7,13,0.07757312897592783,0.07768964207789175
calib_fluid_s1,14,2,8,14,0.10333019122481346,0.1186782820049804
calib_fluid_s1,14,2,9,15,0.039543899397055306,0.02910631032576891
calib_fluid_s1,14,2,10,16,0.03294990956783295,0.020896246290839797
calib_fluid_s1,14,2,11,17,0.06118916037182013,0.02395642307472518
calib_fluid_s1,14,3,0,0,0.020775820361450315,0.004764050214222753
calib_fluid_s1,14,3,1,1,0.007896740726816157,0.0004939452203178725
calib_fluid_s1,14,3,2,2,0.01232430253488322,0.0017937942347041852
calib_fluid_s1,14,3,3,9,0.013356770388782024,0.0017939504450702247
calib_fluid_s1,14,3,4,10,0.024404384195804596,0.00861909509975845
calib_fluid_s1,14,3,5,11,0.06439706000188986,0.044457285529979594
calib_fluid_s1,14,3,6,12,0.035819680740435914,0.015136792596588167
calib_fluid_s1,14,3,7,13,0.09227380653222401,0.08275403146657441
calib_fluid_s1,14,3,8,14,0.22595984985431034,0.35193937075285436
calib_fluid_s1,14,3,9,15,0.15912831605722505,0.18514033980807804
