allocation_id,rank,residual_tokens_per_frame,variant,state_bytes,compression_ratio,candidate_kl_sum,paired_candidate_kl_reduction,reduction_ci95_low,reduction_ci95_high,candidate_kl_p95_ratio,absolute_kl_ratio_to_r384_s4_euclidean,positive_task_count,candidate_top1_match,candidate_top1_match_delta,candidate_accuracy,candidate_accuracy_delta,minimum_leave_one_out_paired_reduction,mean_feature_relative_l2,mean_support_overlap_with_euclidean,paired_kl_wins,paired_kl_ties,paired_kl_losses,decision
r384_s4,384,4,euclidean_r384_s4,2867328,7.8396500156243025,0.12326704916995368,0.0,0.0,0.0,1.0,1.0,0,0.95,0.0,0.55,0.0,0.0,0.15851550474762915,1.0,0,20,0,REFERENCE
r384_s4,384,4,fisher_r384_s4,2867328,7.8396500156243025,0.04961644973241164,0.5974881359899897,-0.4517451684814759,0.8684697003224069,0.4633047245511542,0.4025118640100102,2,0.95,0.0,0.55,0.0,-0.021061997912670716,0.16318211257457732,0.0734375,11,3,6,BOUNDARY
r384_s4,384,4,mixed_r384_s4,2867328,7.8396500156243025,0.055771808202734974,0.5475529869637754,-0.896163018117382,0.8670908650708214,0.7573945093416811,0.45244701303622464,3,0.95,0.0,0.55,0.0,-0.16171861766715767,0.16202257201075554,0.253125,11,4,5,BOUNDARY
r402_s3,402,3,euclidean_r402_s3,2865504,7.844640244787653,0.09228931029588239,0.0,0.0,0.0,1.0,0.7486940826225107,0,0.95,0.0,0.55,0.0,0.0,0.15639452524483205,1.0,0,20,0,REFERENCE
r402_s3,402,3,fisher_r402_s3,2865504,7.844640244787653,0.05877310883397513,0.3631645025242174,-0.7029806252906977,0.8217762711955674,0.5261770581633483,0.4767949685640813,3,0.95,0.0,0.55,0.0,-0.22071118616647678,0.16009335927665233,0.05416666666666666,7,3,10,BOUNDARY
r402_s3,402,3,mixed_r402_s3,2865504,7.844640244787653,0.07168291750508615,0.22328038561271613,-1.5532240323099409,0.7945650070103906,0.9902435023725985,0.5815253791485977,2,0.95,0.0,0.55,0.0,-0.5134147227922989,0.159209368750453,0.2333333333333333,7,4,9,BOUNDARY
r420_s2,420,2,euclidean_r420_s2,2863680,7.84963683093083,0.06991866568364458,0.0,0.0,0.0,1.0,0.567212942586503,0,1.0,0.0,0.6,0.0,0.0,0.15462367758154869,1.0,0,20,0,REFERENCE
r420_s2,420,2,fisher_r420_s2,2863680,7.84963683093083,0.053201647143851005,0.2390923564736166,-0.3913225047796095,0.7584612321296252,0.38659789554607915,0.4315966635211618,4,0.95,-0.050000000000000044,0.55,-0.04999999999999993,-0.16289598819491125,0.1572807736694813,0.0375,12,2,6,ADVERSE
r420_s2,420,2,mixed_r420_s2,2863680,7.84963683093083,0.055251485724284066,0.20977488365873476,-0.5417466228297556,0.7597233100496993,0.4839556862151277,0.44822591354569075,4,0.95,-0.050000000000000044,0.55,-0.04999999999999993,-0.20995807335714556,0.15671303048729895,0.203125,10,7,3,ADVERSE
r438_s1,438,1,euclidean_r438_s1,2861856,7.85463978620867,0.04942051609555165,0.0,0.0,0.0,1.0,0.4009223586378986,0,0.95,0.0,0.55,0.0,0.0,0.15324293747544288,1.0,0,20,0,REFERENCE
r438_s1,438,1,fisher_r438_s1,2861856,7.85463978620867,0.03746515328771238,0.24191092591433638,-0.8624835146225951,0.5553377000452251,0.9718636391466433,0.3039348596400449,4,0.95,0.0,0.55,0.0,0.09775904164490845,0.15469664707779884,0.0125,7,2,11,BOUNDARY
r438_s1,438,1,mixed_r438_s1,2861856,7.85463978620867,0.04075088325930665,0.1754257851027451,-1.2421520323547928,0.49053937319826657,0.9718636391466433,0.33059023910860086,3,0.95,0.0,0.55,0.0,0.002252292177834403,0.15441267490386962,0.18125,7,3,10,BOUNDARY
r456_s0,456,0,euclidean_r456_s0,2860032,7.859649122807017,0.04373900363520988,0.0,0.0,0.0,1.0,0.3548312702359331,0,1.0,0.0,0.6,0.0,0.0,0.15248873308300973,1.0,0,20,0,REFERENCE
