sample_id,task,allocation_id,variant,paired_euclidean_kl,candidate_kl,paired_reduction
action_prediction_0148,action_prediction,r384_s4,fisher_r384_s4,0.000313714612275362,0.0001088519929908216,0.65302224145276
action_prediction_0178,action_prediction,r384_s4,fisher_r384_s4,0.001129720127210021,0.00044397334568202496,0.6070058990818635
action_prediction_0180,action_prediction,r384_s4,fisher_r384_s4,0.007296447176486254,0.001805588137358427,0.7525387227941335
action_prediction_0197,action_prediction,r384_s4,fisher_r384_s4,0.0011519137769937515,5.3717580158263445e-05,0.9533666657773164
egocentric_navigation_0028,egocentric_navigation,r384_s4,fisher_r384_s4,0.00042406865395605564,0.000666213221848011,-0.5710032223156201
egocentric_navigation_0102,egocentric_navigation,r384_s4,fisher_r384_s4,0.0008234451524913311,0.0006456822156906128,0.21587708211396595
egocentric_navigation_0188,egocentric_navigation,r384_s4,fisher_r384_s4,0.0008282680064439774,0.0006383312866091728,0.22931794824511498
egocentric_navigation_0198,egocentric_navigation,r384_s4,fisher_r384_s4,0.0,0.0007171044126152992,-3.2228341988449924e+304
fine_grained_pose_0061,fine_grained_pose,r384_s4,fisher_r384_s4,0.07950545102357864,0.004933144897222519,0.9379521173238862
fine_grained_pose_0099,fine_grained_pose,r384_s4,fisher_r384_s4,0.0011696889996528625,0.000497878878377378,0.574349353952087
fine_grained_pose_0148,fine_grained_pose,r384_s4,fisher_r384_s4,0.01969011127948761,0.01900140941143036,0.034977042957330284
fine_grained_pose_0193,fine_grained_pose,r384_s4,fisher_r384_s4,0.0003819759003818035,0.0003819759003818035,0.0
moving_attribute_0050,moving_attribute,r384_s4,fisher_r384_s4,0.0028133434243500233,0.006767522543668747,-1.405508863615636
moving_attribute_0124,moving_attribute,r384_s4,fisher_r384_s4,0.0001274310052394867,0.0001274310052394867,0.0
moving_attribute_0158,moving_attribute,r384_s4,fisher_r384_s4,1.4906050637364388e-05,1.4906050637364388e-05,0.0
moving_attribute_0186,moving_attribute,r384_s4,fisher_r384_s4,0.0,1.2958660136064282e-06,-5.823923590904181e+301
object_interaction_0007,object_interaction,r384_s4,fisher_r384_s4,0.003932119347155094,0.002638069912791252,0.32909719164554163
object_interaction_0063,object_interaction,r384_s4,fisher_r384_s4,1.1559131962712854e-06,4.317826096666977e-07,0.6264575825766756
object_interaction_0077,object_interaction,r384_s4,fisher_r384_s4,8.226773934438825e-05,0.00011177646229043603,-0.3586913069595692
object_interaction_0088,object_interaction,r384_s4,fisher_r384_s4,0.0035810209810733795,0.010061144828796387,-1.8095743872968448
action_prediction_0148,action_prediction,r384_s4,mixed_r384_s4,0.000313714612275362,0.0003434054087847471,-0.09464269545507853
action_prediction_0178,action_prediction,r384_s4,mixed_r384_s4,0.001129720127210021,0.0003371603670530021,0.7015540761536576
action_prediction_0180,action_prediction,r384_s4,mixed_r384_s4,0.007296447176486254,0.001805588137358427,0.7525387227941335
action_prediction_0197,action_prediction,r384_s4,mixed_r384_s4,0.0011519137769937515,9.287043940275908e-05,0.9193772648113203
egocentric_navigation_0028,egocentric_navigation,r384_s4,mixed_r384_s4,0.00042406865395605564,0.00019227294251322746,0.546599493455718
egocentric_navigation_0102,egocentric_navigation,r384_s4,mixed_r384_s4,0.0008234451524913311,0.0006456822156906128,0.21587708211396595
egocentric_navigation_0188,egocentric_navigation,r384_s4,mixed_r384_s4,0.0008282680064439774,0.0006383312866091728,0.22931794824511498
egocentric_navigation_0198,egocentric_navigation,r384_s4,mixed_r384_s4,0.0,0.0002624064218252897,-1.1793155576477708e+304
fine_grained_pose_0061,fine_grained_pose,r384_s4,mixed_r384_s4,0.07950545102357864,0.004933144897222519,0.9379521173238862
fine_grained_pose_0099,fine_grained_pose,r384_s4,mixed_r384_s4,0.0011696889996528625,0.0011696889996528625,0.0
fine_grained_pose_0148,fine_grained_pose,r384_s4,mixed_r384_s4,0.01969011127948761,0.01969011127948761,0.0
fine_grained_pose_0193,fine_grained_pose,r384_s4,mixed_r384_s4,0.0003819759003818035,0.0023647677153348923,-5.190881971797675
moving_attribute_0050,moving_attribute,r384_s4,mixed_r384_s4,0.0028133434243500233,0.0034576095640659332,-0.2290037306287116
moving_attribute_0124,moving_attribute,r384_s4,mixed_r384_s4,0.0001274310052394867,0.0001274310052394867,0.0
moving_attribute_0158,moving_attribute,r384_s4,mixed_r384_s4,1.4906050637364388e-05,0.0,1.0
moving_attribute_0186,moving_attribute,r384_s4,mixed_r384_s4,0.0,0.0,1.0
object_interaction_0007,object_interaction,r384_s4,mixed_r384_s4,0.003932119347155094,0.002638069912791252,0.32909719164554163
object_interaction_0063,object_interaction,r384_s4,mixed_r384_s4,1.1559131962712854e-06,1.0797566574183293e-06,0.06588430610414342
object_interaction_0077,object_interaction,r384_s4,mixed_r384_s4,8.226773934438825e-05,2.6011955924332142e-05,0.6838134105588924
object_interaction_0088,object_interaction,r384_s4,mixed_r384_s4,0.0035810209810733795,0.01704617589712143,-3.7601441005832887
action_prediction_0148,action_prediction,r402_s3,fisher_r402_s3,0.0,0.0001088519929908216,-4.892062012892023e+303
action_prediction_0178,action_prediction,r402_s3,fisher_r402_s3,0.0007338640280067921,0.00044605648145079613,0.39218102478424277
action_prediction_0180,action_prediction,r402_s3,fisher_r402_s3,0.007298520766198635,6.202113581821322e-05,0.9915022320542747
action_prediction_0197,action_prediction,r402_s3,fisher_r402_s3,0.0011519137769937515,5.3717580158263445e-05,0.9533666657773164
egocentric_navigation_0028,egocentric_navigation,r402_s3,fisher_r402_s3,0.0002556673716753721,0.00042406865395605564,-0.6586733425433233
egocentric_navigation_0102,egocentric_navigation,r402_s3,fisher_r402_s3,0.0,0.0,1.0
egocentric_navigation_0188,egocentric_navigation,r402_s3,fisher_r402_s3,0.0005423342809081078,0.0006383312866091728,-0.1770070767798848
egocentric_navigation_0198,egocentric_navigation,r402_s3,fisher_r402_s3,0.0,0.0005376474000513554,-2.4163126001222367e+304
fine_grained_pose_0061,fine_grained_pose,r402_s3,fisher_r402_s3,0.048183903098106384,0.004933144897222519,0.8976184040720356
fine_grained_pose_0099,fine_grained_pose,r402_s3,fisher_r402_s3,0.00046313158236443996,0.0007986314594745636,-0.724415889318724
fine_grained_pose_0148,fine_grained_pose,r402_s3,fisher_r402_s3,0.01969011127948761,0.032059893012046814,-0.6282230484621771
fine_grained_pose_0193,fine_grained_pose,r402_s3,fisher_r402_s3,0.0003819759003818035,0.0023647677153348923,-5.190881971797675
moving_attribute_0050,moving_attribute,r402_s3,fisher_r402_s3,0.0034576095640659332,0.0034576095640659332,0.0
moving_attribute_0124,moving_attribute,r402_s3,fisher_r402_s3,0.0001274310052394867,0.0001274310052394867,0.0
moving_attribute_0158,moving_attribute,r402_s3,fisher_r402_s3,1.4906050637364388e-05,0.0,1.0
moving_attribute_0186,moving_attribute,r402_s3,fisher_r402_s3,1.115659642891842e-06,3.230277798138559e-06,-1.8953971927903819
object_interaction_0007,object_interaction,r402_s3,fisher_r402_s3,0.007248115725815296,0.002638069912791252,0.6360336930886252
object_interaction_0063,object_interaction,r402_s3,fisher_r402_s3,1.0797566574183293e-06,3.5562288758228533e-07,0.6706453392632274
