method,mode,correction,rank,reduction,aggregate_error_percent,worst_error_percent,is_primary,scope
phasealigned_recency_g1_event_0,phase_aligned,adaptive_rank_oracle,16,1.7142857142856935,13.81820093371794,37.77238428592682,False,held_out
phasealigned_recency_g1_event_0,phase_aligned,frozen_calibration_basis_oracle_coefficients,16,1.7142857142856935,19.438167142054454,48.964208364486694,False,held_out
phasealigned_recency_g1_event_0,phase_aligned,none,0,1.7142857142856935,24.866283901855958,63.44594955444336,False,held_out
phasealigned_recency_g1_event_0p05,phase_aligned,adaptive_rank_oracle,16,1.6375087473757952,11.463667101508914,34.130626916885376,True,held_out
phasealigned_recency_g1_event_0p05,phase_aligned,frozen_calibration_basis_oracle_coefficients,16,1.6375087473757952,16.438566874695553,47.025322914123535,True,held_out
phasealigned_recency_g1_event_0p05,phase_aligned,none,0,1.6375087473757952,21.143022666265075,58.37509632110596,True,held_out
phasealigned_recency_g1_event_0p1,phase_aligned,adaptive_rank_oracle,16,1.5761131969662883,10.332563285186378,30.832427740097046,False,held_out
phasealigned_recency_g1_event_0p1,phase_aligned,frozen_calibration_basis_oracle_coefficients,16,1.5761131969662883,15.23878445171973,44.582825899124146,False,held_out
phasealigned_recency_g1_event_0p1,phase_aligned,none,0,1.5761131969662883,19.44579925389695,53.859418630599976,False,held_out
phasealigned_recency_g2_event_0,phase_aligned,adaptive_rank_oracle,16,1.5,2.824185547354229,16.83541089296341,False,held_out
phasealigned_recency_g2_event_0,phase_aligned,frozen_calibration_basis_oracle_coefficients,16,1.5,3.879206553247192,20.888696610927582,False,held_out
phasealigned_recency_g2_event_0,phase_aligned,none,0,1.5,5.468501818106966,25.374960899353027,False,held_out
phasealigned_recency_g2_event_0p05,phase_aligned,adaptive_rank_oracle,16,1.440886699507386,2.599166782252779,15.759535133838654,False,held_out
phasealigned_recency_g2_event_0p05,phase_aligned,frozen_calibration_basis_oracle_coefficients,16,1.440886699507386,3.540822412067704,19.508573412895203,False,held_out
phasealigned_recency_g2_event_0p05,phase_aligned,none,0,1.440886699507386,4.987297464162708,23.688900470733643,False,held_out
phasealigned_recency_g2_event_0p1,phase_aligned,adaptive_rank_oracle,16,1.3939678742310369,2.442361705938971,13.86898010969162,False,held_out
phasealigned_recency_g2_event_0p1,phase_aligned,frozen_calibration_basis_oracle_coefficients,16,1.3939678742310346,3.3446961645209923,17.057088017463684,False,held_out
phasealigned_recency_g2_event_0p1,phase_aligned,none,0,1.3939678742310369,4.700756626803096,21.656061708927155,False,held_out
phasealigned_recency_g3_event_0,phase_aligned,adaptive_rank_oracle,16,1.3333333333333408,2.27993298580397,13.488593697547913,False,held_out
phasealigned_recency_g3_event_0,phase_aligned,frozen_calibration_basis_oracle_coefficients,16,1.3333333333333408,3.0621707085311356,16.49908870458603,False,held_out
phasealigned_recency_g3_event_0,phase_aligned,none,0,1.3333333333333408,4.108644470073645,19.98398005962372,False,held_out
phasealigned_recency_g3_event_0p05,phase_aligned,adaptive_rank_oracle,16,1.2875159693178913,2.0956461323227487,12.071892619132996,False,held_out
phasealigned_recency_g3_event_0p05,phase_aligned,frozen_calibration_basis_oracle_coefficients,16,1.2875159693178913,2.8159725311123296,14.773288369178772,False,held_out
phasealigned_recency_g3_event_0p05,phase_aligned,none,0,1.2875159693178913,3.787158692211915,18.21170151233673,False,held_out
phasealigned_recency_g3_event_0p1,phase_aligned,adaptive_rank_oracle,16,1.2528490854857162,1.9755777841414774,11.542075127363205,False,held_out
phasealigned_recency_g3_event_0p1,phase_aligned,frozen_calibration_basis_oracle_coefficients,16,1.2528490854857204,2.6698042626304788,14.4601970911026,False,held_out
phasealigned_recency_g3_event_0p1,phase_aligned,none,0,1.2528490854857162,3.5927526750749244,17.97788441181183,False,held_out
phasealigned_recency_g4_event_0,phase_aligned,adaptive_rank_oracle,16,1.2000000000000057,1.8027790302864242,11.324962973594666,False,held_out
phasealigned_recency_g4_event_0,phase_aligned,frozen_calibration_basis_oracle_coefficients,16,1.2000000000000057,2.46215163396881,13.5939821600914,False,held_out
phasealigned_recency_g4_event_0,phase_aligned,none,0,1.2000000000000057,3.263334884122515,16.50242656469345,False,held_out
phasealigned_recency_g4_event_0p05,phase_aligned,adaptive_rank_oracle,16,1.1806256306760956,1.6819395338432568,9.797585010528564,False,held_out
phasealigned_recency_g4_event_0p05,phase_aligned,frozen_calibration_basis_oracle_coefficients,16,1.1806256306760956,2.3030980055964974,12.176146358251572,False,held_out
phasealigned_recency_g4_event_0p05,phase_aligned,none,0,1.1806256306760956,3.0574503819723393,14.770127832889557,False,held_out
phasealigned_recency_g4_event_0p1,phase_aligned,adaptive_rank_oracle,16,1.1618669314796413,1.5737169305564342,9.70674753189087,False,held_out
phasealigned_recency_g4_event_0p1,phase_aligned,frozen_calibration_basis_oracle_coefficients,16,1.1618669314796413,2.163881819689334,11.927329748868942,False,held_out
phasealigned_recency_g4_event_0p1,phase_aligned,none,0,1.1618669314796413,2.868071455380134,14.548732340335846,False,held_out
postrope_recency_g1_event_0,post_rope,adaptive_rank_oracle,16,1.7142857142856935,13.797330695560575,37.77238428592682,False,held_out
postrope_recency_g1_event_0,post_rope,frozen_calibration_basis_oracle_coefficients,16,1.7142857142856935,19.390083537396265,48.964208364486694,False,held_out
postrope_recency_g1_event_0,post_rope,none,0,1.7142857142856935,24.647156895110083,63.44594955444336,False,held_out
postrope_recency_g1_event_0p05,post_rope,adaptive_rank_oracle,16,1.6375087473757952,10.930177294125114,30.832427740097046,False,held_out
postrope_recency_g1_event_0p05,post_rope,frozen_calibration_basis_oracle_coefficients,16,1.6375087473757952,15.875220969438095,42.7271842956543,False,held_out
postrope_recency_g1_event_0p05,post_rope,none,0,1.6375087473757952,20.294703912511984,53.859418630599976,False,held_out
postrope_recency_g1_event_0p1,post_rope,adaptive_rank_oracle,16,1.5757575757575906,10.030335512429188,28.579851984977722,False,held_out
postrope_recency_g1_event_0p1,post_rope,frozen_calibration_basis_oracle_coefficients,16,1.5757575757575906,15.03461217238623,40.83772301673889,False,held_out
postrope_recency_g1_event_0p1,post_rope,none,0,1.5757575757575906,18.99365295258882,51.059842109680176,False,held_out
postrope_recency_g2_event_0,post_rope,adaptive_rank_oracle,16,1.5,2.8085775827225232,16.84005707502365,False,held_out
postrope_recency_g2_event_0,post_rope,frozen_calibration_basis_oracle_coefficients,16,1.5,3.8374960406694756,20.896224677562714,False,held_out
postrope_recency_g2_event_0,post_rope,none,0,1.5,5.180889684361287,25.388944149017334,False,held_out
postrope_recency_g2_event_0p05,post_rope,adaptive_rank_oracle,16,1.440886699507386,2.5966857748587246,15.76375812292099,False,held_out
postrope_recency_g2_event_0p05,post_rope,frozen_calibration_basis_oracle_coefficients,16,1.440886699507386,3.5119486980246903,19.508881866931915,False,held_out
