candidate_role,selection_scope,evaluation_scope,method,correction,rank,layer,head,aggregate_error_percent,worst_error_percent,passes_0p5_1p0_gate,minimum_arithmetic_reduction,records
Preregistered primary,preregistered,validation+test,phasealigned_recency_g1_event_0p05,adaptive_rank_oracle,16,29,4,3.952857870069472,5.445437505841255,False,1.6375087473757872,16
Preregistered primary,preregistered,validation+test,phasealigned_recency_g1_event_0p05,adaptive_rank_oracle,16,29,5,1.5744903502554555,2.0766781643033028,False,1.6375087473757872,16
Preregistered primary,preregistered,validation+test,phasealigned_recency_g1_event_0p05,adaptive_rank_oracle,16,29,6,0.5510945786126638,0.6419885437935591,False,1.6375087473757872,16
Preregistered primary,preregistered,validation+test,phasealigned_recency_g1_event_0p05,adaptive_rank_oracle,16,29,7,0.9092741075997602,1.308298483490944,False,1.6375087473757872,16
Preregistered primary,preregistered,validation+test,phasealigned_recency_g1_event_0p05,adaptive_rank_oracle,16,29,8,3.749142005306784,5.219480395317078,False,1.6375087473757872,16
Preregistered primary,preregistered,validation+test,phasealigned_recency_g1_event_0p05,adaptive_rank_oracle,16,29,9,24.914655125238326,34.130626916885376,False,1.6375087473757872,16
Preregistered primary,preregistered,validation+test,phasealigned_recency_g1_event_0p05,adaptive_rank_oracle,16,29,10,0.4882268739895062,0.5412905942648649,True,1.6375087473757872,16
Preregistered primary,preregistered,validation+test,phasealigned_recency_g1_event_0p05,adaptive_rank_oracle,16,29,11,0.3554180964844729,0.42268242686986923,True,1.6375087473757872,16
Preregistered primary,preregistered,validation+test,phasealigned_recency_g1_event_0p05,frozen_calibration_basis_oracle_coefficients,16,0,0,1.8378619348943699,2.7046052739024162,False,1.6375087473757872,16
Preregistered primary,preregistered,validation+test,phasealigned_recency_g1_event_0p05,frozen_calibration_basis_oracle_coefficients,16,0,1,3.9844388057219176,5.1090143620967865,False,1.6375087473757872,16
Preregistered primary,preregistered,validation+test,phasealigned_recency_g1_event_0p05,frozen_calibration_basis_oracle_coefficients,16,0,2,1.3351545628328843,2.339765429496765,False,1.6375087473757872,16
Preregistered primary,preregistered,validation+test,phasealigned_recency_g1_event_0p05,frozen_calibration_basis_oracle_coefficients,16,0,3,0.8058844603189825,1.2123978696763515,False,1.6375087473757872,16
Preregistered primary,preregistered,validation+test,phasealigned_recency_g1_event_0p05,frozen_calibration_basis_oracle_coefficients,16,0,4,1.4733686159582802,1.625155285000801,False,1.6375087473757872,16
Preregistered primary,preregistered,validation+test,phasealigned_recency_g1_event_0p05,frozen_calibration_basis_oracle_coefficients,16,0,5,0.44529636408382267,0.5275814328342676,True,1.6375087473757872,16
Preregistered primary,preregistered,validation+test,phasealigned_recency_g1_event_0p05,frozen_calibration_basis_oracle_coefficients,16,0,6,2.0293275202378833,3.015308640897274,False,1.6375087473757872,16
Preregistered primary,preregistered,validation+test,phasealigned_recency_g1_event_0p05,frozen_calibration_basis_oracle_coefficients,16,0,7,2.5344170285607244,3.427320346236229,False,1.6375087473757872,16
Preregistered primary,preregistered,validation+test,phasealigned_recency_g1_event_0p05,frozen_calibration_basis_oracle_coefficients,16,0,8,0.9277014660998938,1.5088396146893501,False,1.6375087473757872,16
Preregistered primary,preregistered,validation+test,phasealigned_recency_g1_event_0p05,frozen_calibration_basis_oracle_coefficients,16,0,9,1.4778124330164752,2.5566425174474716,False,1.6375087473757872,16
Preregistered primary,preregistered,validation+test,phasealigned_recency_g1_event_0p05,frozen_calibration_basis_oracle_coefficients,16,0,10,0.5018473924967066,0.7187693379819393,False,1.6375087473757872,16
Preregistered primary,preregistered,validation+test,phasealigned_recency_g1_event_0p05,frozen_calibration_basis_oracle_coefficients,16,0,11,3.6340774403969522,4.127718135714531,False,1.6375087473757872,16
Preregistered primary,preregistered,validation+test,phasealigned_recency_g1_event_0p05,frozen_calibration_basis_oracle_coefficients,16,14,0,11.334803654910013,16.01424217224121,False,1.6375087473757872,16
Preregistered primary,preregistered,validation+test,phasealigned_recency_g1_event_0p05,frozen_calibration_basis_oracle_coefficients,16,14,1,14.477531327294995,17.415626347064972,False,1.6375087473757872,16
Preregistered primary,preregistered,validation+test,phasealigned_recency_g1_event_0p05,frozen_calibration_basis_oracle_coefficients,16,14,2,20.243516813245026,23.143301904201508,False,1.6375087473757872,16
Preregistered primary,preregistered,validation+test,phasealigned_recency_g1_event_0p05,frozen_calibration_basis_oracle_coefficients,16,14,3,11.449444111805654,17.6384836435318,False,1.6375087473757872,16
Preregistered primary,preregistered,validation+test,phasealigned_recency_g1_event_0p05,frozen_calibration_basis_oracle_coefficients,16,14,4,11.5484577034011,15.261660516262054,False,1.6375087473757872,16
Preregistered primary,preregistered,validation+test,phasealigned_recency_g1_event_0p05,frozen_calibration_basis_oracle_coefficients,16,14,5,9.702752374868401,13.042683899402618,False,1.6375087473757872,16
Preregistered primary,preregistered,validation+test,phasealigned_recency_g1_event_0p05,frozen_calibration_basis_oracle_coefficients,16,14,6,8.821709330432101,10.633321851491928,False,1.6375087473757872,16
Preregistered primary,preregistered,validation+test,phasealigned_recency_g1_event_0p05,frozen_calibration_basis_oracle_coefficients,16,14,7,11.99569181515443,14.464972913265228,False,1.6375087473757872,16
Preregistered primary,preregistered,validation+test,phasealigned_recency_g1_event_0p05,frozen_calibration_basis_oracle_coefficients,16,14,8,9.16750596446164,15.065927803516388,False,1.6375087473757872,16
Preregistered primary,preregistered,validation+test,phasealigned_recency_g1_event_0p05,frozen_calibration_basis_oracle_coefficients,16,14,9,10.061600488132004,12.332746386528015,False,1.6375087473757872,16
Preregistered primary,preregistered,validation+test,phasealigned_recency_g1_event_0p05,frozen_calibration_basis_oracle_coefficients,16,14,10,8.298816986049738,13.737650215625763,False,1.6375087473757872,16
Preregistered primary,preregistered,validation+test,phasealigned_recency_g1_event_0p05,frozen_calibration_basis_oracle_coefficients,16,14,11,13.42792429660323,16.160234808921814,False,1.6375087473757872,16
Preregistered primary,preregistered,validation+test,phasealigned_recency_g1_event_0p05,frozen_calibration_basis_oracle_coefficients,16,29,0,0.7621320683584573,1.0213849134743214,False,1.6375087473757872,16
Preregistered primary,preregistered,validation+test,phasealigned_recency_g1_event_0p05,frozen_calibration_basis_oracle_coefficients,16,29,1,2.43800157623183,3.0156299471855164,False,1.6375087473757872,16
Preregistered primary,preregistered,validation+test,phasealigned_recency_g1_event_0p05,frozen_calibration_basis_oracle_coefficients,16,29,2,0.8801963707404797,1.1173251084983349,False,1.6375087473757872,16
Preregistered primary,preregistered,validation+test,phasealigned_recency_g1_event_0p05,frozen_calibration_basis_oracle_coefficients,16,29,3,8.62367085936325,12.279465794563293,False,1.6375087473757872,16
Preregistered primary,preregistered,validation+test,phasealigned_recency_g1_event_0p05,frozen_calibration_basis_oracle_coefficients,16,29,4,6.635898773160677,8.166519552469254,False,1.6375087473757872,16
Preregistered primary,preregistered,validation+test,phasealigned_recency_g1_event_0p05,frozen_calibration_basis_oracle_coefficients,16,29,5,2.4282922431937584,3.484625741839409,False,1.6375087473757872,16
Preregistered primary,preregistered,validation+test,phasealigned_recency_g1_event_0p05,frozen_calibration_basis_oracle_coefficients,16,29,6,1.6487332558304875,2.6709984987974167,False,1.6375087473757872,16
