layer,current_start_frame,denoising_call_index,denoising_timestep,aggregate_error_percent,scope
0,15,1,1000,1.3612119502732376,held_out
0,15,3,833,1.9350085503073207,held_out
0,18,1,1000,1.5225660034542055,held_out
0,18,3,833,2.1639824150803304,held_out
14,15,1,1000,8.351577110234983,held_out
14,15,3,833,8.33094916922989,held_out
14,18,1,1000,8.339833541987637,held_out
14,18,3,833,8.43621585381333,held_out
29,15,1,1000,12.35474353595086,held_out
29,15,3,833,12.535460899791003,held_out
29,18,1,1000,14.59170036415679,held_out
29,18,3,833,15.051635076237387,held_out
