mode,summary_groups,event_fraction,correction,rank,aggregate_error_percent,worst_error_percent,reduction,scope
phase_aligned,1,0.0,adaptive_rank_oracle,16,13.81820093371794,37.77238428592682,1.7142857142856935,held_out
phase_aligned,1,0.0,none,0,24.866283901855958,63.44594955444336,1.7142857142856935,held_out
phase_aligned,1,0.05,adaptive_rank_oracle,16,11.463667101508914,34.130626916885376,1.6375087473757952,held_out
phase_aligned,1,0.05,none,0,21.143022666265075,58.37509632110596,1.6375087473757952,held_out
phase_aligned,1,0.1,adaptive_rank_oracle,16,10.332563285186378,30.832427740097046,1.5761131969662883,held_out
phase_aligned,1,0.1,none,0,19.44579925389695,53.859418630599976,1.5761131969662883,held_out
phase_aligned,2,0.0,adaptive_rank_oracle,16,2.824185547354229,16.83541089296341,1.5,held_out
phase_aligned,2,0.0,none,0,5.468501818106966,25.374960899353027,1.5,held_out
phase_aligned,2,0.05,adaptive_rank_oracle,16,2.599166782252779,15.759535133838654,1.440886699507386,held_out
phase_aligned,2,0.05,none,0,4.987297464162708,23.688900470733643,1.440886699507386,held_out
phase_aligned,2,0.1,adaptive_rank_oracle,16,2.442361705938971,13.86898010969162,1.3939678742310369,held_out
phase_aligned,2,0.1,none,0,4.700756626803096,21.656061708927155,1.3939678742310369,held_out
phase_aligned,3,0.0,adaptive_rank_oracle,16,2.27993298580397,13.488593697547913,1.3333333333333408,held_out
phase_aligned,3,0.0,none,0,4.108644470073645,19.98398005962372,1.3333333333333408,held_out
phase_aligned,3,0.05,adaptive_rank_oracle,16,2.0956461323227487,12.071892619132996,1.2875159693178913,held_out
phase_aligned,3,0.05,none,0,3.787158692211915,18.21170151233673,1.2875159693178913,held_out
phase_aligned,3,0.1,adaptive_rank_oracle,16,1.9755777841414774,11.542075127363205,1.2528490854857162,held_out
phase_aligned,3,0.1,none,0,3.5927526750749244,17.97788441181183,1.2528490854857162,held_out
phase_aligned,4,0.0,adaptive_rank_oracle,16,1.8027790302864242,11.324962973594666,1.2000000000000057,held_out
phase_aligned,4,0.0,none,0,3.263334884122515,16.50242656469345,1.2000000000000057,held_out
phase_aligned,4,0.05,adaptive_rank_oracle,16,1.6819395338432568,9.797585010528564,1.1806256306760956,held_out
phase_aligned,4,0.05,none,0,3.0574503819723393,14.770127832889557,1.1806256306760956,held_out
phase_aligned,4,0.1,adaptive_rank_oracle,16,1.5737169305564342,9.70674753189087,1.1618669314796413,held_out
phase_aligned,4,0.1,none,0,2.868071455380134,14.548732340335846,1.1618669314796413,held_out
post_rope,1,0.0,adaptive_rank_oracle,16,13.797330695560575,37.77238428592682,1.7142857142856935,held_out
post_rope,1,0.0,none,0,24.647156895110083,63.44594955444336,1.7142857142856935,held_out
post_rope,1,0.05,adaptive_rank_oracle,16,10.930177294125114,30.832427740097046,1.6375087473757952,held_out
post_rope,1,0.05,none,0,20.294703912511984,53.859418630599976,1.6375087473757952,held_out
post_rope,1,0.1,adaptive_rank_oracle,16,10.030335512429188,28.579851984977722,1.5757575757575906,held_out
post_rope,1,0.1,none,0,18.99365295258882,51.059842109680176,1.5757575757575906,held_out
post_rope,2,0.0,adaptive_rank_oracle,16,2.8085775827225232,16.84005707502365,1.5,held_out
post_rope,2,0.0,none,0,5.180889684361287,25.388944149017334,1.5,held_out
post_rope,2,0.05,adaptive_rank_oracle,16,2.5966857748587246,15.76375812292099,1.440886699507386,held_out
post_rope,2,0.05,none,0,4.725805073226587,23.704272508621216,1.440886699507386,held_out
post_rope,2,0.1,adaptive_rank_oracle,16,2.4433293545246544,14.169901609420776,1.392857142857138,held_out
post_rope,2,0.1,none,0,4.441038566816371,21.63967490196228,1.392857142857138,held_out
post_rope,3,0.0,adaptive_rank_oracle,16,2.281580975689562,13.493643701076508,1.3333333333333408,held_out
post_rope,3,0.0,none,0,4.046929644539094,19.995100796222687,1.3333333333333408,held_out
post_rope,3,0.05,adaptive_rank_oracle,16,2.0800895499187972,11.771854758262634,1.2865688527263204,held_out
post_rope,3,0.05,none,0,3.6924358463287046,18.071359395980835,1.2865688527263204,held_out
post_rope,3,0.1,adaptive_rank_oracle,16,1.9696520712430072,11.575771123170853,1.248584672141251,held_out
post_rope,3,0.1,none,0,3.4996175944580807,17.77959167957306,1.248584672141251,held_out
post_rope,4,0.0,adaptive_rank_oracle,16,1.8003260762583937,11.31555438041687,1.2000000000000057,held_out
post_rope,4,0.0,none,0,3.16336089607819,16.496309638023376,1.2000000000000057,held_out
post_rope,4,0.05,adaptive_rank_oracle,16,1.670354199666667,9.7881481051445,1.1806256306760956,held_out
post_rope,4,0.05,none,0,2.9434216544195735,14.846929907798767,1.1806256306760956,held_out
post_rope,4,0.1,adaptive_rank_oracle,16,1.5852528156657935,9.722166508436203,1.1619874170997142,held_out
post_rope,4,0.1,none,0,2.7872326372454657,14.588239789009094,1.1619874170997142,held_out
