evaluation_run,weight_key,block,linear,signal,method,rank,activation_rows,stored_bits_ratio_vs_bf16,weight_relative_fro,activation_output_relative_l2,activation_output_cosine,group_size,scale_count
p00_seed20260724,blocks.0.ffn.0.weight,0,0,ffn_input,fp8_tensor,0,640,0.5,0.026474596932530403,0.011943935416638851,0.9999289512634277,,
p00_seed20260724,blocks.0.ffn.0.weight,0,0,ffn_input,int4_groupwise,0,640,0.2578125,0.14351554214954376,0.06808526068925858,0.9976916909217834,128,107520
p00_seed20260724,blocks.0.ffn.0.weight,0,0,ffn_input,spectral_fp16_plus_int4,8,640,0.26391369047619045,0.12319638580083847,0.058613989502191544,0.998287558555603,128,107520
p00_seed20260724,blocks.0.ffn.0.weight,0,0,ffn_input,random_fp16_plus_int4,8,640,0.26391369047619045,0.1431482434272766,0.06777138262987137,0.9977119565010071,128,107520
p00_seed20260724,blocks.0.ffn.0.weight,0,0,ffn_input,spectral_fp16_plus_int4,16,640,0.27001488095238096,0.11342453211545944,0.05234198272228241,0.9986339807510376,128,107520
p00_seed20260724,blocks.0.ffn.0.weight,0,0,ffn_input,random_fp16_plus_int4,16,640,0.27001488095238096,0.1427634060382843,0.06758811324834824,0.9977246522903442,128,107520
p00_seed20260724,blocks.0.ffn.0.weight,0,0,ffn_input,spectral_fp16_plus_int4,32,640,0.28221726190476193,0.10295461118221283,0.04666006565093994,0.9989134669303894,128,107520
p00_seed20260724,blocks.0.ffn.0.weight,0,0,ffn_input,random_fp16_plus_int4,32,640,0.28221726190476193,0.14182204008102417,0.06738963723182678,0.9977396130561829,128,107520
p00_seed20260724,blocks.0.ffn.0.weight,0,0,ffn_input,spectral_fp16_plus_int4,64,640,0.3066220238095238,0.09141413122415543,0.041679371148347855,0.9991330504417419,128,107520
p00_seed20260724,blocks.0.ffn.0.weight,0,0,ffn_input,random_fp16_plus_int4,64,640,0.3066220238095238,0.140350803732872,0.06663979589939117,0.9977893233299255,128,107520
p00_seed20260724,blocks.0.ffn.2.weight,0,2,ffn_hidden_post_gelu,fp8_tensor,0,640,0.5,0.026500003412365913,0.0053439661860466,0.999985933303833,,
p00_seed20260724,blocks.0.ffn.2.weight,0,2,ffn_hidden_post_gelu,int4_groupwise,0,640,0.2578125,0.12654565274715424,0.024499548599123955,0.9997000694274902,128,107520
p00_seed20260724,blocks.0.ffn.2.weight,0,2,ffn_hidden_post_gelu,spectral_fp16_plus_int4,8,640,0.26391369047619045,0.12311896681785583,0.024000516161322594,0.9997121691703796,128,107520
p00_seed20260724,blocks.0.ffn.2.weight,0,2,ffn_hidden_post_gelu,random_fp16_plus_int4,8,640,0.26391369047619045,0.12617391347885132,0.02426263503730297,0.9997061491012573,128,107520
p00_seed20260724,blocks.0.ffn.2.weight,0,2,ffn_hidden_post_gelu,spectral_fp16_plus_int4,16,640,0.27001488095238096,0.1200457513332367,0.022973716259002686,0.9997364282608032,128,107520
p00_seed20260724,blocks.0.ffn.2.weight,0,2,ffn_hidden_post_gelu,random_fp16_plus_int4,16,640,0.27001488095238096,0.12582316994667053,0.024376729503273964,0.9997034668922424,128,107520
p00_seed20260724,blocks.0.ffn.2.weight,0,2,ffn_hidden_post_gelu,spectral_fp16_plus_int4,32,640,0.28221726190476193,0.11389490962028503,0.021880531683564186,0.9997608661651611,128,107520
p00_seed20260724,blocks.0.ffn.2.weight,0,2,ffn_hidden_post_gelu,random_fp16_plus_int4,32,640,0.28221726190476193,0.12504176795482635,0.023973552510142326,0.9997131824493408,128,107520
