sample_id,sample_position,layer_index,exact_group_count,selected_method,visual_relative_l2,visual_worst_head_relative_l2,full_relative_l2
vsi_question_1039,81,0,0,headwise_attention_mass,0.23874910175800323,0.5868082046508789,0.02443833276629448
vsi_question_1039,81,0,49,headwise_exact_greedy,0.021654324606060982,0.12812107801437378,0.012737748213112354
vsi_question_1039,81,0,98,headwise_exact_local,0.011538654565811157,0.05060974135994911,0.00410656351596117
vsi_question_1039,81,0,147,headwise_exact_local,0.006472647190093994,0.023795384913682938,0.0024934036191552877
vsi_question_1039,81,0,196,headwise_exact_local,0.0037303876597434282,0.014978529885411263,0.001539043732918799
vsi_question_1039,81,0,392,headwise_attention_mass,0.0,0.0,0.0
vsi_question_1039,81,13,0,headwise_attention_mass,0.7498987317085266,0.9935563802719116,0.05958620086312294
vsi_question_1039,81,13,49,headwise_exact_local,0.07288172841072083,0.12310046702623367,0.00478879502043128
vsi_question_1039,81,13,98,headwise_exact_local,0.03163626044988632,0.05992773547768593,0.0020532957278192043
vsi_question_1039,81,13,147,headwise_exact_local,0.015625333413481712,0.03281832113862038,0.0010359544539824128
vsi_question_1039,81,13,196,headwise_exact_local,0.007650312036275864,0.021410031244158745,0.0005293565918691456
vsi_question_1039,81,13,392,headwise_attention_mass,0.0,0.0,0.0
vsi_question_1039,81,27,0,headwise_attention_mass,0.653127133846283,1.0428016185760498,0.09093738347291946
vsi_question_1039,81,27,49,headwise_exact_local,0.13544800877571106,0.22822247445583344,0.014132289215922356
vsi_question_1039,81,27,98,headwise_exact_local,0.06880238652229309,0.13488465547561646,0.007366856560111046
vsi_question_1039,81,27,147,headwise_exact_local,0.037283025681972504,0.07500259578227997,0.003994874656200409
vsi_question_1039,81,27,196,headwise_exact_local,0.020078374072909355,0.04038446769118309,0.0021790647879242897
vsi_question_1039,81,27,392,headwise_attention_mass,0.0,0.0,0.0
vsi_question_1053,80,0,0,headwise_attention_mass,0.19377093017101288,0.4591670632362366,0.02548862062394619
vsi_question_1053,80,0,49,headwise_exact_local,0.03085746429860592,0.16346675157546997,0.008683296851813793
vsi_question_1053,80,0,98,headwise_exact_local,0.014897498302161694,0.05470927059650421,0.0047937980853021145
vsi_question_1053,80,0,147,headwise_exact_local,0.007848888635635376,0.03236166015267372,0.002813157858327031
vsi_question_1053,80,0,196,headwise_exact_local,0.0042045642621815205,0.019920535385608673,0.0016180925304070115
vsi_question_1053,80,0,392,headwise_attention_mass,0.0,0.0,0.0
vsi_question_1053,80,13,0,headwise_attention_mass,0.5997610092163086,0.7718152403831482,0.04516315832734108
vsi_question_1053,80,13,49,headwise_exact_local,0.08817560970783234,0.13150595128536224,0.006770078558474779
vsi_question_1053,80,13,98,headwise_exact_local,0.041517019271850586,0.07254231721162796,0.0027779173105955124
vsi_question_1053,80,13,147,headwise_exact_local,0.02130008302628994,0.040011558681726456,0.001339224399998784
vsi_question_1053,80,13,196,headwise_exact_local,0.010567757301032543,0.023481661453843117,0.000685567210894078
vsi_question_1053,80,13,392,headwise_attention_mass,0.0,0.0,0.0
vsi_question_1053,80,27,0,headwise_attention_mass,0.6370934247970581,1.0722347497940063,0.0479678250849247
vsi_question_1053,80,27,49,headwise_exact_local,0.14386506378650665,0.25944679975509644,0.011737975291907787
vsi_question_1053,80,27,98,headwise_exact_local,0.07717236876487732,0.13640284538269043,0.006102936342358589
vsi_question_1053,80,27,147,headwise_exact_local,0.04510020092129707,0.08365359902381897,0.0035058283247053623
vsi_question_1053,80,27,196,headwise_exact_local,0.02527015097439289,0.04921623319387436,0.0019774523098021746
vsi_question_1053,80,27,392,headwise_attention_mass,0.0,0.0,0.0
vsi_question_1058,90,0,0,headwise_attention_mass,0.2539944648742676,0.6125164031982422,0.023758387193083763
vsi_question_1058,90,0,49,headwise_exact_greedy,0.017794018611311913,0.0793910101056099,0.011858617886900902
vsi_question_1058,90,0,98,headwise_exact_local,0.011874844320118427,0.050247542560100555,0.004254303872585297
vsi_question_1058,90,0,147,headwise_exact_local,0.006256930995732546,0.025542454794049263,0.002539859851822257
