sample_id,sample_position,layer_index,method,exact_group_count,visual_token_retention,visual_relative_l2,visual_worst_head_relative_l2,full_relative_l2
vsi_question_3132,73,0,shared_exact_local,0,0.25,0.2096327692270279,0.459796279668808,0.03159631788730621
vsi_question_3132,73,0,shared_exact_local,49,0.34375,0.20067565143108368,0.5057346820831299,0.015801705420017242
vsi_question_3132,73,0,shared_exact_local,98,0.4375,0.030700750648975372,0.09992921352386475,0.010838979855179787
vsi_question_3132,73,0,shared_exact_local,147,0.53125,0.019626539200544357,0.06434907019138336,0.0074251191690564156
vsi_question_3132,73,0,shared_exact_local,196,0.625,0.012749705463647842,0.04493136703968048,0.00500423414632678
vsi_question_3132,73,0,shared_exact_local,392,1.0,0.0,0.0,0.0
vsi_question_3132,73,0,headwise_attention_mass,0,0.25,0.2096327692270279,0.459796279668808,0.03159631788730621
vsi_question_3132,73,0,headwise_attention_mass,49,0.34375,0.029989028349518776,0.09069407731294632,0.0113533865660429
vsi_question_3132,73,0,headwise_attention_mass,98,0.4375,0.017136260867118835,0.06279230117797852,0.007299135904759169
vsi_question_3132,73,0,headwise_attention_mass,147,0.53125,0.010296904481947422,0.04243196174502373,0.004647703841328621
vsi_question_3132,73,0,headwise_attention_mass,196,0.625,0.006356312893331051,0.031044326722621918,0.0030296784825623035
vsi_question_3132,73,0,headwise_attention_mass,392,1.0,0.0,0.0,0.0
vsi_question_3132,73,0,headwise_exact_local,0,0.25,0.2096327692270279,0.459796279668808,0.03159631788730621
vsi_question_3132,73,0,headwise_exact_local,49,0.34375,0.025642910972237587,0.09952698647975922,0.009881696663796902
vsi_question_3132,73,0,headwise_exact_local,98,0.4375,0.01287650503218174,0.04475840553641319,0.005639771930873394
vsi_question_3132,73,0,headwise_exact_local,147,0.53125,0.007224248722195625,0.02802923135459423,0.003392834449186921
vsi_question_3132,73,0,headwise_exact_local,196,0.625,0.00405400013551116,0.01668505184352398,0.0019661171827465296
vsi_question_3132,73,0,headwise_exact_local,392,1.0,0.0,0.0,0.0
vsi_question_3132,73,0,headwise_exact_greedy,0,0.25,0.2096327692270279,0.459796279668808,0.03159631788730621
vsi_question_3132,73,0,headwise_exact_greedy,49,0.34375,0.023110397160053253,0.12249919772148132,0.017132189124822617
vsi_question_3132,73,0,headwise_exact_greedy,98,0.4375,0.01841840334236622,0.11862354725599289,0.015321343205869198
vsi_question_3132,73,0,headwise_exact_greedy,147,0.53125,0.017286911606788635,0.11851219832897186,0.014719434082508087
vsi_question_3132,73,0,headwise_exact_greedy,196,0.625,0.01700078323483467,0.11871577799320221,0.01417949702590704
vsi_question_3132,73,0,headwise_exact_greedy,392,1.0,0.0,0.0,0.0
vsi_question_3132,73,13,shared_exact_local,0,0.25,0.6275526881217957,0.7681570053100586,0.04488544911146164
vsi_question_3132,73,13,shared_exact_local,49,0.34375,0.15528778731822968,0.3859565258026123,0.013250067830085754
vsi_question_3132,73,13,shared_exact_local,98,0.4375,0.08798728883266449,0.17455624043941498,0.006946701556444168
vsi_question_3132,73,13,shared_exact_local,147,0.53125,0.05193859338760376,0.09956176578998566,0.004385756328701973
vsi_question_3132,73,13,shared_exact_local,196,0.625,0.02969084493815899,0.06031098961830139,0.0024792843032628298
vsi_question_3132,73,13,shared_exact_local,392,1.0,0.0,0.0,0.0
vsi_question_3132,73,13,headwise_attention_mass,0,0.25,0.6275526881217957,0.7681570053100586,0.04488544911146164
vsi_question_3132,73,13,headwise_attention_mass,49,0.34375,0.08900048583745956,0.11765730381011963,0.007767019793391228
vsi_question_3132,73,13,headwise_attention_mass,98,0.4375,0.04302428290247917,0.06846693158149719,0.0037886779755353928
vsi_question_3132,73,13,headwise_attention_mass,147,0.53125,0.022325731813907623,0.040220294147729874,0.002123248530551791
vsi_question_3132,73,13,headwise_attention_mass,196,0.625,0.011707890778779984,0.0292257908731699,0.0012877309927716851
vsi_question_3132,73,13,headwise_attention_mass,392,1.0,0.0,0.0,0.0
vsi_question_3132,73,13,headwise_exact_local,0,0.25,0.6275526881217957,0.7681570053100586,0.04488544911146164
vsi_question_3132,73,13,headwise_exact_local,49,0.34375,0.08229310810565948,0.12148409336805344,0.007065115496516228
vsi_question_3132,73,13,headwise_exact_local,98,0.4375,0.03857263922691345,0.0681220293045044,0.0032528943847864866
vsi_question_3132,73,13,headwise_exact_local,147,0.53125,0.019038831815123558,0.036725424230098724,0.001684572664089501
vsi_question_3132,73,13,headwise_exact_local,196,0.625,0.00996809359639883,0.024305187165737152,0.0009618610492907465
vsi_question_3132,73,13,headwise_exact_local,392,1.0,0.0,0.0,0.0
vsi_question_3132,73,13,headwise_exact_greedy,0,0.25,0.6275526881217957,0.7681570053100586,0.04488544911146164
vsi_question_3132,73,13,headwise_exact_greedy,49,0.34375,0.15331080555915833,0.3243213891983032,0.022392306476831436
vsi_question_3132,73,13,headwise_exact_greedy,98,0.4375,0.14718525111675262,0.3205084204673767,0.02133987657725811
vsi_question_3132,73,13,headwise_exact_greedy,147,0.53125,0.14637793600559235,0.32044780254364014,0.021137820556759834
vsi_question_3132,73,13,headwise_exact_greedy,196,0.625,0.14639833569526672,0.3207208514213562,0.02104901894927025
vsi_question_3132,73,13,headwise_exact_greedy,392,1.0,0.0,0.0,0.0
vsi_question_3132,73,27,shared_exact_local,0,0.25,0.6514242887496948,0.9236105680465698,0.09988176077604294
vsi_question_3132,73,27,shared_exact_local,49,0.34375,0.24381694197654724,0.5195033550262451,0.048333801329135895
vsi_question_3132,73,27,shared_exact_local,98,0.4375,0.13583333790302277,0.25286340713500977,0.030727211385965347
vsi_question_3132,73,27,shared_exact_local,147,0.53125,0.08465494215488434,0.17309381067752838,0.01905437558889389
vsi_question_3132,73,27,shared_exact_local,196,0.625,0.050047244876623154,0.1039232462644577,0.010985556058585644
vsi_question_3132,73,27,shared_exact_local,392,1.0,0.0,0.0,0.0
vsi_question_3132,73,27,headwise_attention_mass,0,0.25,0.6514242887496948,0.9236105680465698,0.09988176077604294
vsi_question_3132,73,27,headwise_attention_mass,49,0.34375,0.12217935174703598,0.2572089731693268,0.024029109627008438
vsi_question_3132,73,27,headwise_attention_mass,98,0.4375,0.06348644196987152,0.14728431403636932,0.011843917891383171
vsi_question_3132,73,27,headwise_attention_mass,147,0.53125,0.03672172874212265,0.08582577109336853,0.006536819506436586
vsi_question_3132,73,27,headwise_attention_mass,196,0.625,0.020976930856704712,0.04922376945614815,0.003593530273064971
vsi_question_3132,73,27,headwise_attention_mass,392,1.0,0.0,0.0,0.0
vsi_question_3132,73,27,headwise_exact_local,0,0.25,0.6514242887496948,0.9236105680465698,0.09988176077604294
vsi_question_3132,73,27,headwise_exact_local,49,0.34375,0.1283787488937378,0.27090635895729065,0.023637671023607254
