block,projection,bits,method,rank,clip,sparse_ratio,validation_relative_l2,test_relative_l2,defect_energy_captured_test,subspace_overlap,correction_vs_quant_error_cosine,residual_vs_correction_cosine,estimated_stored_bits,estimated_extra_ops,lowrank_values,sparse_values,sparse_blocks,local_error_2pct_go,subspace_overlap_07_go,rank_energy_07_go,combined_gate,weight_error_rank_energy,alternating_iterations,shaping_strength,calibration_defect_rank_energy
0,down,4,joint_residual_shaped_ptq_lr,64,0.65,0.0,0.0018242070218548179,0.02322816289961338,0.7984391587061773,0.5767495036125183,-0.8936549425125122,-0.02524060755968094,65798144,859832320,671744,0,0,False,False,True,False,,2,1.0,0.9999005549243755
0,down,4,ptq_activation_lr,64,0.65,0.0,,0.023797810077667236,0.3826067950434283,0.32181233167648315,-0.6186385750770569,-0.011516328901052475,65798144,859832320,671744,0,0,False,False,False,False,,,,0.9993344388855436
0,down,4,joint_shaped_ptq_lr,64,0.65,0.0,0.0018900253344327211,0.023801710456609726,0.38240576652252634,0.32196536660194397,-0.6184799671173096,-0.011858736164867878,65798144,859832320,671744,0,0,False,False,False,False,,,,0.9993397576465628
0,down,4,joint_shaped_ptq_lr_block_sparse,64,0.65,0.02,0.001864735851995647,0.02345144934952259,0.378376261395303,0.3176019787788391,-0.6152061820030212,-0.011154284700751305,70255680,1216348160,671744,278528,34,False,False,False,False,,,,0.9993261015128638
0,down,4,joint_residual_shaped_ptq_lr_block_sparse,64,0.65,0.02,0.0017970326589420438,0.02302846685051918,0.7960701211719119,0.5762171745300293,-0.8923190236091614,-0.023581933230161667,70255680,1216348160,671744,278528,34,False,False,True,False,,2,1.0,0.999899548060721
0,down,4,joint_shaped_ptq_lr_block_sparse,64,0.65,0.05,0.001827067113481462,0.022982170805335045,0.3765872039898104,0.31338149309158325,-0.6137483716011047,-0.011096316389739513,76810880,1740636160,671744,688128,84,False,False,False,False,,,,0.9993238538244574
0,down,4,joint_residual_shaped_ptq_lr_block_sparse,64,0.65,0.05,0.0017564757727086544,0.022646935656666756,0.7957517860711365,0.577849268913269,-0.892151951789856,-0.02533499151468277,76810880,1740636160,671744,688128,84,False,False,True,False,,2,1.0,0.9999009055064018
24,down,4,ptq_only,0,0.55,0.0,0.12133006006479263,0.11950286477804184,0.0,,,,55050240,0,0,0,0,False,False,False,False,,,,
24,down,4,ptq_weight_svd,16,0.55,0.0,,0.1164301186800003,0.05076783625840897,,-0.2253296822309494,-0.0013538333587348461,57737216,214958080,167936,0,0,False,False,False,False,0.04059868851790268,,,
24,down,4,joint_residual_shaped_ptq_lr,16,0.55,0.0,0.05457836762070656,0.08131055533885956,0.8355550596019534,0.6040489077568054,-0.9141104221343994,0.00012329031596891582,57737216,214958080,167936,0,0,False,False,True,False,,2,0.75,0.9546900756821523
24,down,4,ptq_activation_lr,16,0.55,0.0,,0.08182429522275925,0.5311823268930931,0.38690656423568726,-0.7288386225700378,-0.0011404951801523566,57737216,214958080,167936,0,0,False,False,False,False,,,,0.8244021583081091
24,down,4,joint_shaped_ptq_lr,16,0.55,0.0,0.05468837544322014,0.08166742324829102,0.5329765862403992,0.38953709602355957,-0.7300700545310974,-0.0005259022582322359,57737216,214958080,167936,0,0,False,False,False,False,,,,0.824890201737332
24,down,4,joint_shaped_ptq_lr_block_sparse,16,0.55,0.02,0.054030001163482666,0.08075109869241714,0.5195022351684343,0.3693636357784271,-0.7207823991775513,0.002123581012710929,62194752,571473920,167936,278528,34,False,False,False,False,,,,0.8195012193171936
24,down,4,joint_residual_shaped_ptq_lr_block_sparse,16,0.55,0.02,0.05367964506149292,0.08018731325864792,0.8370991366634115,0.6090843081474304,-0.9149563908576965,0.0027571970131248236,62194752,571473920,167936,278528,34,False,False,True,False,,2,0.75,0.9553350805046585
24,down,4,joint_shaped_ptq_lr_block_sparse,16,0.55,0.05,0.052255548536777496,0.07914537191390991,0.515055116943218,0.35354816913604736,-0.7176996469497681,0.005629333667457104,68749952,1095761920,167936,688128,84,False,False,False,False,,,,0.8200132032477522
24,down,4,joint_residual_shaped_ptq_lr_block_sparse,16,0.55,0.05,0.05214046686887741,0.0787891373038292,0.8887558019851554,0.6635722517967224,-0.9427618384361267,0.002597555285319686,68749952,1095761920,167936,688128,84,False,False,True,False,,2,1.0,0.971348013634251
24,down,4,ptq_weight_svd,64,0.55,0.0,,0.11271082609891891,0.11044069384960498,,-0.33234378695487976,-0.0025374784599989653,65798144,859832320,671744,0,0,False,False,False,False,0.102366127156613,,,
24,down,4,joint_residual_shaped_ptq_lr,64,0.65,0.0,0.02909664623439312,0.07380685955286026,0.9141207237365412,0.6090664863586426,-0.9561185240745544,-0.0025324327871203423,65798144,859832320,671744,0,0,False,False,True,False,,2,1.0,0.9956995039571123
24,down,4,ptq_activation_lr,64,0.55,0.0,,0.07400454580783844,0.6165079627579839,0.33764997124671936,-0.7852016091346741,0.0012481729499995708,65798144,859832320,671744,0,0,False,False,False,False,,,,0.9725726300825471
24,down,4,joint_shaped_ptq_lr,64,0.65,0.0,0.02957111783325672,0.07562293857336044,0.6254691847021971,0.34075865149497986,-0.7908861041069031,-0.00272730621509254,65798144,859832320,671744,0,0,False,False,False,False,,,,0.9731717268583528
24,down,4,joint_shaped_ptq_lr_block_sparse,64,0.65,0.02,0.02923131361603737,0.0748407319188118,0.6165924722420018,0.3382875919342041,-0.7852540612220764,-0.00126430403906852,70255680,1216348160,671744,278528,34,False,False,False,False,,,,0.9726950005651407
24,down,4,joint_residual_shaped_ptq_lr_block_sparse,64,0.55,0.02,0.028565427288413048,0.07194157689809799,0.9123343409002884,0.610723078250885,-0.9551891684532166,0.007356622721999884,70255680,1216348160,671744,278528,34,False,False,True,False,,2,1.0,0.9956912492292462
24,down,4,joint_shaped_ptq_lr_block_sparse,64,0.55,0.05,0.028208237141370773,0.07181519269943237,0.6007234650694013,0.3309960663318634,-0.7750975489616394,0.008041955530643463,76810880,1740636160,671744,688128,84,False,False,False,False,,,,0.9714768423143231
24,down,4,joint_residual_shaped_ptq_lr_block_sparse,64,0.65,0.05,0.02752164751291275,0.07111857086420059,0.9158066124027942,0.6103179454803467,-0.9570038318634033,0.003383967326954007,76810880,1740636160,671744,688128,84,False,False,True,False,,2,1.0,0.9958052912837272
