variant,samples,candidate_kl_sum,candidate_kl_mean,candidate_kl_median,candidate_kl_p95,aggregate_candidate_kl_reduction,reduction_ci95_low,reduction_ci95_high,candidate_kl_p95_ratio,candidate_top1_match,candidate_top1_match_delta,vocabulary_kl_sum,aggregate_vocabulary_kl_reduction,mean_answer_logprob_delta,mean_feature_relative_l2,mean_support_overlap_with_euclidean,paired_kl_wins,paired_kl_ties,paired_kl_losses,decision,positive_task_count
pca_only,40,0.24705668419483118,0.00617641710487078,0.0005425866693258286,0.02395132947713132,-4.72959717219642,-10.89068387788154,-1.467493975704255,3.6667162737677748,0.95,-0.025000000000000022,0.24769122982979752,-4.754208324434729,-0.01779482699930668,0.0707016471773386,0.0,8,5,27,ABLATION,0
euclidean_s4,40,0.04311938113096403,0.0010779845282741008,0.00024567078799009323,0.006532092392444608,0.0,0.0,0.0,1.0,0.975,0.0,0.0430452315704315,0.0,-0.009399127145297826,0.06288800495676697,1.0,0,40,0,REFERENCE,0
fisher_s4,40,0.012045331066474319,0.00030113327666185795,0.00011064951831940562,0.001284526381641625,0.7206515782337013,0.515779808208558,0.8325025175597495,0.19664853227235146,1.0,0.025000000000000022,0.01207532467608985,0.7194735807999557,0.003806496853940189,0.0648204219993204,0.42578125,26,2,12,GO,5
mixed_s4,40,0.010379254512372427,0.0002594813628093107,0.00010732072405517101,0.0008882643654942492,0.7592902717956895,0.6010027113241028,0.8487469106617319,0.1359846603703381,1.0,0.025000000000000022,0.010409702037577517,0.7581682881518491,0.001697985827922821,0.06410656371153892,0.559375,25,3,12,GO,5
