task,variant,samples,candidate_kl_sum,euclidean_candidate_kl_sum,aggregate_reduction
action_localization,pca_only,8,0.003490172326564789,0.0021032325457781553,-0.6594324453426013
action_localization,fisher_s4,8,0.001603736774995923,0.0021032325457781553,0.23748955948065575
action_localization,mixed_s4,8,0.0016683335416018963,0.0021032325457781553,0.20677647131756172
character_order,pca_only,8,0.09925688849762082,0.005260198900941759,-17.869417367440303
character_order,fisher_s4,8,0.0017658924916759133,0.005260198900941759,0.6642916884074941
character_order,mixed_s4,8,0.0015315881028072909,0.005260198900941759,0.7088345646904943
episodic_reasoning,pca_only,8,0.1289438788953703,0.029238728166092187,-3.410037200075789
episodic_reasoning,fisher_s4,8,0.007756489590974525,0.029238728166092187,0.7347186393705853
episodic_reasoning,mixed_s4,8,0.006210502964677289,0.029238728166092187,0.7875932588654955
moving_count,pca_only,8,0.00869482010602951,0.00040416356205241755,-20.513122216846075
moving_count,fisher_s4,8,0.00021119543816894293,0.00040416356205241755,0.4774505719999762
moving_count,mixed_s4,8,0.00021807086886838078,0.00040416356205241755,0.460439066399315
object_shuffle,pca_only,8,0.006670924369245768,0.00611305795609951,-0.09125815870756271
object_shuffle,fisher_s4,8,0.0007080167706590146,0.00611305795609951,0.8841796076949399
object_shuffle,mixed_s4,8,0.0007507590344175696,0.00611305795609951,0.8771876465413723
