density,rank,baseline_dynamic_method,baseline_dynamic_relative_l2,tail_aware_initial_relative_l2,tail_aware_final_relative_l2,tail_aware_relative_improvement,baseline_static_method,baseline_static_relative_l2,tail_aware_static_relative_l2,mask_jaccard,basis_overlap
0.0625,16,dense_output_greedy,0.015505740992610595,0.015475315605139813,0.015464204599661278,0.0007179824801017399,contribution_norm,0.04466340259567626,0.0443152530958821,0.6129835745086893,0.7147867530584335
0.125,16,dense_output_greedy,0.006288182734894546,0.006238321941984472,0.0062169848104683244,0.003420331896073961,dense_output_greedy,0.02678076448820423,0.027782245752606752,0.6612989933540424,0.7066381126642227
