task,samples,accuracy,grid_frame_rate,sparse_frame_rate,all_grid_samples,all_sparse_samples,mixed_samples
action_sequence,40,0.475,0.921875,0.078125,25,1,14
moving_direction,40,0.4,0.5765625,0.4234375,8,2,30
object_existence,40,0.575,0.53125,0.46875,4,3,33
scene_transition,40,0.675,0.934375,0.065625,24,0,16
state_change,40,0.425,0.8625,0.1375,25,2,13
