sample_id,task,full_correct,fixed_correct,grid_correct,routed_correct,full_prediction,fixed_prediction,grid_prediction,routed_prediction,fixed_selected_error,grid_selected_error,routed_selected_error,routed_grid_frames,routed_sparse_frames
action_sequence_0000,action_sequence,0,0,0,0,2,2,2,2,0.07318845391273499,0.06930919736623764,0.06930919736623764,16,0
action_sequence_0010,action_sequence,1,1,1,1,0,0,0,0,0.07064051926136017,0.06971387565135956,0.06955048441886902,15,1
action_sequence_0016,action_sequence,1,1,1,1,3,3,3,3,0.0826353058218956,0.07859775424003601,0.07859775424003601,16,0
action_sequence_0021,action_sequence,0,0,0,0,1,1,1,1,0.07050862908363342,0.07006809860467911,0.06955475360155106,13,3
action_sequence_0023,action_sequence,0,0,0,0,1,1,1,1,0.08551711589097977,0.08178923279047012,0.08178923279047012,16,0
action_sequence_0024,action_sequence,1,1,1,1,3,3,3,3,0.07821612060070038,0.07518237829208374,0.07518237829208374,16,0
action_sequence_0027,action_sequence,1,1,1,1,0,0,0,0,0.07248085737228394,0.06830045580863953,0.06830045580863953,16,0
action_sequence_0030,action_sequence,1,1,1,1,0,0,0,0,0.0728735476732254,0.06740140169858932,0.06740140169858932,16,0
action_sequence_0036,action_sequence,1,1,1,1,2,2,2,2,0.07563476264476776,0.07344820350408554,0.07344820350408554,15,1
action_sequence_0041,action_sequence,1,1,1,1,2,2,2,2,0.06511522084474564,0.0645880252122879,0.06450352072715759,14,2
action_sequence_0048,action_sequence,0,0,0,0,0,0,0,0,0.08490148931741714,0.07997366786003113,0.07997366786003113,16,0
action_sequence_0051,action_sequence,0,0,0,0,2,2,2,2,0.07692152261734009,0.07369638979434967,0.07369638979434967,16,0
action_sequence_0056,action_sequence,1,1,1,1,0,0,0,0,0.07765465974807739,0.0736081525683403,0.0736081525683403,15,1
action_sequence_0062,action_sequence,1,1,1,1,1,1,1,1,0.06302396953105927,0.06052984297275543,0.06052984297275543,16,0
action_sequence_0063,action_sequence,0,0,0,0,1,1,1,1,0.05647250637412071,0.05461040139198303,0.05461040139198303,16,0
action_sequence_0067,action_sequence,1,1,1,1,0,0,0,0,0.0767827257514,0.07158715277910233,0.07158715277910233,16,0
action_sequence_0068,action_sequence,0,0,0,0,0,0,2,2,0.08601713180541992,0.08086035400629044,0.08086035400629044,16,0
action_sequence_0079,action_sequence,1,1,1,1,1,1,1,1,0.06438881903886795,0.059639301151037216,0.059639301151037216,16,0
action_sequence_0090,action_sequence,0,0,0,0,3,3,3,3,0.0822967141866684,0.07680314034223557,0.07680314034223557,16,0
action_sequence_0098,action_sequence,0,0,0,0,2,2,2,2,0.06444348394870758,0.06391947716474533,0.06369985640048981,8,8
action_sequence_0103,action_sequence,0,0,0,0,2,2,2,2,0.07294788211584091,0.07007444649934769,0.07007444649934769,16,0
action_sequence_0106,action_sequence,1,1,1,1,2,2,2,2,0.0426618717610836,0.04075183346867561,0.04075183346867561,16,0
action_sequence_0113,action_sequence,0,0,0,0,0,0,0,0,0.07437470555305481,0.07247422635555267,0.07233942300081253,15,1
action_sequence_0125,action_sequence,0,0,0,0,1,1,1,1,0.05248744785785675,0.04958882927894592,0.04958882927894592,16,0
action_sequence_0126,action_sequence,1,1,1,1,3,3,3,3,0.07245989143848419,0.07029276341199875,0.07029276341199875,16,0
action_sequence_0137,action_sequence,0,0,0,0,1,1,1,1,0.08555379509925842,0.08013682812452316,0.08013682812452316,16,0
action_sequence_0147,action_sequence,1,1,1,1,1,1,1,1,0.06382244825363159,0.06309490650892258,0.06304693967103958,14,2
action_sequence_0151,action_sequence,0,0,0,0,1,1,1,1,0.06413620710372925,0.0628839060664177,0.06286909431219101,13,3
action_sequence_0154,action_sequence,0,0,0,0,0,0,0,0,0.06330450624227524,0.061968136578798294,0.06192314624786377,15,1
action_sequence_0155,action_sequence,0,0,0,0,3,3,3,3,0.04366698116064072,0.039720889180898666,0.039720889180898666,16,0
action_sequence_0156,action_sequence,0,0,0,0,0,0,0,0,0.07359255850315094,0.06930896639823914,0.06930896639823914,13,3
action_sequence_0158,action_sequence,0,0,0,0,0,0,0,0,0.06445738673210144,0.06257880479097366,0.06257880479097366,16,0
action_sequence_0161,action_sequence,1,1,1,1,2,2,2,2,0.06272086501121521,0.061837200075387955,0.061837200075387955,16,0
action_sequence_0163,action_sequence,1,1,1,1,2,2,2,2,0.04251977056264877,0.03994017094373703,0.03994017094373703,16,0
action_sequence_0168,action_sequence,0,0,0,0,3,3,3,3,0.07834611088037491,0.07341096550226212,0.07341096550226212,16,0
action_sequence_0173,action_sequence,1,1,1,1,2,2,2,2,0.06166530400514603,0.06331329792737961,0.06166530400514603,0,16
action_sequence_0177,action_sequence,1,1,1,1,2,2,2,2,0.051069699227809906,0.05089752376079559,0.05061747878789902,12,4
action_sequence_0183,action_sequence,0,0,0,0,3,3,3,3,0.06619139015674591,0.06496843695640564,0.06472114473581314,14,2
action_sequence_0187,action_sequence,1,1,1,1,2,2,2,2,0.0848294049501419,0.0806308463215828,0.0806308463215828,16,0
action_sequence_0190,action_sequence,0,0,0,0,1,1,1,1,0.07162435352802277,0.07108785212039948,0.07100168615579605,14,2
moving_direction_0003,moving_direction,0,0,0,0,0,0,0,0,0.03143574669957161,0.03110188990831375,0.03105892799794674,13,3
moving_direction_0005,moving_direction,1,1,1,1,1,1,1,1,0.026225781068205833,0.026628106832504272,0.02617936208844185,2,14
moving_direction_0007,moving_direction,0,0,0,0,2,2,2,2,0.027474327012896538,0.027114693075418472,0.027082128450274467,13,3
moving_direction_0020,moving_direction,0,0,0,0,1,1,1,1,0.028152965009212494,0.027670694515109062,0.02766314148902893,13,3
moving_direction_0026,moving_direction,0,0,0,0,1,1,1,1,0.026944592595100403,0.025807607918977737,0.025807607918977737,16,0
moving_direction_0044,moving_direction,1,1,1,1,0,0,0,0,0.028304528445005417,0.028330344706773758,0.028156695887446404,9,7
moving_direction_0046,moving_direction,1,1,1,1,1,1,1,1,0.028280945494771004,0.028376322239637375,0.028194576501846313,7,9
moving_direction_0047,moving_direction,0,0,0,0,2,2,2,2,0.026996146887540817,0.026668915525078773,0.026569146662950516,9,7
moving_direction_0066,moving_direction,0,0,0,0,3,3,3,3,0.027129705995321274,0.02754742093384266,0.026995094493031502,9,7
moving_direction_0067,moving_direction,0,0,0,0,0,0,0,0,0.0263578649610281,0.026986736804246902,0.026348000392317772,1,15
moving_direction_0071,moving_direction,0,0,0,0,3,3,3,3,0.029676901176571846,0.030070500448346138,0.029392549768090248,2,14
moving_direction_0075,moving_direction,0,0,0,0,1,1,1,1,0.027342069894075394,0.02739226445555687,0.027185935527086258,9,7
moving_direction_0081,moving_direction,0,0,0,0,3,3,3,3,0.03012622706592083,0.028599245473742485,0.028599245473742485,16,0
moving_direction_0083,moving_direction,1,1,1,1,2,2,2,2,0.026698989793658257,0.02731098048388958,0.026698989793658257,1,15
moving_direction_0085,moving_direction,1,1,1,1,0,0,0,0,0.02743852697312832,0.028010115027427673,0.02743852697312832,3,13
moving_direction_0088,moving_direction,0,0,0,0,3,3,3,3,0.029722245410084724,0.029363932088017464,0.029302475973963737,13,3
moving_direction_0090,moving_direction,0,0,0,0,0,0,0,0,0.03297646343708038,0.03277594968676567,0.03257325291633606,7,9
moving_direction_0092,moving_direction,0,0,0,0,0,0,0,0,0.02855926752090454,0.028599796816706657,0.028440827503800392,8,8
moving_direction_0097,moving_direction,0,0,0,0,2,2,2,2,0.026993412524461746,0.025611447170376778,0.025611447170376778,15,1
moving_direction_0099,moving_direction,0,0,0,0,3,3,3,3,0.028934957459568977,0.030375711619853973,0.028934957459568977,0,16
moving_direction_0101,moving_direction,1,1,1,1,2,2,2,2,0.027318177744746208,0.026459278538823128,0.026448242366313934,14,2
moving_direction_0104,moving_direction,1,1,1,1,3,3,3,3,0.02408134937286377,0.024399487301707268,0.02406732738018036,2,14
moving_direction_0110,moving_direction,0,0,0,0,0,0,0,0,0.02696346491575241,0.025939812883734703,0.025939812883734703,16,0
moving_direction_0114,moving_direction,0,0,0,0,2,2,0,0,0.025945980101823807,0.025015195831656456,0.025015195831656456,16,0
moving_direction_0118,moving_direction,0,0,0,0,2,2,2,2,0.025641126558184624,0.025851339101791382,0.02557186596095562,3,13
moving_direction_0119,moving_direction,0,0,0,0,3,3,3,3,0.02844807505607605,0.029815737158060074,0.02844807505607605,0,16
moving_direction_0122,moving_direction,0,0,0,0,3,3,3,3,0.02665708027780056,0.027456969022750854,0.026653770357370377,5,11
