method,action_relative_l2,p95_sample_relative_l2,velocity_relative_l2,acceleration_relative_l2,mean_endpoint_l2,executed_action_mae_raw_units
full_precision,0.0,0.0,0.0,0.0,0.0,0.0
w4_plain,0.026764281329817043,0.04888797383755443,0.08758249520599279,0.10697919696525524,0.01260561216622591,1.6803216934204102
w8_plain,0.0011370031133132346,0.002131017798092215,0.002721669287854362,0.0029464882390202738,0.0006135515868663788,0.07460406422615051
bucket_mean,0.0228330951729192,0.04307990856468674,0.0817736982448266,0.0992217967377759,0.01135739590972662,1.4245529174804688
channel_affine,0.022559204716499866,0.040745137818157647,0.0775642316811682,0.09033732372064548,0.01108858734369278,1.4046076536178589
circulant_r2,0.022166148312840164,0.039119204133749,0.07602787494531887,0.09041132381614819,0.010815095156431198,1.3380262851715088
toeplitz_r2,0.022190305323880725,0.039620465412735936,0.07585950180677795,0.08958998571426453,0.010751510970294476,1.3455557823181152
reduced_rank_r4,0.019005500022012217,0.03982211351394651,0.07672553502314537,0.09303574834190967,0.010200440883636475,1.2052721977233887
toeplitz_r2_rank4,0.018884076894705993,0.03958136755973099,0.07086359131520553,0.08519759817382899,0.009790021926164627,1.2173681259155273
dense_ridge_ceiling,0.019011358321511775,0.04003242179751396,0.07161705838451563,0.0864802685137669,0.009994440712034702,1.2196834087371826
