method,denoiser_output_relative_l2,defect_residual_relative_l2,captured_defect_energy,p95_call_relative_l2,parameter_count,macs_per_sample,mac_fraction_of_denoiser
w4_plain,0.02546741225356797,0.9999999999998886,1.2323475573339238e-14,0.05804253574460743,0,0,0.0
bucket_mean,0.023500366646621806,0.9227622505434098,0.14850982897188236,0.05290005113929507,200,0,0.0
channel_affine,0.021047373663740643,0.8264433564815591,0.31699137852735104,0.04818629268556827,40,20,2.542204664965898e-07
circulant_r2,0.018487323111932078,0.7259208073361193,0.4730389814763659,0.04620694331824779,420,400,5.084409329931796e-06
toeplitz_r2,0.018420011280602503,0.7232776968935984,0.47686937317618183,0.04595306254923336,420,400,5.084409329931796e-06
reduced_rank_r4,0.02169985458513766,0.8520635849877173,0.2739876471377263,0.05023720655590287,4200,400,5.084409329931796e-06
toeplitz_r2_rank4,0.018199504161817648,0.7146192938886393,0.48931926480199517,0.04398866631090637,4620,800,1.0168818659863592e-05
dense_ridge_ceiling,0.018425577225079873,0.723496195439118,0.47655325518501146,0.045093474723398655,16200,1600,2.0337637319727183e-05
