method,bucket,sample_count,denoiser_output_relative_l2,defect_residual_relative_l2
w4_plain,0,640,0.01194643260064266,0.9999999999992938
w4_plain,1,640,0.01283227603247771,0.9999999999993283
w4_plain,2,640,0.01312218556106815,0.9999999999993262
w4_plain,3,640,0.013481751693306756,0.999999999999343
w4_plain,4,640,0.015782022819244464,0.9999999999994376
w4_plain,5,640,0.017117312568129737,0.9999999999994751
w4_plain,6,640,0.019435420863553883,0.9999999999995389
w4_plain,7,640,0.025018692634753776,0.9999999999996373
w4_plain,8,640,0.03973004003506279,0.9999999999997652
w4_plain,9,640,0.058403159276509554,0.9999999999998302
bucket_mean,0,640,0.010956522852787996,0.9171377958764229
bucket_mean,1,640,0.012017658726714474,0.9365180166725667
bucket_mean,2,640,0.012410690255903046,0.9457792071402813
bucket_mean,3,640,0.012283785521535166,0.911141731194449
bucket_mean,4,640,0.013994171520840433,0.8867160274185459
bucket_mean,5,640,0.015131039016685267,0.8839611332943348
bucket_mean,6,640,0.017705024180566305,0.9109668529874413
bucket_mean,7,640,0.023085122653247202,0.9227150736394018
bucket_mean,8,640,0.036811535892222094,0.9265416259265361
bucket_mean,9,640,0.05421493091219087,0.9282876403226967
channel_affine,0,640,0.01051487023903055,0.8801682134344838
channel_affine,1,640,0.011191769057370918,0.8721577551042163
channel_affine,2,640,0.011694468033943143,0.8911981909958092
channel_affine,3,640,0.012362356310324181,0.9169695890819262
channel_affine,4,640,0.014110180111746322,0.8940666398310203
channel_affine,5,640,0.015053717610305427,0.8794439869215005
channel_affine,6,640,0.017509492884961744,0.9009062889802507
channel_affine,7,640,0.02154336540676379,0.8610907740570674
channel_affine,8,640,0.028876543844782273,0.7268188962128201
channel_affine,9,640,0.048362491729072976,0.8280800615612712
circulant_r2,0,640,0.006308838076955722,0.5280938490225136
circulant_r2,1,640,0.006666898791878726,0.5195413706277049
circulant_r2,2,640,0.0075487628104187205,0.5752671896981741
circulant_r2,3,640,0.008219404616145636,0.6096688527721393
circulant_r2,4,640,0.009738484273763132,0.6170618548265328
circulant_r2,5,640,0.011523397885551071,0.6732013474475034
circulant_r2,6,640,0.015295378045474439,0.7869846582097906
circulant_r2,7,640,0.019697687330161584,0.7873187242083378
circulant_r2,8,640,0.027043184234249534,0.6806734705119067
circulant_r2,9,640,0.045311650478754704,0.7758425360347903
toeplitz_r2,0,640,0.006313463743558526,0.5284810917708131
toeplitz_r2,1,640,0.00677413059214431,0.5278978238151086
toeplitz_r2,2,640,0.007652140533417896,0.5831452368076642
toeplitz_r2,3,640,0.008370421230399537,0.6208704100837739
toeplitz_r2,4,640,0.009812914681432479,0.6217780731845036
toeplitz_r2,5,640,0.011517785727069338,0.6728734829851706
toeplitz_r2,6,640,0.01525948621894005,0.7851379358369461
toeplitz_r2,7,640,0.019559528516692046,0.781796587145188
toeplitz_r2,8,640,0.026774367149538132,0.6739073790487695
toeplitz_r2,9,640,0.04514603814960809,0.7730067809492406
reduced_rank_r4,0,640,0.009287439550179829,0.777423676225625
reduced_rank_r4,1,640,0.010128031694582262,0.7892622999179589
reduced_rank_r4,2,640,0.010916207795641621,0.8318894550631307
reduced_rank_r4,3,640,0.010793290848000096,0.8005852762588435
reduced_rank_r4,4,640,0.011931027702310937,0.7559884964654615
reduced_rank_r4,5,640,0.0134249621166449,0.7842914629971429
reduced_rank_r4,6,640,0.0165875169171665,0.8534683675548523
reduced_rank_r4,7,640,0.022533988937463324,0.9006861096391946
reduced_rank_r4,8,640,0.034112805970701376,0.8586149967368728
reduced_rank_r4,9,640,0.05052079327383888,0.8650352806196628
toeplitz_r2_rank4,0,640,0.00612259164467204,0.5125037615278013
toeplitz_r2_rank4,1,640,0.006591099543904415,0.5136344490666025
toeplitz_r2_rank4,2,640,0.007647301899080122,0.5827765400425016
toeplitz_r2_rank4,3,640,0.008282529960013598,0.6143511724904531
toeplitz_r2_rank4,4,640,0.009737799698117926,0.6170184108567837
toeplitz_r2_rank4,5,640,0.011459657045878941,0.6694776455874251
toeplitz_r2_rank4,6,640,0.015016979767427496,0.772660330052761
toeplitz_r2_rank4,7,640,0.020014438305668042,0.7999793833295061
toeplitz_r2_rank4,8,640,0.02668834639422821,0.6717422476964229
toeplitz_r2_rank4,9,640,0.04409138393502981,0.754948610335818
dense_ridge_ceiling,0,640,0.00611119490718446,0.5115497748550804
dense_ridge_ceiling,1,640,0.006691485427772127,0.5214574503010705
dense_ridge_ceiling,2,640,0.007754989705966104,0.5909830850867513
dense_ridge_ceiling,3,640,0.008359078275565694,0.6200290930821851
dense_ridge_ceiling,4,640,0.00984020036418146,0.62350691523376
dense_ridge_ceiling,5,640,0.01157393515847457,0.6761536918473453
dense_ridge_ceiling,6,640,0.01506893307416739,0.7753335098813495
dense_ridge_ceiling,7,640,0.020112589999683413,0.8039025177413736
dense_ridge_ceiling,8,640,0.02725523767459928,0.6860108283439792
dense_ridge_ceiling,9,640,0.044644961236967914,0.7644271609621137
