protocol,target_role,sample_id,split,sampling_step,branch,layer,head,calibration_roles,selected_by_calibration,observed_dense_role_diagnostic_only,target_role_match_diagnostic_only
seed_holdout,transitional,s00_p00_seed20260740,calibration,9,cond,14,0,localized,False,localized,False
seed_holdout,transitional,s01_p01_seed20260740,validation,9,cond,14,0,localized,False,transitional,True
seed_holdout,transitional,s02_p00_seed20260741,test,9,cond,14,0,localized,False,transitional,True
seed_holdout,transitional,s03_p01_seed20260741,test,9,cond,14,0,localized,False,transitional,True
seed_holdout,transitional,s00_p00_seed20260740,calibration,9,cond,14,1,diffuse,False,diffuse,False
seed_holdout,transitional,s01_p01_seed20260740,validation,9,cond,14,1,diffuse,False,diffuse,False
seed_holdout,transitional,s02_p00_seed20260741,test,9,cond,14,1,diffuse,False,diffuse,False
seed_holdout,transitional,s03_p01_seed20260741,test,9,cond,14,1,diffuse,False,diffuse,False
seed_holdout,transitional,s00_p00_seed20260740,calibration,9,cond,14,10,transitional,True,transitional,True
seed_holdout,transitional,s01_p01_seed20260740,validation,9,cond,14,10,transitional,True,diffuse,False
seed_holdout,transitional,s02_p00_seed20260741,test,9,cond,14,10,transitional,True,transitional,True
seed_holdout,transitional,s03_p01_seed20260741,test,9,cond,14,10,transitional,True,diffuse,False
seed_holdout,transitional,s00_p00_seed20260740,calibration,9,cond,14,11,diffuse,False,diffuse,False
seed_holdout,transitional,s01_p01_seed20260740,validation,9,cond,14,11,diffuse,False,diffuse,False
seed_holdout,transitional,s02_p00_seed20260741,test,9,cond,14,11,diffuse,False,diffuse,False
seed_holdout,transitional,s03_p01_seed20260741,test,9,cond,14,11,diffuse,False,diffuse,False
seed_holdout,transitional,s00_p00_seed20260740,calibration,9,cond,14,2,diffuse,False,diffuse,False
seed_holdout,transitional,s01_p01_seed20260740,validation,9,cond,14,2,diffuse,False,diffuse,False
seed_holdout,transitional,s02_p00_seed20260741,test,9,cond,14,2,diffuse,False,diffuse,False
seed_holdout,transitional,s03_p01_seed20260741,test,9,cond,14,2,diffuse,False,diffuse,False
seed_holdout,transitional,s00_p00_seed20260740,calibration,9,cond,14,3,localized,False,localized,False
seed_holdout,transitional,s01_p01_seed20260740,validation,9,cond,14,3,localized,False,transitional,True
seed_holdout,transitional,s02_p00_seed20260741,test,9,cond,14,3,localized,False,transitional,True
seed_holdout,transitional,s03_p01_seed20260741,test,9,cond,14,3,localized,False,transitional,True
seed_holdout,transitional,s00_p00_seed20260740,calibration,9,cond,14,4,localized,False,localized,False
seed_holdout,transitional,s01_p01_seed20260740,validation,9,cond,14,4,localized,False,localized,False
seed_holdout,transitional,s02_p00_seed20260741,test,9,cond,14,4,localized,False,transitional,True
seed_holdout,transitional,s03_p01_seed20260741,test,9,cond,14,4,localized,False,transitional,True
seed_holdout,transitional,s00_p00_seed20260740,calibration,9,cond,14,5,diffuse,False,diffuse,False
seed_holdout,transitional,s01_p01_seed20260740,validation,9,cond,14,5,diffuse,False,diffuse,False
seed_holdout,transitional,s02_p00_seed20260741,test,9,cond,14,5,diffuse,False,diffuse,False
seed_holdout,transitional,s03_p01_seed20260741,test,9,cond,14,5,diffuse,False,diffuse,False
seed_holdout,transitional,s00_p00_seed20260740,calibration,9,cond,14,6,diffuse,False,diffuse,False
seed_holdout,transitional,s01_p01_seed20260740,validation,9,cond,14,6,diffuse,False,diffuse,False
seed_holdout,transitional,s02_p00_seed20260741,test,9,cond,14,6,diffuse,False,diffuse,False
seed_holdout,transitional,s03_p01_seed20260741,test,9,cond,14,6,diffuse,False,diffuse,False
seed_holdout,transitional,s00_p00_seed20260740,calibration,9,cond,14,7,diffuse,False,diffuse,False
seed_holdout,transitional,s01_p01_seed20260740,validation,9,cond,14,7,diffuse,False,diffuse,False
seed_holdout,transitional,s02_p00_seed20260741,test,9,cond,14,7,diffuse,False,diffuse,False
seed_holdout,transitional,s03_p01_seed20260741,test,9,cond,14,7,diffuse,False,diffuse,False
seed_holdout,transitional,s00_p00_seed20260740,calibration,9,cond,14,8,transitional,True,transitional,True
seed_holdout,transitional,s01_p01_seed20260740,validation,9,cond,14,8,transitional,True,transitional,True
seed_holdout,transitional,s02_p00_seed20260741,test,9,cond,14,8,transitional,True,transitional,True
seed_holdout,transitional,s03_p01_seed20260741,test,9,cond,14,8,transitional,True,transitional,True
seed_holdout,transitional,s00_p00_seed20260740,calibration,9,cond,14,9,diffuse,False,diffuse,False
seed_holdout,transitional,s01_p01_seed20260740,validation,9,cond,14,9,diffuse,False,diffuse,False
seed_holdout,transitional,s02_p00_seed20260741,test,9,cond,14,9,diffuse,False,diffuse,False
seed_holdout,transitional,s03_p01_seed20260741,test,9,cond,14,9,diffuse,False,diffuse,False
prompt_holdout,transitional,s00_p00_seed20260740,calibration,9,cond,14,0,localized,False,localized,False
prompt_holdout,transitional,s01_p01_seed20260740,test,9,cond,14,0,localized,False,transitional,True
prompt_holdout,transitional,s02_p00_seed20260741,validation,9,cond,14,0,localized,False,transitional,True
prompt_holdout,transitional,s03_p01_seed20260741,test,9,cond,14,0,localized,False,transitional,True
prompt_holdout,transitional,s00_p00_seed20260740,calibration,9,cond,14,1,diffuse,False,diffuse,False
prompt_holdout,transitional,s01_p01_seed20260740,test,9,cond,14,1,diffuse,False,diffuse,False
prompt_holdout,transitional,s02_p00_seed20260741,validation,9,cond,14,1,diffuse,False,diffuse,False
prompt_holdout,transitional,s03_p01_seed20260741,test,9,cond,14,1,diffuse,False,diffuse,False
prompt_holdout,transitional,s00_p00_seed20260740,calibration,9,cond,14,10,transitional,True,transitional,True
prompt_holdout,transitional,s01_p01_seed20260740,test,9,cond,14,10,transitional,True,diffuse,False
prompt_holdout,transitional,s02_p00_seed20260741,validation,9,cond,14,10,transitional,True,transitional,True
prompt_holdout,transitional,s03_p01_seed20260741,test,9,cond,14,10,transitional,True,diffuse,False
prompt_holdout,transitional,s00_p00_seed20260740,calibration,9,cond,14,11,diffuse,False,diffuse,False
prompt_holdout,transitional,s01_p01_seed20260740,test,9,cond,14,11,diffuse,False,diffuse,False
prompt_holdout,transitional,s02_p00_seed20260741,validation,9,cond,14,11,diffuse,False,diffuse,False
prompt_holdout,transitional,s03_p01_seed20260741,test,9,cond,14,11,diffuse,False,diffuse,False
prompt_holdout,transitional,s00_p00_seed20260740,calibration,9,cond,14,2,diffuse,False,diffuse,False
prompt_holdout,transitional,s01_p01_seed20260740,test,9,cond,14,2,diffuse,False,diffuse,False
prompt_holdout,transitional,s02_p00_seed20260741,validation,9,cond,14,2,diffuse,False,diffuse,False
prompt_holdout,transitional,s03_p01_seed20260741,test,9,cond,14,2,diffuse,False,diffuse,False
prompt_holdout,transitional,s00_p00_seed20260740,calibration,9,cond,14,3,localized,False,localized,False
prompt_holdout,transitional,s01_p01_seed20260740,test,9,cond,14,3,localized,False,transitional,True
prompt_holdout,transitional,s02_p00_seed20260741,validation,9,cond,14,3,localized,False,transitional,True
prompt_holdout,transitional,s03_p01_seed20260741,test,9,cond,14,3,localized,False,transitional,True
prompt_holdout,transitional,s00_p00_seed20260740,calibration,9,cond,14,4,localized,False,localized,False
prompt_holdout,transitional,s01_p01_seed20260740,test,9,cond,14,4,localized,False,localized,False
prompt_holdout,transitional,s02_p00_seed20260741,validation,9,cond,14,4,localized,False,transitional,True
prompt_holdout,transitional,s03_p01_seed20260741,test,9,cond,14,4,localized,False,transitional,True
prompt_holdout,transitional,s00_p00_seed20260740,calibration,9,cond,14,5,diffuse,False,diffuse,False
prompt_holdout,transitional,s01_p01_seed20260740,test,9,cond,14,5,diffuse,False,diffuse,False
prompt_holdout,transitional,s02_p00_seed20260741,validation,9,cond,14,5,diffuse,False,diffuse,False
prompt_holdout,transitional,s03_p01_seed20260741,test,9,cond,14,5,diffuse,False,diffuse,False
prompt_holdout,transitional,s00_p00_seed20260740,calibration,9,cond,14,6,diffuse,False,diffuse,False
prompt_holdout,transitional,s01_p01_seed20260740,test,9,cond,14,6,diffuse,False,diffuse,False
