sample_id,sample_position,selected_group_count,reader_token_count,full_vocab_equal_mass_error,full_vocab_repeatability_error,full_vocab_dense_equivalence_error,weighted_candidate_kl,weighted_prediction_match
vsi_question_3132,73,0,392,0.0,0.0,0.0,0.06192032992839813,0
vsi_question_3132,73,196,980,0.0,0.0,0.0,0.13777540624141693,0
vsi_question_3132,73,392,1568,0.0,0.0,0.0,0.0,1
vsi_question_5084,74,0,392,0.0,0.0,0.0,0.001608002930879593,1
vsi_question_5084,74,196,980,0.0,0.0,0.0,0.0034911371767520905,1
vsi_question_5084,74,392,1568,0.0,0.0,0.0,0.0,1
vsi_question_1569,75,0,392,0.0,0.0,0.0,0.01977546513080597,1
vsi_question_1569,75,196,980,0.0,0.0,0.0,0.0,1
vsi_question_1569,75,392,1568,0.0,0.0,0.0,0.0,1
vsi_question_3722,76,0,392,0.0,0.0,0.0,0.0019117817282676697,1
vsi_question_3722,76,196,980,0.0,0.0,0.0,0.0019117817282676697,1
vsi_question_3722,76,392,1568,0.0,0.0,0.0,0.0,1
vsi_question_5105,77,0,392,0.0,0.0,0.0,0.0022529475390911102,1
vsi_question_5105,77,196,980,0.0,0.0,0.0,0.0008378922939300537,1
vsi_question_5105,77,392,1568,0.0,0.0,0.0,0.0,1
vsi_question_2957,78,0,392,0.0,0.0,0.0,0.1598443239927292,0
vsi_question_2957,78,196,980,0.0,0.0,0.0,0.16058418154716492,0
vsi_question_2957,78,392,1568,0.0,0.0,0.0,0.0,1
vsi_question_1880,79,0,392,0.0,0.0,0.0,0.00512189045548439,1
vsi_question_1880,79,196,980,0.0,0.0,0.0,0.009560411795973778,1
vsi_question_1880,79,392,1568,0.0,0.0,0.0,0.0,1
vsi_question_1053,80,0,392,0.0,0.0,0.0,0.056364670395851135,1
vsi_question_1053,80,196,980,0.0,0.0,0.0,0.019519399851560593,1
vsi_question_1053,80,392,1568,0.0,0.0,0.0,0.0,1
vsi_question_1039,81,0,392,0.0,0.0,0.0,0.24480962753295898,0
vsi_question_1039,81,196,980,0.0,0.0,0.0,0.0013981321826577187,1
vsi_question_1039,81,392,1568,0.0,0.0,0.0,0.0,1
vsi_question_5150,82,0,392,0.0,0.0,0.0,0.014767225831747055,1
vsi_question_5150,82,196,980,0.0,0.0,0.0,0.007233316078782082,1
vsi_question_5150,82,392,1568,0.0,0.0,0.0,0.0,1
vsi_question_5067,83,0,392,0.0,0.0,0.0,0.006486523896455765,1
vsi_question_5067,83,196,980,0.0,0.0,0.0,0.0019281599670648575,1
vsi_question_5067,83,392,1568,0.0,0.0,0.0,0.0,1
vsi_question_1976,84,0,392,0.0,0.0,0.0,0.16328711807727814,0
vsi_question_1976,84,196,980,0.0,0.0,0.0,0.0813995748758316,1
vsi_question_1976,84,392,1568,0.0,0.0,0.0,0.0,1
vsi_question_1077,85,0,392,0.0,0.0,0.0,0.05211055278778076,0
vsi_question_1077,85,196,980,0.0,0.0,0.0,0.020446687936782837,0
vsi_question_1077,85,392,1568,0.0,0.0,0.0,0.0,1
vsi_question_3092,86,0,392,0.0,0.0,0.0,0.04498966038227081,0
vsi_question_3092,86,196,980,0.0,0.0,0.0,0.0027154097333550453,1
vsi_question_3092,86,392,1568,0.0,0.0,0.0,0.0,1
vsi_question_5025,87,0,392,0.0,0.0,0.0,0.0018908586353063583,1
vsi_question_5025,87,196,980,0.0,0.0,0.0,0.0014476720243692398,1
vsi_question_5025,87,392,1568,0.0,0.0,0.0,0.0,1
vsi_question_5074,88,0,392,0.0,0.0,0.0,0.005981585010886192,1
vsi_question_5074,88,196,980,0.0,0.0,0.0,0.0018187835812568665,0
vsi_question_5074,88,392,1568,0.0,0.0,0.0,0.0,1
vsi_question_5086,89,0,392,0.0,0.0,0.0,0.024134203791618347,1
vsi_question_5086,89,196,980,0.0,0.0,0.0,0.0,1
vsi_question_5086,89,392,1568,0.0,0.0,0.0,0.0,1
vsi_question_1058,90,0,392,0.0,0.0,0.0,0.04678119719028473,1
vsi_question_1058,90,196,980,0.0,0.0,0.0,0.0019522421061992645,1
vsi_question_1058,90,392,1568,0.0,0.0,0.0,0.0,1
vsi_question_994,91,0,392,0.0,0.0,0.0,0.031790174543857574,1
vsi_question_994,91,196,980,0.0,0.0,0.0,0.0029303058981895447,1
vsi_question_994,91,392,1568,0.0,0.0,0.0,0.0,1
vsi_question_1950,92,0,392,0.0,0.0,0.0,0.06003649905323982,1
vsi_question_1950,92,196,980,0.0,0.0,0.0,0.022348515689373016,1
vsi_question_1950,92,392,1568,0.0,0.0,0.0,0.0,1
vsi_question_2991,93,0,392,0.0,0.0,0.0,0.25502467155456543,0
vsi_question_2991,93,196,980,0.0,0.0,0.0,0.11472559720277786,0
vsi_question_2991,93,392,1568,0.0,0.0,0.0,0.0,1
vsi_question_1071,94,0,392,0.0,0.0,0.0,0.012966632843017578,1
vsi_question_1071,94,196,980,0.0,0.0,0.0,0.02926255390048027,1
vsi_question_1071,94,392,1568,0.0,0.0,0.0,0.0,1
vsi_question_1224,95,0,392,0.0,0.0,0.0,0.006341477856040001,1
vsi_question_1224,95,196,980,0.0,0.0,0.0,0.005373183637857437,1
vsi_question_1224,95,392,1568,0.0,0.0,0.0,0.0,1
vsi_question_5089,96,0,392,0.0,0.0,0.0,0.031206762418150902,1
vsi_question_5089,96,196,980,0.0,0.0,0.0,0.00766851007938385,0
vsi_question_5089,96,392,1568,0.0,0.0,0.0,0.0,1
