comparison_type,pairs,go_fraction,entropy_correlation_min,entropy_correlation_p05,entropy_correlation_median,geometry_correlation_min,geometry_correlation_p05,geometry_correlation_median,class_agreement_min,class_agreement_p05,class_agreement_median,localized_jaccard_min,localized_jaccard_p05,localized_jaccard_median
seed,36,0.8055555555555556,0.9768278278743187,0.9816745967840715,0.9976739019091392,0.8994738494410608,0.956935787309122,0.9991108175970657,0.75,0.75,1.0,0.0,0.0,1.0
prompt,36,0.9444444444444444,0.9678508694898251,0.9710468972432842,0.9987251330306759,0.9563267543910182,0.9772699565295544,0.9993641596134527,0.75,0.875,1.0,0.3333333333333333,0.4583333333333333,1.0
mixed_sample,36,0.8055555555555556,0.9359217412346216,0.9510936471057192,0.9975928830390595,0.8982712791799786,0.9438707019819357,0.9982049359596968,0.6666666666666666,0.7291666666666666,1.0,0.0,0.0,1.0
step,72,0.5277777777777778,0.8361649841366938,0.8547354797320912,0.9755523816481522,0.785097364607997,0.8088126165269391,0.9532902721482679,0.4166666666666667,0.5,0.75,0.0,0.0,0.6
branch,36,1.0,0.9925559534077848,0.9943876317126772,0.9999809710629926,0.9853799608375932,0.9891249495490156,0.9999489325013299,1.0,1.0,1.0,1.0,1.0,1.0
