comparison_type,layer,pairs,go_fraction,entropy_correlation_min,entropy_correlation_p05,entropy_correlation_median,geometry_correlation_min,geometry_correlation_p05,geometry_correlation_median,class_agreement_min,class_agreement_p05,class_agreement_median,localized_jaccard_min,localized_jaccard_p05,localized_jaccard_median
seed,0,12,1.0,0.9994556521105432,0.9994556521105433,0.9999932998001368,0.9998844885646903,0.9998844885646903,0.9999647739333952,1.0,1.0,1.0,1.0,1.0,1.0
seed,14,12,0.5,0.9829387676698346,0.9830479548381451,0.9947195302730394,0.9753717122798359,0.9761393204315667,0.9859932597757799,0.75,0.75,0.875,0.0,0.0,0.5
seed,29,12,0.9166666666666666,0.9768278278743187,0.9774076688131739,0.9952319546811974,0.8994738494410608,0.9026238263526967,0.9893595909676933,0.75,0.75,0.9583333333333333,0.6666666666666666,0.6666666666666666,0.9166666666666667
prompt,0,12,1.0,0.9987251330306759,0.9987251330306759,0.9999973257756758,0.9993877963344453,0.9993877963344453,0.9999846194108943,1.0,1.0,1.0,1.0,1.0,1.0
prompt,14,12,0.8333333333333334,0.9678508694898251,0.9683073289673931,0.9749418398095828,0.9841847372915863,0.9842491876231203,0.990497635176405,0.75,0.75,0.9166666666666666,0.3333333333333333,0.3333333333333333,1.0
prompt,29,12,1.0,0.9897262833909733,0.9897389592570711,0.9976124595887891,0.9563267543910182,0.9569672822009121,0.9964902392602619,0.9166666666666666,0.9166666666666665,1.0,0.8,0.8,1.0
mixed_sample,0,12,1.0,0.9982905519031013,0.9982905519031013,0.9999914370632259,0.9992116919759151,0.9992116919759151,0.9999544771532565,1.0,1.0,1.0,1.0,1.0,1.0
mixed_sample,14,12,0.5,0.9359217412346216,0.9364926474279749,0.983528677548329,0.9579391879225762,0.9580478892634122,0.9817399199497565,0.6666666666666666,0.6666666666666666,0.875,0.0,0.0,0.5
mixed_sample,29,12,0.9166666666666666,0.9752585778102253,0.9756109008826368,0.9924733022419034,0.8982712791799786,0.9001379599189985,0.9858101684493141,0.75,0.75,0.9583333333333333,0.6666666666666666,0.6666666666666666,0.9166666666666667
step,0,24,1.0,0.9741790901001613,0.9743763870988323,0.9904674081642109,0.9767325308975819,0.9767492266072564,0.9918528650540379,0.8333333333333334,0.8333333333333334,0.9166666666666666,0.6,0.6,0.75
step,14,24,0.16666666666666666,0.8743526721981894,0.8829346837103665,0.9360505809623565,0.785097364607997,0.8070798695001528,0.9322620405915878,0.4166666666666667,0.4291666666666667,0.6666666666666666,0.0,0.0,0.0
step,29,24,0.4166666666666667,0.8361649841366938,0.8435041952758939,0.9022737800980553,0.7947036108580953,0.8101302039917861,0.9163941024219413,0.6666666666666666,0.6666666666666666,0.75,0.5,0.515,0.6
branch,0,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
branch,14,12,1.0,0.9925559534077848,0.9926147408477166,0.9998318122054777,0.9853799608375932,0.9864436489376578,0.9997846718924894,1.0,1.0,1.0,1.0,1.0,1.0
branch,29,12,1.0,0.9982141330138723,0.998558027602838,0.9999809710629926,0.9987752078242426,0.9990412248574818,0.9999489325013299,1.0,1.0,1.0,1.0,1.0,1.0
