layer,left_step,right_step,pairs,go_fraction,entropy_correlation_min,entropy_correlation_median,geometry_correlation_min,geometry_correlation_median,class_agreement_min,class_agreement_median,localized_jaccard_min,localized_jaccard_median
0,0,9,8,1.0,0.995326431975903,0.9953779090400099,0.9923624290236082,0.9930470814983989,0.9166666666666666,0.9166666666666666,0.75,0.75
0,0,19,8,1.0,0.9741790901001613,0.9755567242499203,0.9767325308975819,0.9780413147067312,0.8333333333333334,0.8333333333333334,0.6,0.6
0,9,19,8,1.0,0.9890717359364687,0.9904674081642109,0.9908168845315645,0.9927519123740016,0.9166666666666666,0.9166666666666666,0.8,0.8
14,0,9,8,0.25,0.9261831457503308,0.9360505809623565,0.8885057612443529,0.9330105749160117,0.5833333333333334,0.6666666666666666,0.0,0.5
14,0,19,8,0.0,0.8743526721981894,0.9013058762077799,0.785097364607997,0.839026072886309,0.4166666666666667,0.5,0.0,0.0
14,9,19,8,0.25,0.9796014277297985,0.9821357208290158,0.9439506470366423,0.9627344979948966,0.6666666666666666,0.75,0.0,0.16666666666666666
29,0,9,8,0.5,0.8868817999640828,0.9022737800980553,0.9000204110176009,0.9265197302780113,0.75,0.75,0.6,0.6
29,0,19,8,0.0,0.8361649841366938,0.8546854488787253,0.7947036108580953,0.8829877848871182,0.6666666666666666,0.6666666666666666,0.5,0.6
29,9,19,8,0.75,0.9756103598716694,0.9771998314261098,0.908103368222406,0.9522067329084407,0.6666666666666666,0.7916666666666667,0.6666666666666666,0.8166666666666667
