comparison_type,left,right,layer,left_step,right_step,left_branch,right_branch,left_prompt_index,right_prompt_index,left_seed,right_seed,entropy_correlation,geometry_correlation,top64_mass_correlation,participation_correlation,class_agreement,localized_jaccard,router_class_pilot_go
seed,s00_p00_seed20260740_step00_cond_l00,s02_p00_seed20260741_step00_cond_l00,0,0,0,cond,cond,0,0,20260740,20260741,0.9999954598665478,0.9999877765728022,0.9999958049447928,0.9999957713262809,1.0,1.0,True
prompt,s00_p00_seed20260740_step00_cond_l00,s01_p01_seed20260740_step00_cond_l00,0,0,0,cond,cond,0,1,20260740,20260740,1.0,1.0,1.0,1.0,1.0,1.0,True
mixed_sample,s00_p00_seed20260740_step00_cond_l00,s03_p01_seed20260741_step00_cond_l00,0,0,0,cond,cond,0,1,20260740,20260741,0.9999954598665478,0.9999877765728022,0.9999958049447928,0.9999957713262809,1.0,1.0,True
mixed_sample,s02_p00_seed20260741_step00_cond_l00,s01_p01_seed20260740_step00_cond_l00,0,0,0,cond,cond,0,1,20260741,20260740,0.9999954598665478,0.9999877765728022,0.9999958049447928,0.9999957713262809,1.0,1.0,True
prompt,s02_p00_seed20260741_step00_cond_l00,s03_p01_seed20260741_step00_cond_l00,0,0,0,cond,cond,0,1,20260741,20260741,1.0,1.0,1.0,1.0,1.0,1.0,True
seed,s01_p01_seed20260740_step00_cond_l00,s03_p01_seed20260741_step00_cond_l00,0,0,0,cond,cond,1,1,20260740,20260741,0.9999954598665478,0.9999877765728022,0.9999958049447928,0.9999957713262809,1.0,1.0,True
seed,s00_p00_seed20260740_step00_cond_l14,s02_p00_seed20260741_step00_cond_l14,14,0,0,cond,cond,0,0,20260740,20260741,0.9971646126904954,0.9972834716120974,0.997268731301705,0.9942938764481157,1.0,1.0,True
prompt,s00_p00_seed20260740_step00_cond_l14,s01_p01_seed20260740_step00_cond_l14,14,0,0,cond,cond,0,1,20260740,20260740,0.9952343100360959,0.9932618235002966,0.9946043772876422,0.9913153417443711,1.0,1.0,True
mixed_sample,s00_p00_seed20260740_step00_cond_l14,s03_p01_seed20260741_step00_cond_l14,14,0,0,cond,cond,0,1,20260740,20260741,0.9916459529189885,0.9897524193645597,0.98957344483496,0.9808487605440184,1.0,1.0,True
mixed_sample,s02_p00_seed20260741_step00_cond_l14,s01_p01_seed20260740_step00_cond_l14,14,0,0,cond,cond,0,1,20260741,20260740,0.9934624086673227,0.9920121793166174,0.9947111802446765,0.9857173456170628,1.0,1.0,True
prompt,s02_p00_seed20260741_step00_cond_l14,s03_p01_seed20260741_step00_cond_l14,14,0,0,cond,cond,0,1,20260741,20260741,0.9942890458172324,0.9906761001586952,0.9938853656443805,0.9853102799127177,1.0,1.0,True
seed,s01_p01_seed20260740_step00_cond_l14,s03_p01_seed20260741_step00_cond_l14,14,0,0,cond,cond,1,1,20260740,20260741,0.9965038512582487,0.9991294235627497,0.9958611860354598,0.9926785251020792,1.0,1.0,True
seed,s00_p00_seed20260740_step00_cond_l29,s02_p00_seed20260741_step00_cond_l29,29,0,0,cond,cond,0,0,20260740,20260741,0.9946777778565551,0.9990922116313816,0.9857929645561831,0.968741859300393,1.0,1.0,True
prompt,s00_p00_seed20260740_step00_cond_l29,s01_p01_seed20260740_step00_cond_l29,29,0,0,cond,cond,0,1,20260740,20260740,0.9986235440659419,0.9997044299042929,0.9966842437293058,0.9701231492047271,1.0,1.0,True
mixed_sample,s00_p00_seed20260740_step00_cond_l29,s03_p01_seed20260741_step00_cond_l29,29,0,0,cond,cond,0,1,20260740,20260741,0.9920985067126274,0.9984915355827417,0.9812341916676783,0.9301277642453886,1.0,1.0,True
