shape_family,canonical_method,weight_key,shape,activation_source,rows,method,measurement_scope,latency_ms_median,latency_ms_min,latency_ms_max,output_relative_l2,output_cosine,main_weight_bits,high_precision_params,metadata_bits,speedup_vs_bf16,status
Q projection,BF16,blocks.0.self_attn.q.weight,1536x1536,real:q:repeated,7800,bf16_dense,measured,0.05620480179786682,0.05619840025901794,0.05632640123367309,0.0,1.0,16,0,0,1.0,ok
Q projection,FP8 dyn,blocks.0.self_attn.q.weight,1536x1536,real:q:repeated,7800,fp8_dynamic_main,measured,0.25710239410400393,0.256987190246582,0.2573080062866211,0.038936350494623184,0.9992417693138123,8,0,0,0.21860862865061717,ok
Q projection,FP8 static LB,blocks.0.self_attn.q.weight,1536x1536,real:q:repeated,7800,fp8_static_input_main,lower_bound,0.03745599985122681,0.037408798933029175,0.03767200112342835,0.038936350494623184,0.9992417693138123,8,0,0,1.5005553721996272,ok
Q projection,FP8 dyn + LR,blocks.0.self_attn.q.weight,1536x1536,real:q:repeated,7800,fp8_dynamic_svd_r16,measured,0.31410400867462157,0.31376559734344484,0.3146399974822998,0.03819693252444267,0.9992703199386597,8,49152,0,0.1789369133970176,ok
Q projection,FP8 static + LR,blocks.0.self_attn.q.weight,1536x1536,real:q:repeated,7800,fp8_static_input_svd_r16,lower_bound,0.1256432056427002,0.12436079978942871,0.1262488007545471,0.03819693252444267,0.9992703199386597,8,49152,0,0.4473365790880892,ok
Q projection,FP8 dyn + BCM/LR,blocks.0.self_attn.q.weight,1536x1536,real:q:repeated,7800,fp8_dynamic_bcm_b128_svd_r10,measured,0.6829391956329346,0.681934404373169,0.8406279563903809,0.03831276297569275,0.9992659091949463,8,49152,0,0.0822983980964474,ok
Q projection,FP8 static + BCM/LR,blocks.0.self_attn.q.weight,1536x1536,real:q:repeated,7800,fp8_static_input_bcm_b128_svd_r10,lower_bound,0.46187601089477537,0.46146478652954104,0.46283760070800783,0.03831276297569275,0.9992659091949463,8,49152,0,0.1216880731453953,ok
Q projection,FP8 dyn + LR/sparse,blocks.0.self_attn.q.weight,1536x1536,real:q:repeated,7800,fp8_dynamic_svd_r8_rowsparse_b16,measured,0.376258397102356,0.37545840740203856,0.3765360116958618,0.038277268409729004,0.9992672204971313,8,49152,7,0.14937819921285922,ok
Q projection,FP8 static + LR/sparse,blocks.0.self_attn.q.weight,1536x1536,real:q:repeated,7800,fp8_static_input_svd_r8_rowsparse_b16,lower_bound,0.17776960134506226,0.17727279663085938,0.17896319627761842,0.038277268409729004,0.9992672204971313,8,49152,7,0.3161665513822562,ok
FFN up,BF16,blocks.0.ffn.0.weight,8960x1536,real:q,7800,bf16_dense,measured,0.30579519271850586,0.30530719757080077,0.306276798248291,0.0,1.0,16,0,0,1.0,ok
FFN up,FP8 dyn,blocks.0.ffn.0.weight,8960x1536,real:q,7800,fp8_dynamic_main,measured,0.4370880126953125,0.4324656009674072,0.43995361328125,0.0388747900724411,0.999244213104248,8,0,0,0.699619261651248,ok
FFN up,FP8 static LB,blocks.0.ffn.0.weight,8960x1536,real:q,7800,fp8_static_input_main,lower_bound,0.1926159977912903,0.19240000247955322,0.1926800012588501,0.0388747900724411,0.999244213104248,8,0,0,1.5875897964085581,ok
FFN up,FP8 dyn + LR,blocks.0.ffn.0.weight,8960x1536,real:q,7800,fp8_dynamic_svd_r16,measured,0.5832943916320801,0.5814223766326905,0.5871232032775879,0.03868457302451134,0.9992516040802002,8,167936,0,0.5242553281935031,ok
FFN up,FP8 static + LR,blocks.0.ffn.0.weight,8960x1536,real:q,7800,fp8_static_input_svd_r16,lower_bound,0.36136159896850584,0.3611504077911377,0.3665791988372803,0.03868457302451134,0.9992516040802002,8,167936,0,0.8462304616522277,ok
FFN up,FP8 dyn + BCM/LR,blocks.0.ffn.0.weight,8960x1536,real:q,7800,fp8_dynamic_bcm_b128_svd_r5,measured,1.7861295700073243,1.7847055435180663,1.7956031799316405,0.03878286853432655,0.9992477893829346,8,160000,0,0.1712054925092875,ok
FFN up,FP8 static + BCM/LR,blocks.0.ffn.0.weight,8960x1536,real:q,7800,fp8_static_input_bcm_b128_svd_r5,lower_bound,1.5730352401733398,1.5686367988586425,1.5748512268066406,0.03878286853432655,0.9992477893829346,8,160000,0,0.19439818314865528,ok
FFN up,FP8 dyn + LR/sparse,blocks.0.ffn.0.weight,8960x1536,real:q,7800,fp8_dynamic_svd_r8_rowsparse_b16,measured,0.764406394958496,0.7638351917266846,1.754038429260254,0.038694676011800766,0.9992512464523315,8,157696,30,0.40004269291220307,ok
FFN up,FP8 static + LR/sparse,blocks.0.ffn.0.weight,8960x1536,real:q,7800,fp8_static_input_svd_r8_rowsparse_b16,lower_bound,0.5419519901275635,0.5416512012481689,0.5425871849060059,0.038694676011800766,0.9992512464523315,8,157696,30,0.5642477531017618,ok
FFN down,BF16,blocks.0.ffn.2.weight,1536x8960,synthetic:gaussian,7800,bf16_dense,measured,0.29268798828125,0.2924015998840332,0.29540960788726806,0.0,0.9999999403953552,16,0,0,1.0,ok
FFN down,FP8 dyn,blocks.0.ffn.2.weight,1536x8960,synthetic:gaussian,7800,fp8_dynamic_main,measured,1.2963983535766601,1.2812335968017579,1.3793392181396484,0.037570931017398834,0.9992939829826355,8,0,0,0.22577010181611776,ok
FFN down,FP8 static LB,blocks.0.ffn.2.weight,1536x8960,synthetic:gaussian,7800,fp8_static_input_main,lower_bound,0.1734336018562317,0.1732159972190857,0.17469439506530762,0.037570931017398834,0.9992939829826355,8,0,0,1.6876083132026203,ok
FFN down,FP8 dyn + LR,blocks.0.ffn.2.weight,1536x8960,synthetic:gaussian,7800,fp8_dynamic_svd_r16,measured,1.3673952102661133,1.3656656265258789,1.3681360244750977,0.03722624108195305,0.999306857585907,8,167936,0,0.21404783787730908,ok
FFN down,FP8 static + LR,blocks.0.ffn.2.weight,1536x8960,synthetic:gaussian,7800,fp8_static_input_svd_r16,lower_bound,0.2503056049346924,0.24966559410095215,0.26165759563446045,0.03722624108195305,0.999306857585907,8,167936,0,1.1693225501586975,ok
FFN down,FP8 dyn + BCM/LR,blocks.0.ffn.2.weight,1536x8960,synthetic:gaussian,7800,fp8_dynamic_bcm_b128_svd_r5,measured,3.082415962219238,3.080447959899902,3.1304367065429686,0.03741554915904999,0.9992997646331787,8,160000,0,0.09495408532420273,ok
FFN down,FP8 static + BCM/LR,blocks.0.ffn.2.weight,1536x8960,synthetic:gaussian,7800,fp8_static_input_bcm_b128_svd_r5,lower_bound,1.96203670501709,1.9612239837646483,1.9642143249511719,0.03741554915904999,0.9992997646331787,8,160000,0,0.14917559265472588,ok
FFN down,FP8 dyn + LR/sparse,blocks.0.ffn.2.weight,1536x8960,synthetic:gaussian,7800,fp8_dynamic_svd_r8_rowsparse_b16,measured,1.3965760231018067,1.3962191581726073,1.9019184112548828,0.037391286343336105,0.9993006587028503,8,83968,0,0.209575406880599,ok
FFN down,FP8 static + LR/sparse,blocks.0.ffn.2.weight,1536x8960,synthetic:gaussian,7800,fp8_static_input_svd_r8_rowsparse_b16,lower_bound,0.28514559268951417,0.28485760688781736,0.2854144096374512,0.037391286343336105,0.9993006587028503,8,83968,0,1.026451033384719,ok
