protocol_id,source_protocol_id,capture_path,prompt_id,split,seed,layer,current_start_frame,denoising_call_index,head_index,method,key_domain,shift_scope,window_schedule,detail_fraction,correction,rank,relative_av_l2,numerator_sq,denominator_sq,dense_reference_parity,cache_compression_ratio,dense_cache_bytes,compressed_cache_bytes,exact_bytes,coarse_bytes,detail_bytes,metadata_bytes,candidate_detail_blocks,retained_detail_blocks,retained_detail_tokens,shift_payload,oracle_access
ar-video-windowed-lifting-memory-screen-v2,ar-video-residual-memory-longlive-v1,captures/20260805_calibration_remaining_v1/calib_fluid_s1__l14__f015__c01.pt,calib_fluid_s1,calibration,1,14,15,1,0,canonical_identity_d0p19,canonical_pre_rope,identity,global,0.19,none,0,0.13210661709308624,578.27587890625,33134.921875,0.0011600491125136614,1.5028880917844127,115015680,76529770,57507840,9584640,9437184,106,125,24,1536,"[{""frames"":[3,4,5,6,7,8],""shifts"":[[0,0]]},{""frames"":[3,4,5,6],""shifts"":[[0,0]]},{""frames"":[3,4],""shifts"":[[0,0]]},{""frames"":[5,6],""shifts"":[[0,0]]},{""frames"":[7,8],""shifts"":[[0,0]]}]",none_runtime_KV_only
ar-video-windowed-lifting-memory-screen-v2,ar-video-residual-memory-longlive-v1,captures/20260805_calibration_remaining_v1/calib_fluid_s1__l14__f015__c01.pt,calib_fluid_s1,calibration,1,14,15,1,1,canonical_identity_d0p19,canonical_pre_rope,identity,global,0.19,none,0,0.11813949793577194,759.59716796875,54424.33203125,0.0009859257843345404,1.5028880917844127,115015680,76529770,57507840,9584640,9437184,106,125,24,1536,"[{""frames"":[3,4,5,6,7,8],""shifts"":[[0,0]]},{""frames"":[3,4,5,6],""shifts"":[[0,0]]},{""frames"":[3,4],""shifts"":[[0,0]]},{""frames"":[5,6],""shifts"":[[0,0]]},{""frames"":[7,8],""shifts"":[[0,0]]}]",none_runtime_KV_only
ar-video-windowed-lifting-memory-screen-v2,ar-video-residual-memory-longlive-v1,captures/20260805_calibration_remaining_v1/calib_fluid_s1__l14__f015__c01.pt,calib_fluid_s1,calibration,1,14,15,1,2,canonical_identity_d0p19,canonical_pre_rope,identity,global,0.19,none,0,0.14170503616333008,386.469482421875,19246.18359375,0.0009567022789269686,1.5028880917844127,115015680,76529770,57507840,9584640,9437184,106,125,24,1536,"[{""frames"":[3,4,5,6,7,8],""shifts"":[[0,0]]},{""frames"":[3,4,5,6],""shifts"":[[0,0]]},{""frames"":[3,4],""shifts"":[[0,0]]},{""frames"":[5,6],""shifts"":[[0,0]]},{""frames"":[7,8],""shifts"":[[0,0]]}]",none_runtime_KV_only
ar-video-windowed-lifting-memory-screen-v2,ar-video-residual-memory-longlive-v1,captures/20260805_calibration_remaining_v1/calib_fluid_s1__l14__f015__c01.pt,calib_fluid_s1,calibration,1,14,15,1,3,canonical_identity_d0p19,canonical_pre_rope,identity,global,0.19,none,0,0.12352033704519272,489.88226318359375,32108.115234375,0.000990264699794352,1.5028880917844127,115015680,76529770,57507840,9584640,9437184,106,125,24,1536,"[{""frames"":[3,4,5,6,7,8],""shifts"":[[0,0]]},{""frames"":[3,4,5,6],""shifts"":[[0,0]]},{""frames"":[3,4],""shifts"":[[0,0]]},{""frames"":[5,6],""shifts"":[[0,0]]},{""frames"":[7,8],""shifts"":[[0,0]]}]",none_runtime_KV_only
ar-video-windowed-lifting-memory-screen-v2,ar-video-residual-memory-longlive-v1,captures/20260805_calibration_remaining_v1/calib_fluid_s1__l14__f015__c01.pt,calib_fluid_s1,calibration,1,14,15,1,4,canonical_identity_d0p19,canonical_pre_rope,identity,global,0.19,none,0,0.11792099475860596,388.23773193359375,27920.00390625,0.0012280609225854278,1.5028880917844127,115015680,76529770,57507840,9584640,9437184,106,125,24,1536,"[{""frames"":[3,4,5,6,7,8],""shifts"":[[0,0]]},{""frames"":[3,4,5,6],""shifts"":[[0,0]]},{""frames"":[3,4],""shifts"":[[0,0]]},{""frames"":[5,6],""shifts"":[[0,0]]},{""frames"":[7,8],""shifts"":[[0,0]]}]",none_runtime_KV_only
ar-video-windowed-lifting-memory-screen-v2,ar-video-residual-memory-longlive-v1,captures/20260805_calibration_remaining_v1/calib_fluid_s1__l14__f015__c01.pt,calib_fluid_s1,calibration,1,14,15,1,5,canonical_identity_d0p19,canonical_pre_rope,identity,global,0.19,none,0,0.1184571385383606,372.96905517578125,26579.71484375,0.0008054310455918312,1.5028880917844127,115015680,76529770,57507840,9584640,9437184,106,125,24,1536,"[{""frames"":[3,4,5,6,7,8],""shifts"":[[0,0]]},{""frames"":[3,4,5,6],""shifts"":[[0,0]]},{""frames"":[3,4],""shifts"":[[0,0]]},{""frames"":[5,6],""shifts"":[[0,0]]},{""frames"":[7,8],""shifts"":[[0,0]]}]",none_runtime_KV_only
ar-video-windowed-lifting-memory-screen-v2,ar-video-residual-memory-longlive-v1,captures/20260805_calibration_remaining_v1/calib_fluid_s1__l14__f015__c01.pt,calib_fluid_s1,calibration,1,14,15,1,6,canonical_identity_d0p19,canonical_pre_rope,identity,global,0.19,none,0,0.12190939486026764,158.81800842285156,10686.2509765625,0.0006582947680726647,1.5028880917844127,115015680,76529770,57507840,9584640,9437184,106,125,24,1536,"[{""frames"":[3,4,5,6,7,8],""shifts"":[[0,0]]},{""frames"":[3,4,5,6],""shifts"":[[0,0]]},{""frames"":[3,4],""shifts"":[[0,0]]},{""frames"":[5,6],""shifts"":[[0,0]]},{""frames"":[7,8],""shifts"":[[0,0]]}]",none_runtime_KV_only
ar-video-windowed-lifting-memory-screen-v2,ar-video-residual-memory-longlive-v1,captures/20260805_calibration_remaining_v1/calib_fluid_s1__l14__f015__c01.pt,calib_fluid_s1,calibration,1,14,15,1,7,canonical_identity_d0p19,canonical_pre_rope,identity,global,0.19,none,0,0.10654688626527786,221.138427734375,19479.71875,0.0007535068434663117,1.5028880917844127,115015680,76529770,57507840,9584640,9437184,106,125,24,1536,"[{""frames"":[3,4,5,6,7,8],""shifts"":[[0,0]]},{""frames"":[3,4,5,6],""shifts"":[[0,0]]},{""frames"":[3,4],""shifts"":[[0,0]]},{""frames"":[5,6],""shifts"":[[0,0]]},{""frames"":[7,8],""shifts"":[[0,0]]}]",none_runtime_KV_only
ar-video-windowed-lifting-memory-screen-v2,ar-video-residual-memory-longlive-v1,captures/20260805_calibration_remaining_v1/calib_fluid_s1__l14__f015__c01.pt,calib_fluid_s1,calibration,1,14,15,1,8,canonical_identity_d0p19,canonical_pre_rope,identity,global,0.19,none,0,0.1062157154083252,469.98150634765625,41658.4609375,0.0008795754401944578,1.5028880917844127,115015680,76529770,57507840,9584640,9437184,106,125,24,1536,"[{""frames"":[3,4,5,6,7,8],""shifts"":[[0,0]]},{""frames"":[3,4,5,6],""shifts"":[[0,0]]},{""frames"":[3,4],""shifts"":[[0,0]]},{""frames"":[5,6],""shifts"":[[0,0]]},{""frames"":[7,8],""shifts"":[[0,0]]}]",none_runtime_KV_only
ar-video-windowed-lifting-memory-screen-v2,ar-video-residual-memory-longlive-v1,captures/20260805_calibration_remaining_v1/calib_fluid_s1__l14__f015__c01.pt,calib_fluid_s1,calibration,1,14,15,1,9,canonical_identity_d0p19,canonical_pre_rope,identity,global,0.19,none,0,0.10589652508497238,297.9746398925781,26571.490234375,0.0007510304567404091,1.5028880917844127,115015680,76529770,57507840,9584640,9437184,106,125,24,1536,"[{""frames"":[3,4,5,6,7,8],""shifts"":[[0,0]]},{""frames"":[3,4,5,6],""shifts"":[[0,0]]},{""frames"":[3,4],""shifts"":[[0,0]]},{""frames"":[5,6],""shifts"":[[0,0]]},{""frames"":[7,8],""shifts"":[[0,0]]}]",none_runtime_KV_only
