scope,method,correction,records,captures,aggregate_relative_av_l2,mean_head_relative_av_l2,worst_head_relative_av_l2,minimum_cache_compression_ratio,maximum_dense_reference_parity
calibration,canonical_global_shared_d0p19,adaptive_rank16,48,4,0.07502367853754957,0.039390214078594,0.16459016501903534,1.5028880917844127,0.0013198975939303637
calibration,canonical_global_shared_d0p19,none,48,4,0.1369671135721684,0.09133534568536561,0.2932429015636444,1.5028880917844127,0.0013198975939303637
calibration,canonical_identity_d0p19,adaptive_rank16,48,4,0.07435628855182826,0.041461692827094034,0.15619800984859467,1.5028880917844127,0.0013198975939303637
calibration,canonical_identity_d0p19,none,48,4,0.13869791492657893,0.09500703708423923,0.2904021739959717,1.5028880917844127,0.0013198975939303637
calibration,canonical_window_fixed_d0p10,adaptive_rank16,48,4,0.07642016854218538,0.04130841270671226,0.16605837643146515,1.5929130296648608,0.0013198975939303637
calibration,canonical_window_fixed_d0p10,none,48,4,0.13803688199516223,0.09389864192538273,0.2917013168334961,1.5929130296648608,0.0013198975939303637
calibration,canonical_window_fixed_d0p19,adaptive_rank16,48,4,0.07576187994794845,0.039733106052153744,0.16605837643146515,1.5028827895555785,0.0013198975939303637
calibration,canonical_window_fixed_d0p19,none,48,4,0.1360068564618773,0.08940671032663279,0.2917013168334961,1.5028827895555785,0.0013198975939303637
calibration,canonical_window_staggered_d0p10,adaptive_rank16,48,4,0.0778844016150907,0.04194815150306871,0.17126940190792084,1.5929130296648608,0.0013198975939303637
calibration,canonical_window_staggered_d0p10,none,48,4,0.13879331708955475,0.09527203814165357,0.29435449838638306,1.5929130296648608,0.0013198975939303637
calibration,canonical_window_staggered_d0p19,adaptive_rank16,48,4,0.07707288790156758,0.040219813706547335,0.17126940190792084,1.5028827895555785,0.0013198975939303637
calibration,canonical_window_staggered_d0p19,none,48,4,0.1366134227339538,0.09072404077354197,0.29435449838638306,1.5028827895555785,0.0013198975939303637
validation,canonical_global_shared_d0p19,adaptive_rank16,24,2,0.0815717934671677,0.045629916285785534,0.15300102531909943,1.5028880917844127,0.0012964833294972777
validation,canonical_global_shared_d0p19,none,24,2,0.1414927277592262,0.09961047401884571,0.2544906437397003,1.5028880917844127,0.0012964833294972777
validation,canonical_identity_d0p19,adaptive_rank16,24,2,0.08256779405608408,0.04734490753617138,0.15300102531909943,1.5028880917844127,0.0012964833294972777
validation,canonical_identity_d0p19,none,24,2,0.14401456281016894,0.10346578595150883,0.2544906437397003,1.5028880917844127,0.0012964833294972777
validation,canonical_window_fixed_d0p10,adaptive_rank16,24,2,0.08489569487651598,0.04781730884375671,0.15956196188926697,1.5929130296648608,0.0012964833294972777
validation,canonical_window_fixed_d0p10,none,24,2,0.14649381650582252,0.10360373761310863,0.2639448940753937,1.5929130296648608,0.0012964833294972777
validation,canonical_window_fixed_d0p19,adaptive_rank16,24,2,0.08467782641419737,0.046677304858652256,0.15956436097621918,1.5028827895555785,0.0012964833294972777
validation,canonical_window_fixed_d0p19,none,24,2,0.1461452465725559,0.10072679766259778,0.263945072889328,1.5028827895555785,0.0012964833294972777
validation,canonical_window_staggered_d0p10,adaptive_rank16,24,2,0.08564937333870008,0.04901189865389218,0.1595250368118286,1.5929130296648608,0.0012964833294972777
validation,canonical_window_staggered_d0p10,none,24,2,0.14923021465168057,0.10653637793924038,0.2665783762931824,1.5929130296648608,0.0012964833294972777
validation,canonical_window_staggered_d0p19,adaptive_rank16,24,2,0.08487637320318293,0.04716160750831477,0.1595250368118286,1.5028827895555785,0.0012964833294972777
validation,canonical_window_staggered_d0p19,none,24,2,0.14707443764659778,0.10111828874990654,0.26657840609550476,1.5028827895555785,0.0012964833294972777
test,canonical_global_shared_d0p19,adaptive_rank16,24,2,0.0787782407228568,0.04295636231351333,0.1455853283405304,1.5028880917844127,0.00133819121401757
test,canonical_global_shared_d0p19,none,24,2,0.14135873675073568,0.1009055000807469,0.24772363901138306,1.5028880917844127,0.00133819121401757
test,canonical_identity_d0p19,adaptive_rank16,24,2,0.07915241550469022,0.04370448457969663,0.1455853283405304,1.5028880917844127,0.00133819121401757
test,canonical_identity_d0p19,none,24,2,0.14184684421069105,0.10227023224191119,0.24772363901138306,1.5028880917844127,0.00133819121401757
test,canonical_window_fixed_d0p10,adaptive_rank16,24,2,0.08641342733563154,0.04545009142020717,0.16114386916160583,1.5929130296648608,0.00133819121401757
