noise_mode,layer,flow_point,timestep,method,activation_relative_l2,activation_mean_relative_l2,activation_p95_relative_l2,rank8_energy,feature_coefficient_r2,previous_flow_coefficient_r2,flow_rank8_energy
aligned,0,0,98,raw_reuse,0.6159046996801643,0.6072954535484314,0.916559475660324,0.9897033634214967,0.8887079919691558,0.9998755480484159,0.6281530014969249
aligned,0,0,98,shift_reuse,0.14647870420169515,0.1518917679786682,0.20269715040922165,0.9897033634214967,0.8887079919691558,0.9998755480484159,0.6281530014969249
aligned,0,0,98,shift_toeplitz_r2,0.06743118263832829,0.06969505548477173,0.09305931478738784,0.9897033634214967,0.8887079919691558,0.9998755480484159,0.6281530014969249
aligned,0,0,98,shift_circular_r2,0.06743118263832829,0.06969505548477173,0.09305931478738784,0.9897033634214967,0.8887079919691558,0.9998755480484159,0.6281530014969249
aligned,0,0,98,shift_rank8_feature,0.027476217494578025,0.0260666161775589,0.03849873300641775,0.9897033634214967,0.8887079919691558,0.9998755480484159,0.6281530014969249
aligned,0,0,98,shift_rank8_prev_flow,0.014883611953373612,0.014708164148032665,0.021452423091977833,0.9897033634214967,0.8887079919691558,0.9998755480484159,0.6281530014969249
aligned,0,0,98,shift_rank8_oracle,0.01486353744818351,0.01468255091458559,0.021446426492184402,0.9897033634214967,0.8887079919691558,0.9998755480484159,0.6281530014969249
aligned,0,0,98,flow_reuse,0.00777590042651355,0.007787967100739479,0.012040204089134931,0.9897033634214967,0.8887079919691558,0.9998755480484159,0.6281530014969249
aligned,0,0,98,flow_toeplitz_r2,0.006867067655453422,0.0068981884978711605,0.0108257208019495,0.9897033634214967,0.8887079919691558,0.9998755480484159,0.6281530014969249
aligned,0,0,98,flow_rank8_oracle,0.004741686822854108,0.004848616663366556,0.007014734391123057,0.9897033634214967,0.8887079919691558,0.9998755480484159,0.6281530014969249
aligned,1,0,98,raw_reuse,0.4647514994482927,0.4615931510925293,0.6453859955072403,0.9525638960382138,0.9569916864995346,0.999829320920556,0.4755212246918904
aligned,1,0,98,shift_reuse,0.2384181374636858,0.24286825954914093,0.31903785467147827,0.9525638960382138,0.9569916864995346,0.999829320920556,0.4755212246918904
aligned,1,0,98,shift_toeplitz_r2,0.130557596801013,0.13271449506282806,0.1816920667886734,0.9525638960382138,0.9569916864995346,0.999829320920556,0.4755212246918904
aligned,1,0,98,shift_circular_r2,0.130557596801013,0.13271449506282806,0.1816920667886734,0.9525638960382138,0.9569916864995346,0.999829320920556,0.4755212246918904
aligned,1,0,98,shift_rank8_feature,0.062269490947872715,0.062295544892549515,0.09382485672831535,0.9525638960382138,0.9569916864995346,0.999829320920556,0.4755212246918904
aligned,1,0,98,shift_rank8_prev_flow,0.051972175750126075,0.05243049934506416,0.07468235716223717,0.9525638960382138,0.9569916864995346,0.999829320920556,0.4755212246918904
aligned,1,0,98,shift_rank8_oracle,0.0519270620152033,0.05238613486289978,0.07465666085481644,0.9525638960382138,0.9569916864995346,0.999829320920556,0.4755212246918904
aligned,1,0,98,flow_reuse,0.011524783141473196,0.01167238038033247,0.015252033108845353,0.9525638960382138,0.9569916864995346,0.999829320920556,0.4755212246918904
aligned,1,0,98,flow_toeplitz_r2,0.009108871591106673,0.009198912419378757,0.012744867661967873,0.9525638960382138,0.9569916864995346,0.999829320920556,0.4755212246918904
aligned,1,0,98,flow_rank8_oracle,0.008346353149945307,0.008432798087596893,0.01196682727895677,0.9525638960382138,0.9569916864995346,0.999829320920556,0.4755212246918904
aligned,2,0,98,raw_reuse,0.3901316073369238,0.3847205638885498,0.579349598288536,0.908705089914623,0.9066642133307147,0.9996324818810997,0.524985535516292
aligned,2,0,98,shift_reuse,0.15295974122691808,0.15552708506584167,0.18392534628510473,0.908705089914623,0.9066642133307147,0.9996324818810997,0.524985535516292
aligned,2,0,98,shift_toeplitz_r2,0.09736867015869038,0.09840808063745499,0.12047616429626941,0.908705089914623,0.9066642133307147,0.9996324818810997,0.524985535516292
aligned,2,0,98,shift_circular_r2,0.09736867015869038,0.09840808063745499,0.12047616429626941,0.908705089914623,0.9066642133307147,0.9996324818810997,0.524985535516292
aligned,2,0,98,shift_rank8_feature,0.0562790887118771,0.05682629346847534,0.07770529240369796,0.908705089914623,0.9066642133307147,0.9996324818810997,0.524985535516292
aligned,2,0,98,shift_rank8_prev_flow,0.04626076942820579,0.04680456593632698,0.058640962839126586,0.908705089914623,0.9066642133307147,0.9996324818810997,0.524985535516292
aligned,2,0,98,shift_rank8_oracle,0.04621685860494552,0.04675867781043053,0.05857796221971512,0.908705089914623,0.9066642133307147,0.9996324818810997,0.524985535516292
aligned,2,0,98,flow_reuse,0.026071378357935864,0.026642272248864174,0.03367269653826952,0.908705089914623,0.9066642133307147,0.9996324818810997,0.524985535516292
aligned,2,0,98,flow_toeplitz_r2,0.020216146792312692,0.020647278055548668,0.02685125209391117,0.908705089914623,0.9066642133307147,0.9996324818810997,0.524985535516292
aligned,2,0,98,flow_rank8_oracle,0.017968731097559712,0.018333280459046364,0.023916539922356605,0.908705089914623,0.9066642133307147,0.9996324818810997,0.524985535516292
aligned,3,0,98,raw_reuse,0.2720615768766052,0.2654588520526886,0.4111830398440361,0.9285441984576025,0.8930215485054702,0.9992755067407696,0.8289972162911471
aligned,3,0,98,shift_reuse,0.1565710055289655,0.1584494560956955,0.19731642231345176,0.9285441984576025,0.8930215485054702,0.9992755067407696,0.8289972162911471
aligned,3,0,98,shift_toeplitz_r2,0.08654225804666038,0.08607248216867447,0.10947792939841747,0.9285441984576025,0.8930215485054702,0.9992755067407696,0.8289972162911471
