weight_key,method,params,budget,budget_ratio,fit_weight_rel_fro,fit_activation_rel_l2,fit_activation_cosine,holdout_weight_rel_fro,holdout_activation_rel_l2,holdout_activation_cosine,notes
blocks.0.self_attn.q.weight,ternary_main,0,49152,0.0,0.5114491581916809,0.5080714821815491,0.8904845118522644,0.5114491581916809,0.5107775926589966,0.8878397941589355,RobuQ ternary main branch
blocks.0.self_attn.q.weight,fro_lowrank_r4,12288,49152,0.25,0.47011613845825195,0.46438416838645935,0.8941551446914673,0.47011613845825195,0.4700453579425812,0.8915698528289795,Frobenius SVD of quantization error
blocks.0.self_attn.q.weight,activation_lowrank_r4,12288,49152,0.25,19.90684700012207,0.45672816038131714,0.8974198698997498,19.90684700012207,19.762697219848633,0.060091327875852585,Activation-aware SVD lifted through ridge regression
blocks.0.self_attn.q.weight,fro_lowrank_r8,24576,49152,0.5,0.46470579504966736,0.45936650037765503,0.8960572481155396,0.46470579504966736,0.4650184214115143,0.893481969833374,Frobenius SVD of quantization error
blocks.0.self_attn.q.weight,activation_lowrank_r8,24576,49152,0.5,22.563148498535156,0.4423786699771881,0.9034057259559631,22.563148498535156,22.628389358520508,0.052854739129543304,Activation-aware SVD lifted through ridge regression
blocks.0.self_attn.q.weight,fro_lowrank_r16,49152,49152,1.0,0.4588555693626404,0.4532524049282074,0.89860999584198,0.4588555693626404,0.45929160714149475,0.8959057331085205,Frobenius SVD of quantization error
blocks.0.self_attn.q.weight,activation_lowrank_r16,49152,49152,1.0,26.5402889251709,0.4150339663028717,0.9145315289497375,26.5402889251709,26.536640167236328,0.04803876951336861,Activation-aware SVD lifted through ridge regression
blocks.0.self_attn.q.weight,fro_bcm_b64,36864,49152,0.75,0.5074459314346313,0.5040462017059326,0.8914023041725159,0.5074459314346313,0.5069429874420166,0.8887608051300049,Frobenius block-circulant projection
blocks.0.self_attn.q.weight,fro_bcm_plus_lr_b64_r4,49152,49152,1.0,0.4670603275299072,0.4613962471485138,0.895256519317627,0.4670603275299072,0.4670894742012024,0.8926742672920227,Frobenius BCM followed by Frobenius low rank
blocks.0.self_attn.q.weight,activation_bcm_b64,36864,49152,0.75,0.5633242130279541,0.4546445608139038,0.9053162336349487,0.5633242130279541,0.5626804828643799,0.8353432416915894,Activation-aware shared-generator least squares
