sample_id,method,teacher_index,competitor_index,baseline_margin,exact_shift,exact_final_margin,normalized_adverse_shift
vsi_question_3132,vsi_pca_train96_r456,0,1,0.75,-0.25,0.5,0.3333333432674408
vsi_question_3132,vsi_pca_train96_r456,0,2,0.75,0.0,0.75,0.0
vsi_question_3132,vsi_pca_train96_r456,0,3,0.0,-0.125,-0.125,2.5
vsi_question_3132,pooled3_pca_r456,0,1,0.75,-0.125,0.625,0.1666666716337204
vsi_question_3132,pooled3_pca_r456,0,2,0.75,0.125,0.875,0.0
vsi_question_3132,pooled3_pca_r456,0,3,0.0,0.0,0.0,0.0
vsi_question_3132,cmrq_risk_atoms32_r456,0,1,0.75,-0.125,0.625,0.1666666716337204
vsi_question_3132,cmrq_risk_atoms32_r456,0,2,0.75,0.0,0.75,0.0
vsi_question_3132,cmrq_risk_atoms32_r456,0,3,0.0,0.0,0.0,0.0
vsi_question_3132,cmrq_mix_g32_w0p3_r456,0,1,0.75,-0.125,0.625,0.1666666716337204
vsi_question_3132,cmrq_mix_g32_w0p3_r456,0,2,0.75,0.125,0.875,0.0
vsi_question_3132,cmrq_mix_g32_w0p3_r456,0,3,0.0,0.0,0.0,0.0
vsi_question_3132,permuted_mix_g32_w0p3_r456,0,1,0.75,-0.125,0.625,0.1666666716337204
vsi_question_3132,permuted_mix_g32_w0p3_r456,0,2,0.75,0.125,0.875,0.0
vsi_question_3132,permuted_mix_g32_w0p3_r456,0,3,0.0,0.125,0.125,0.0
vsi_question_5084,vsi_pca_train96_r456,0,1,2.625,0.0,2.625,0.0
vsi_question_5084,vsi_pca_train96_r456,0,2,0.625,-0.125,0.5,0.20000000298023224
vsi_question_5084,pooled3_pca_r456,0,1,2.625,0.125,2.75,0.0
vsi_question_5084,pooled3_pca_r456,0,2,0.625,-0.125,0.5,0.20000000298023224
vsi_question_5084,cmrq_risk_atoms32_r456,0,1,2.625,0.125,2.75,0.0
vsi_question_5084,cmrq_risk_atoms32_r456,0,2,0.625,-0.125,0.5,0.20000000298023224
vsi_question_5084,cmrq_mix_g32_w0p3_r456,0,1,2.625,0.125,2.75,0.0
vsi_question_5084,cmrq_mix_g32_w0p3_r456,0,2,0.625,0.0,0.625,0.0
vsi_question_5084,permuted_mix_g32_w0p3_r456,0,1,2.625,0.125,2.75,0.0
vsi_question_5084,permuted_mix_g32_w0p3_r456,0,2,0.625,0.0,0.625,0.0
vsi_question_1569,vsi_pca_train96_r456,0,1,1.625,0.0,1.625,0.0
vsi_question_1569,vsi_pca_train96_r456,0,2,2.25,-0.125,2.125,0.0555555559694767
vsi_question_1569,pooled3_pca_r456,0,1,1.625,-0.125,1.5,0.07692307978868484
vsi_question_1569,pooled3_pca_r456,0,2,2.25,-0.125,2.125,0.0555555559694767
vsi_question_1569,cmrq_risk_atoms32_r456,0,1,1.625,0.0,1.625,0.0
vsi_question_1569,cmrq_risk_atoms32_r456,0,2,2.25,0.0,2.25,0.0
vsi_question_1569,cmrq_mix_g32_w0p3_r456,0,1,1.625,0.0,1.625,0.0
vsi_question_1569,cmrq_mix_g32_w0p3_r456,0,2,2.25,0.0,2.25,0.0
vsi_question_1569,permuted_mix_g32_w0p3_r456,0,1,1.625,-0.125,1.5,0.07692307978868484
vsi_question_1569,permuted_mix_g32_w0p3_r456,0,2,2.25,-0.125,2.125,0.0555555559694767
vsi_question_3722,vsi_pca_train96_r456,1,0,0.375,0.0,0.375,0.0
