topology,selector,exact_fraction,exact_group_count,cell_count,active_read_ratio,leaf_only_read_ratio,visual_mean,visual_p95,visual_worst,visual_worst_head,full_mean,full_p95,full_worst,selected_visual_mass_mean,upper_tail_fraction_mean,tail_bound_log10_looseness_mean
spatial_7x7,centroid_score,0.125,4,72,7.39622641509434,8.0,0.49864397135873634,0.7948589712381363,0.8913443684577942,1.7072110176086426,0.062413759684811033,0.11172909438610078,0.13598890602588654,0.3619717552016179,0.99988471219937,10.485913190576765
spatial_7x7,centroid_score,0.25,8,72,3.843137254901961,4.0,0.32978873337722486,0.5709037035703659,0.6529281735420227,1.4458017349243164,0.04499357046249012,0.0779020953923464,0.0926879495382309,0.5472490638494492,0.9997213921613164,10.492867661847008
spatial_7x7,centroid_score,0.5,16,72,1.96,2.0,0.15892664392271805,0.30827116370201124,0.4646220803260803,1.038261890411377,0.023175786689130798,0.0390803748741746,0.046332914382219315,0.782072568933169,0.9990784542428123,10.483528912067413
spatial_7x7,centroid_score,0.625,20,72,1.5742971887550201,1.6,0.11240620031538937,0.23991080224514008,0.4213683307170868,1.038261890411377,0.015633344708476216,0.02637508306652308,0.030169975012540817,0.8577770193417867,0.9983749861518542,10.432839261160957
spatial_7x7,centroid_score,0.75,24,72,1.3154362416107384,1.3333333333333333,0.07005310317294465,0.15029529407620432,0.3886522650718689,1.0239263772964478,0.009441062510530982,0.01590186543762684,0.017443157732486725,0.9190354181660546,0.9967811240090264,10.358693579832712
spatial_7x7,centroid_score,1.0,32,72,0.98989898989899,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
spatial_7x7,exact_mass,0.125,4,72,0.8888888888888888,8.0,0.39743255058096516,0.6656415045261384,0.7057252526283264,2.106938600540161,0.05728572575996319,0.11114878766238691,0.13489441573619843,0.43280845507979393,0.9998843760954009,10.575076474083794
spatial_7x7,exact_mass,0.25,8,72,0.8,4.0,0.22268590610474348,0.3598748862743378,0.37954071164131165,1.0431824922561646,0.039327152112188436,0.07724514044821262,0.09209908545017242,0.6180613992942704,0.9997180700302124,10.626893838246664
spatial_7x7,exact_mass,0.5,16,72,0.6666666666666666,2.0,0.09226482599559757,0.15031304433941842,0.168719083070755,0.3606342077255249,0.01885964929048593,0.038460608571767814,0.045625168830156326,0.8304021648234792,0.9990654968553119,10.662013332049051
spatial_7x7,exact_mass,0.625,20,72,0.6153846153846154,1.6,0.05811525935617586,0.0944162379950285,0.10761695355176926,0.2278396040201187,0.012208795194358876,0.025888282340019945,0.029622819274663925,0.8956834433807267,0.9983551510506206,10.642637179957497
spatial_7x7,exact_mass,0.75,24,72,0.5714285714285714,1.3333333333333333,0.03367224101546324,0.05750989522784949,0.06574780493974686,0.15284812450408936,0.007117828684082876,0.015204078750684859,0.017548203468322754,0.9439996323651738,0.9967364602618747,10.614550272623697
spatial_7x7,exact_mass,1.0,32,72,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
spatial_7x7,oracle_local,0.125,4,72,0.8888888888888888,8.0,0.41802835195428795,0.7359824925661088,0.8015175461769104,2.185236930847168,0.05849407160551184,0.11350433416664601,0.14041796326637268,0.42098004039790893,0.9998903291092979,10.581135034561157
spatial_7x7,oracle_local,0.25,8,72,0.8,4.0,0.22641942463815212,0.38795835971832277,0.4512360394001007,1.2365096807479858,0.04032256635319856,0.07974570542573929,0.09619276970624924,0.6081357250610987,0.9997284561395645,10.634894596205818
spatial_7x7,oracle_local,0.5,16,72,0.6666666666666666,2.0,0.09090058652994533,0.15419486537575722,0.1785772740840912,0.3980661928653717,0.01941153306203584,0.04004342593252659,0.04705550894141197,0.8243737270434698,0.9991027307179239,10.674826529290941
spatial_7x7,oracle_local,0.625,20,72,0.6153846153846154,1.6,0.056942096600929894,0.09649295099079609,0.11197124421596527,0.2545378506183624,0.012590643455041572,0.0267643827944994,0.030818624421954155,0.8913828192485703,0.9984131414029334,10.663256532616085
spatial_7x7,oracle_local,0.75,24,72,0.5714285714285714,1.3333333333333333,0.03228197334748176,0.05600228030234576,0.06461229175329208,0.16867892444133759,0.007319081484133171,0.015853225486353043,0.018076814711093903,0.9413574619425668,0.9969029633535279,10.627945482730865
spatial_7x7,oracle_local,1.0,32,72,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
spatial_7x7,quest_box_bound,0.125,4,72,6.87719298245614,8.0,0.5712240017536614,0.9716204196214677,1.1429706811904907,2.402556896209717,0.06646417047724956,0.11600241139531135,0.1430569440126419,0.3039205264714029,0.9998854357335303,10.098966088559893
spatial_7x7,quest_box_bound,0.25,8,72,3.69811320754717,4.0,0.39269443539281684,0.7227901071310044,0.8140140771865845,1.709503173828125,0.04894727672864166,0.08587119802832605,0.10329390317201614,0.48663005812300575,0.9997131095992194,9.94545865058899
spatial_7x7,quest_box_bound,0.5,16,72,1.9215686274509804,2.0,0.1924428561081489,0.33388621062040336,0.6315342783927917,1.4762195348739624,0.02636311740045332,0.044465366192162036,0.05471951514482498,0.7358083062701755,0.9990252504746119,9.756460944811503
spatial_7x7,quest_box_bound,0.625,20,72,1.5494071146245059,1.6,0.13559816850142348,0.24242945984005937,0.5900065898895264,1.4762067794799805,0.0180646809296579,0.030353092774748805,0.03748856112360954,0.8246466310487853,0.9982423169745339,9.650496708022224
spatial_7x7,quest_box_bound,0.75,24,72,1.2980132450331126,1.3333333333333333,0.08621490275901225,0.1731103800237179,0.2278151512145996,0.8110517263412476,0.011378236260497943,0.018656363897025584,0.021182896569371223,0.8968276745743222,0.9963703718450334,9.533287756972843
spatial_7x7,quest_box_bound,1.0,32,72,0.98,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
temporal2_spatial_7x7,centroid_score,0.125,2,72,7.686274509803922,8.0,0.5846140676488479,0.9110973447561264,0.9305399656295776,1.880184292793274,0.0674739336181018,0.11689797900617123,0.14720574021339417,0.2823231716950734,0.999971817764971,12.214060339662764
temporal2_spatial_7x7,centroid_score,0.25,4,72,3.92,4.0,0.40330179853157866,0.6960527181625367,0.7942712306976318,1.5158665180206299,0.049714677372119494,0.08316535018384456,0.10082872211933136,0.4754485595557425,0.9999272185895178,12.205224812030792
temporal2_spatial_7x7,centroid_score,0.5,8,72,1.97979797979798,2.0,0.19784957211878565,0.36237930208444596,0.6599792838096619,1.5082496404647827,0.026518032614452142,0.045127174258232115,0.05117613822221756,0.7348845129211744,0.9998073221908675,12.161896831459469
temporal2_spatial_7x7,centroid_score,0.625,10,72,1.5870445344129556,1.6,0.13430979472791982,0.24403669238090517,0.47147464752197266,1.1402558088302612,0.017798382840636704,0.029836568981409073,0.035358987748622894,0.8242319052418073,0.9996690096126662,12.10315160618888
temporal2_spatial_7x7,centroid_score,0.75,12,72,1.3243243243243243,1.3333333333333333,0.08794054539046353,0.1966624312102795,0.28610751032829285,0.7650933265686035,0.011013491195626557,0.018091455101966858,0.019587716087698936,0.8961281039648585,0.9993860862321324,12.0385502576828
temporal2_spatial_7x7,centroid_score,1.0,16,72,0.9949238578680203,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
temporal2_spatial_7x7,exact_mass,0.125,2,72,0.8888888888888888,8.0,0.48041653798686135,0.7555426985025406,0.8663675785064697,1.9633644819259644,0.062458082335069776,0.11608199737966061,0.14590971171855927,0.3597119322253598,0.9999717424313227,12.293672680854797
temporal2_spatial_7x7,exact_mass,0.25,4,72,0.8,4.0,0.27902431620491874,0.43622469455003743,0.48683857917785645,1.0938657522201538,0.044048160754351154,0.08218415565788746,0.0992702841758728,0.5538931923607985,0.9999270654386945,12.31543219089508
temporal2_spatial_7x7,exact_mass,0.5,8,72,0.6666666666666666,2.0,0.12060041544545028,0.19203346446156502,0.22277352213859558,0.49910739064216614,0.021964637569100078,0.042063881643116474,0.04993622004985809,0.7863872788018651,0.9998058196571138,12.330431739489237
temporal2_spatial_7x7,exact_mass,0.625,10,72,0.6153846153846154,1.6,0.07822216258177327,0.12632937282323836,0.13954390585422516,0.39151543378829956,0.014572633475634374,0.028370761685073378,0.0333840474486351,0.8627567796243562,0.9996703250540627,12.318708936373392
temporal2_spatial_7x7,exact_mass,0.75,12,72,0.5714285714285714,1.3333333333333333,0.04666728932513959,0.07789028398692609,0.08714066445827484,0.3040345013141632,0.008685068676843204,0.017185000423341992,0.019356949254870415,0.9228936367564731,0.9993898504310184,12.26663468943702
temporal2_spatial_7x7,exact_mass,1.0,16,72,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
temporal2_spatial_7x7,oracle_local,0.125,2,72,0.8888888888888888,8.0,0.5207689696302017,0.8412582218647003,1.036670207977295,3.21435546875,0.06355103149285747,0.11704387664794923,0.14916500449180603,0.3474608303772079,0.9999726787209511,12.299046503172981
temporal2_spatial_7x7,oracle_local,0.25,4,72,0.8,4.0,0.2848795530282789,0.47472104281187055,0.5398106575012207,1.4002079963684082,0.04525066712974674,0.0844006083905697,0.10709839314222336,0.5406946014198992,0.9999307476811938,12.32076527674993
temporal2_spatial_7x7,oracle_local,0.5,8,72,0.6666666666666666,2.0,0.11722866176731056,0.1884811744093895,0.20513714849948883,0.5404950380325317,0.022655935227198318,0.043482934869825844,0.051377516239881516,0.7788374432259135,0.9998172753387027,12.3449317879147
temporal2_spatial_7x7,oracle_local,0.625,10,72,0.6153846153846154,1.6,0.07488300120975408,0.12034670263528824,0.1355075091123581,0.32530733942985535,0.014975711030678617,0.029210383072495464,0.0354694165289402,0.8571520331833098,0.9997036415669653,12.345611545774672
temporal2_spatial_7x7,oracle_local,0.75,12,72,0.5714285714285714,1.3333333333333333,0.04458819732018229,0.07458434328436853,0.08683410286903381,0.19256724417209625,0.008918873202573094,0.017708815168589357,0.020762823522090912,0.9192509038580788,0.999435790710979,12.28683473004235
temporal2_spatial_7x7,oracle_local,1.0,16,72,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
