dataset,dataset_index,sample_id,scope,component,method,retention_rate,trials,mean_ms,p50_ms,p95_ms,p99_ms,min_ms,max_ms,peak_allocated_bytes,peak_reserved_bytes,includes_image_preprocess,includes_visual_encoder,includes_codec_encode,includes_codec_decode,includes_native_positions,includes_language_prefill,includes_first_token
gqa,1,17197213,component,base_vq_search,base_vq,0.125,50,0.7411097621917725,0.7526400089263916,0.78090241253376,0.7963340628147125,0.7045120000839233,0.8048639893531799,7564185088,8254390272,False,False,True,False,False,False,False
gqa,1,17197213,component,residual_rvq_search,base_vq_residual_rvq,0.125,50,1.328332803249359,1.3378559947013855,1.378713607788086,1.4458367788791655,1.2759040594100952,1.4684159755706787,7605377024,8254390272,False,False,True,False,False,False,False
gqa,1,17197213,component,logic_router,base_vq_logic_router,0.125,50,4.514775037765503,4.50764799118042,4.542207884788513,4.723097534179686,4.480000019073486,4.893695831298828,7571826176,8254390272,False,False,True,False,False,False,False
gqa,1,17197213,component,layout_pack,base_vq_logic_router,0.125,50,0.10082304060459137,0.09164800122380257,0.13987840265035625,0.1459302408993244,0.08908800035715103,0.14643199741840363,7580329472,8254390272,False,False,True,False,False,False,False
gqa,1,17197213,component,layout_pack,logic_router_fixed_slots,0.125,50,0.1107353600859642,0.0936960019171238,0.14822400137782096,0.15416320368647574,0.08806400001049042,0.15667200088500977,7580329472,8254390272,False,False,True,False,False,False,False
gqa,1,17197213,component,residual_decode_scatter,base_vq_logic_router,0.125,50,7.924961261749267,8.483839988708496,8.707276821136475,9.25409261703491,6.236159801483154,9.71571159362793,7613751808,8254390272,False,False,False,True,False,False,False
gqa,1,17197213,component,residual_decode_scatter,logic_router_fixed_slots,0.125,50,8.62490629196167,8.489471912384033,9.432115459442137,10.779494276046751,8.256511688232422,11.248640060424805,7613751808,8254390272,False,False,False,True,False,False,False
gqa,1,17197213,component,codec_roundtrip,base_vq_logic_router,0.125,50,303.9246630859375,303.7447509765625,307.74800415039067,311.0218078613281,297.8991394042969,313.8055725097656,7640551936,8254390272,False,False,True,True,False,False,False
gqa,1,17197213,component,codec_roundtrip,logic_router_fixed_slots,0.125,50,104.13965286254883,104.4076156616211,105.72045860290527,108.93687393188475,99.27001953125,111.90252685546875,7640551936,8254390272,False,False,True,True,False,False,False
gqa,1,17197213,component,base_vq_search,base_vq,0.25,50,0.7547084760665893,0.7516160011291504,0.7706111937761306,0.7768166238069534,0.7475200295448303,0.7823359966278076,7587416576,8254390272,False,False,True,False,False,False,False
gqa,1,17197213,component,residual_rvq_search,base_vq_residual_rvq,0.25,50,1.3522124838829042,1.3506560325622559,1.3722623586654663,1.3794304132461548,1.3301759958267212,1.3844480514526367,7615231488,8254390272,False,False,True,False,False,False,False
gqa,1,17197213,component,logic_router,base_vq_logic_router,0.25,50,4.498862094879151,4.50867223739624,4.537907314300537,4.550236115455627,3.940351963043213,4.554751873016357,7580618752,8254390272,False,False,True,False,False,False,False
gqa,1,17197213,component,layout_pack,base_vq_logic_router,0.25,50,0.11790336206555367,0.11673600226640701,0.12467199750244616,0.1414348831772804,0.1157120019197464,0.14745600521564484,7586101760,8254390272,False,False,True,False,False,False,False
gqa,1,17197213,component,layout_pack,logic_router_fixed_slots,0.25,50,0.11696128204464912,0.11673600226640701,0.11934720315039157,0.13019135937094686,0.11366400122642517,0.1372160017490387,7586101760,8254390272,False,False,True,False,False,False,False
gqa,1,17197213,component,residual_decode_scatter,base_vq_logic_router,0.25,50,8.499179439544678,8.49407958984375,8.539801692962646,8.605255517959595,8.455167770385742,8.658944129943848,7615193600,8254390272,False,False,False,True,False,False,False
gqa,1,17197213,component,residual_decode_scatter,logic_router_fixed_slots,0.25,50,8.50626558303833,8.501248359680176,8.542873907089234,8.574340839385986,8.463359832763672,8.59340763092041,7615193600,8254390272,False,False,False,True,False,False,False
gqa,1,17197213,component,codec_roundtrip,base_vq_logic_router,0.25,50,557.2317907714844,558.7644348144531,565.1876495361328,566.1961907958985,538.58251953125,566.5128784179688,7644091904,8254390272,False,False,True,True,False,False,False
gqa,1,17197213,component,codec_roundtrip,logic_router_fixed_slots,0.25,50,182.55413146972657,183.09867095947266,183.92654876708986,185.4310627746582,177.5687713623047,186.64576721191406,7644091904,8254390272,False,False,True,True,False,False,False
gqa,1,17197213,model,prefill_first_logits,none,,10,65.53538589477539,65.0700798034668,67.61574363708496,68.47098808288574,64.63385772705078,68.68479919433594,8087342080,8327790592,False,False,False,False,True,True,True
gqa,1,17197213,model,prefill_first_logits,base_vq_logic_router,0.125,10,65.23187255859375,64.92057800292969,66.7755027770996,66.85623580932617,64.54783630371094,66.87641906738281,8096784384,8327790592,False,False,False,False,True,True,True
gqa,1,17197213,model,codec_plus_prefill_first_logits,base_vq_logic_router,0.125,10,366.6123748779297,367.0149230957031,370.0675506591797,370.42955017089844,360.9599914550781,370.5200500488281,8106226688,8327790592,False,False,True,True,True,True,True
gqa,1,17197213,model,prefill_first_logits,logic_router_fixed_slots,0.125,10,64.9731071472168,64.93081665039062,65.79578857421875,66.05899902343751,64.09625244140625,66.12480163574219,8096784384,8327790592,False,False,False,False,True,True,True
gqa,1,17197213,model,codec_plus_prefill_first_logits,logic_router_fixed_slots,0.125,10,169.8652145385742,168.59852600097656,176.32327346801756,180.56779190063475,167.66259765625,181.62892150878906,8106226688,8327790592,False,False,True,True,True,True,True
gqa,1,17197213,model,prefill_first_logits,base_vq_logic_router,0.25,10,64.96214981079102,64.81305313110352,65.87151412963867,66.10854965209961,64.51404571533203,66.16780853271484,8096784384,8327790592,False,False,False,False,True,True,True
gqa,1,17197213,model,codec_plus_prefill_first_logits,base_vq_logic_router,0.25,10,624.7586791992187,624.9896850585938,628.7989715576173,630.5426556396485,620.1610107421875,630.9785766601562,8106226688,8327790592,False,False,True,True,True,True,True
gqa,1,17197213,model,prefill_first_logits,logic_router_fixed_slots,0.25,10,65.79927062988281,65.45254516601562,67.29318199157716,67.30792839050292,64.72908782958984,67.31161499023438,8096784384,8327790592,False,False,False,False,True,True,True
gqa,1,17197213,model,codec_plus_prefill_first_logits,logic_router_fixed_slots,0.25,10,245.75109252929687,245.70521545410156,247.33466262817382,247.48396133422852,243.98745727539062,247.5212860107422,8106259456,8327790592,False,False,True,True,True,True,True
gqa,1,17197213,end_to_end,ttft,none,,5,525.5685467272997,522.7428479120135,543.1558968033642,546.6550313588232,512.5838578678668,547.5298149976879,8113045504,8327790592,True,True,False,False,True,True,True
gqa,1,17197213,end_to_end,ttft,base_vq_logic_router,0.125,5,847.7725729346275,856.9579778704792,869.6672731544822,871.4692745637149,811.0078189056367,871.919774916023,8122496000,8327790592,True,True,True,True,True,True,True
