layer,split,method,codec,predictor,selected_fraction,index_bits,group_dim,nominal_bps,codebook_static_bits,codebook_sha256,mse,nmse,mean_cosine,p05_cosine,payload_bits,metadata_bits,payload_bps,effective_bps,index_entropy,index_entropy_bps,residual_top10_energy
15,test,residual_pq,pq_1b_k16_d4,ema_050,1.0,4,4,1.0,1024,53cdd24e39047b61bd6a3bb3a1e88a0a2ddc077b447224f9c46fbf24f3491644,0.00028124368932199703,0.28799353803059213,0.8382617272863628,0.39546758093136797,3112960.0,2560.0,1.1884765625,1.1888671875,2.784780543154306,0.6961951357885765,0.3745079650463773
15,val,raw_pq,pq_1p5b_k64_d4,,1.0,6,4,1.5,4096,ee638cb7714abfcc100f13e01ab3e18a5d213faaa5d54245050c6b9143fb6d77,0.00017787040155910682,0.182139291664635,0.9066022435002228,0.8791385528022565,1966080.0,0.0,1.5,1.503125,5.748292096453575,1.4370730241133938,0.13116974770407747
15,val,residual_pq,pq_1p5b_k64_d4,ema_050,0.25,6,4,0.625,4096,b64a17b2009a82a46bd9378bbfa09bdf7696b08dc8401a807825190d90fa341d,0.00031886420207381317,0.3265169437627541,0.8265833780251404,0.5532717416799648,788480.0,308480.0,0.8369140625,0.8400390625,5.607126154864071,0.6004453846790044,0.25893282902424075
15,val,residual_pq,pq_1p5b_k64_d4,ema_050,0.5,6,4,1.0,4096,b64a17b2009a82a46bd9378bbfa09bdf7696b08dc8401a807825190d90fa341d,0.00019736902116955718,0.20210587819705156,0.8948878586083421,0.6982951299629392,1249280.0,308480.0,1.1884765625,1.1916015625,5.524449582608007,0.9405561978260009,0.2970210344625231
15,val,residual_pq,pq_1p5b_k64_d4,ema_050,1.0,6,4,1.5,4096,b64a17b2009a82a46bd9378bbfa09bdf7696b08dc8401a807825190d90fa341d,0.00012858420797353819,0.131670229303304,0.9335105845497725,0.7937640438366894,2170880.0,1280.0,1.6572265625,1.6603515625,5.28115003255091,1.3202875081377274,0.33024120544692165
15,test,raw_pq,pq_1p5b_k64_d4,,1.0,6,4,1.5,4096,ee638cb7714abfcc100f13e01ab3e18a5d213faaa5d54245050c6b9143fb6d77,0.00018163704845934917,0.18599633772885055,0.9044891677094222,0.8762845272875265,3932160.0,0.0,1.5,1.5015625,5.720054200450896,1.430013550112724,0.13078533795354097
15,test,residual_pq,pq_1p5b_k64_d4,ema_050,0.25,6,4,0.625,4096,b64a17b2009a82a46bd9378bbfa09bdf7696b08dc8401a807825190d90fa341d,0.0003092870231600841,0.31670991189723247,0.8302074018091268,0.5138712626741376,1576960.0,616960.0,0.8369140625,0.8384765625,5.314490197778816,0.582155637361176,0.28725148310029114
15,test,residual_pq,pq_1p5b_k64_d4,ema_050,0.5,6,4,1.0,4096,b64a17b2009a82a46bd9378bbfa09bdf7696b08dc8401a807825190d90fa341d,0.0001880820475450098,0.19259601679634514,0.8990294322125608,0.6667990839462452,2498560.0,616960.0,1.1884765625,1.1900390625,5.201679565886598,0.9002099457358248,0.3306542709770154
15,test,residual_pq,pq_1p5b_k64_d4,ema_050,1.0,6,4,1.5,4096,b64a17b2009a82a46bd9378bbfa09bdf7696b08dc8401a807825190d90fa341d,0.00012140825497657336,0.12432205316718155,0.936732996471876,0.7783158549364899,4341760.0,2560.0,1.6572265625,1.6587890625,4.874618540740076,1.218654635185019,0.36207675393601785
15,val,raw_pq,pq_2b_k256_d4,,1.0,8,4,2.0,16384,08e90a2d8fcabbe2f7b5541dbf57932b91836eb615941baa6fd85cddea5e408d,9.796220733460591e-05,0.10031330056844805,0.9496622572485812,0.933670438230976,2621440.0,0.0,2.0,2.0125,7.88117010766752,1.97029252691688,0.14186190049310263
15,val,residual_pq,pq_2b_k256_d4,ema_050,0.25,8,4,0.75,16384,dc07c5eec323089ccd532e7a149ad6cf9754cdf764e72918c8208dae16d43cf4,0.00026328463798476655,0.26960346998929907,0.8581710305024266,0.6349504359516427,942080.0,308480.0,0.9541015625,0.9666015625,7.801734310073041,0.737608394379565,0.261058697273341
15,val,residual_pq,pq_2b_k256_d4,ema_050,0.5,8,4,1.25,16384,dc07c5eec323089ccd532e7a149ad6cf9754cdf764e72918c8208dae16d43cf4,0.00014433655133947595,0.14780062895148044,0.923898931048905,0.7748676664148693,1556480.0,308480.0,1.4228515625,1.4353515625,7.810484147345054,1.2263105184181318,0.30622667677457954
15,val,residual_pq,pq_2b_k256_d4,ema_050,1.0,8,4,2.0,16384,dc07c5eec323089ccd532e7a149ad6cf9754cdf764e72918c8208dae16d43cf4,7.359665411548087e-05,0.07536297400794006,0.9622534432974843,0.869404394628939,2785280.0,1280.0,2.1259765625,2.1384765625,7.767730706849873,1.9419326767124683,0.37359374084416397
