layer,budget_bps,mlp_accuracy,mlp_balanced_accuracy,mlp_static_bits,dlgn_accuracy,dlgn_balanced_accuracy,dlgn_static_bits,dlgn_gate_count,dlgn_val_discretization_gap,dlgn_near_mlp_pareto
15,0.5,0.8133333333333334,0.43192819685357,9344.0,0.8466666666666667,0.4484671238402582,2256.0,128,-0.24000000953674316,False
15,1.0,0.72,0.5543390191897655,9344.0,0.68,0.41871002132196167,2256.0,128,-0.2666666805744171,False
15,1.58,0.72,0.5527155887230515,9344.0,0.7133333333333334,0.5421227197346601,2256.0,128,-0.19999998807907104,False
15,2.0,0.78,0.5967159579605823,9344.0,0.7266666666666667,0.4335314950670377,2256.0,128,-0.2266666293144226,False
15,4.0,0.76,0.5814312489938597,9344.0,0.6666666666666666,0.39488995699468754,2256.0,128,-0.2399999499320984,False
22,0.5,0.8666666666666667,0.45091963214714115,9344.0,0.82,0.4190823670531787,2256.0,128,0.0,False
22,1.0,0.8,0.6256412037531793,9344.0,0.7466666666666667,0.4672131147540983,2256.0,128,-0.026666641235351562,False
22,1.58,0.7333333333333333,0.5667830851981716,9344.0,0.6066666666666667,0.4940314467717952,2256.0,128,-0.5199999958276749,False
22,2.0,0.8133333333333334,0.6197590660705414,9344.0,0.6933333333333334,0.538859910581222,2256.0,128,-0.013333380222320557,False
22,4.0,0.84,0.43948593402145314,9344.0,0.74,0.3729508196721312,2256.0,128,0.0,False
